Rank	Gene_Alias	Ensembl_id	Entrez_id	GO_terms	Description
818	KIAA0128 MGC16619 MGC20339 RP5-876A24.2 SEP2 SEPT2 SEPT6 	ENSG00000125354 	23157 	cell cycle : cytokinesis : cleavage furrow : axon terminus : midbody : condensed chromosome kinetochore : spindle : septin complex : synaptic vesicle : cytoplasm : modulation by virus of host morphology or physiology : 	septin 6 
819	FLJ34157 SPT5 SPT5H SUPT5H 	ENSG00000196235 	6829 	positive regulation of viral transcription : single stranded viral RNA replication via double stranded DNA intermediate : negative regulation of DNA-templated transcription, elongation : DNA-templated transcription, elongation : positive regulation of DNA-templated transcription, elongation : regulation of DNA-templated transcription, elongation : positive regulation of macroautophagy : response to organic substance : chromatin remodeling : 7-methylguanosine mRNA capping : transcription elongation from RNA polymerase II promoter : cell cycle : viral process : DSIF complex : nucleoplasm : nucleus : negative regulation of transcription from RNA polymerase II promoter : transcription from RNA polymerase II promoter : regulation of transcription, DNA-templated : regulation of transcription from RNA polymerase II promoter : gene expression : positive regulation of transcription from RNA polymerase II promoter : 	suppressor of Ty 5 homolog (S. cerevisiae) 
820	FLJ14040 hMOF KAT8 MOF 	ENSG00000103510 	84148 	histone H4-K8 acetylation : histone H4-K5 acetylation : histone H4-K16 acetylation : myeloid cell differentiation : histone acetylation : MSL complex : MLL1 complex : kinetochore : nucleus : histone acetyltransferase complex : transcription, DNA-templated : regulation of transcription, DNA-templated : positive regulation of transcription, DNA-templated : negative regulation of transcription, DNA-templated : 	K(lysine) acetyltransferase 8 
821	CSPG2 DKFZp686K06110 ERVR PG-M VCAN WGN WGN1 	ENSG00000038427 	1462 	dermatan sulfate biosynthetic process : chondroitin sulfate catabolic process : chondroitin sulfate biosynthetic process : cell recognition : chondroitin sulfate metabolic process : glycosaminoglycan metabolic process : glial cell migration : extracellular matrix organization : heart development : Golgi lumen : lysosomal lumen : extracellular matrix : proteinaceous extracellular matrix : extracellular space : extracellular region : cell adhesion : carbohydrate metabolic process : multicellular organismal development : small molecule metabolic process : 	versican 
822	FLJ31261 FLJ42243 p0071 PKP4 	ENSG00000144283 	8502 	positive regulation of cytokinesis : positive regulation of Rho GTPase activity : cell-cell adhesion : cell-cell junction assembly : regulation of cell adhesion : cell-cell signaling : positive regulation of gene expression : cell-cell contact zone : spindle midzone : desmosome : mitotic spindle : cell-cell junction : cytoplasmic side of plasma membrane : midbody : spindle pole : cytoskeleton : perinuclear region of cytoplasm : cytoplasm : plasma membrane : 	plakophilin 4 
823	HBUCE1 UBE2D4 	ENSG00000078967 	51619 	protein K27-linked ubiquitination : protein K29-linked ubiquitination : protein K6-linked ubiquitination : protein K11-linked ubiquitination : protein K48-linked ubiquitination : protein K63-linked ubiquitination : 	ubiquitin-conjugating enzyme E2D 4 (putative) 
824	C-2k CDC2L4 CDK9 CTK1 PITALRE TAK 	ENSG00000136807 	1025 	replication fork arrest : regulation of histone modification : regulation of DNA repair : positive regulation of viral transcription : transcription elongation from RNA polymerase II promoter : cellular response to cytokine stimulus : transforming growth factor beta receptor signaling pathway : negative regulation of cell cycle arrest : transcription initiation from RNA polymerase II promoter : viral process : positive transcription elongation factor complex b : transcription elongation factor complex : nucleoplasm : PML body : intracellular membrane-bounded organelle : cytoplasm : nucleus : transcription from RNA polymerase II promoter : DNA repair : transcription, DNA-templated : protein phosphorylation : cell proliferation : gene expression : positive regulation of transcription from RNA polymerase II promoter : 	cyclin-dependent kinase 9 
825	DLG3 KIAA1232 MRX MRX90 NE-Dlg NEDLG SAP102 	ENSG00000082458 	1741 	establishment of planar polarity : establishment or maintenance of epithelial cell apical/basal polarity : negative regulation of phosphatase activity : growth cone : dendritic shaft : alpha-amino-3-hydroxy-5-methyl-4-isoxazolepropionic acid selective glutamate receptor complex : synapse : neuronal cell body : tight junction : cytoplasm : plasma membrane : cell-cell junction : synaptic transmission : axon guidance : negative regulation of cell proliferation : 	discs, large homolog 3 (Drosophila) 
826	TACO1 	ENSG00000136463 	51204 	regulation of translation : mitochondrion : 	translational activator of mitochondrially encoded cytochrome c oxidase I 
827	DOA1 FLJ11281 FLJ12699 PLA2P PLAA PLAP 	ENSG00000137055 	9373 	phospholipid metabolic process : inflammatory response : extracellular vesicular exosome : signal transduction : 	phospholipase A2-activating protein 
828	ARGBP2 FLJ93447 KIAA0777 PRO0618 SORBS2 	ENSG00000154556 	8470 	cell migration : actin filament organization : Z disc : actin cytoskeleton : perinuclear region of cytoplasm : plasma membrane : nucleus : cell adhesion : 	sorbin and SH3 domain containing 2 
829	EMK1 MARK2 MGC99619 PAR-1 Par1b 	ENSG00000072518 	2011 	regulation of cytoskeleton organization : regulation of axonogenesis : positive regulation of neuron projection development : establishment or maintenance of epithelial cell apical/basal polarity : protein autophosphorylation : Wnt signaling pathway : establishment of cell polarity : neuron migration : basal cortex : membrane : plasma membrane : nucleus : intracellular signal transduction : protein phosphorylation : 	MAP/microtubule affinity-regulating kinase 2 
830	CNOT9 RCD1 RCD1+ RQCD1 	ENSG00000144580 	9125 	positive regulation of ligand-dependent nuclear receptor transcription coactivator activity : sex differentiation : cytokine-mediated signaling pathway : negative regulation of intracellular estrogen receptor signaling pathway : gene silencing by RNA : regulation of translation : nuclear-transcribed mRNA poly(A) tail shortening : nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay : mRNA metabolic process : RNA metabolic process : CCR4-NOT complex : cytoplasmic mRNA processing body : cytosol : nucleus : transcription, DNA-templated : regulation of transcription, DNA-templated : gene expression : 	RCD1 required for cell differentiation1 homolog (S. pombe) 
831	ESP-2 HED-2 ZYX 	ENSG00000159840 	7791 	cell-cell signaling : regulation of inflammatory response : stress fiber : cell-cell adherens junction : focal adhesion : integral component of plasma membrane : cytoplasm : plasma membrane : nucleus : cell adhesion : signal transduction : modulation by virus of host morphology or physiology : 	zyxin 
832	EDTP308 FLJ00289 IMAGE3455200 MGC2694 MST134 MST576 VKCFD2 VKOR VKORC1 	ENSG00000167397 	79001 	drug metabolic process : peptidyl-glutamic acid carboxylation : post-translational protein modification : endoplasmic reticulum membrane : integral component of membrane : cellular protein metabolic process : 	vitamin K epoxide reductase complex, subunit 1 
833	BABAM1 FLJ20571 HSPC142 	ENSG00000105393 	29086 	protein K63-linked deubiquitination : positive regulation of DNA repair : G2 DNA damage checkpoint : response to ionizing radiation : double-strand break repair : chromatin modification : BRISC complex : BRCA1-A complex : cytoplasm : nucleus : 	BRISC and BRCA1 A complex member 1 
834	hPSO4 NMP200 PRP19 PRPF19 PSO4 SNEV UBOX4 	ENSG00000110107 	27339 	positive regulation of astrocyte differentiation : positive regulation of mRNA splicing, via spliceosome : spliceosomal complex assembly : lipid biosynthetic process : inner cell mass cell proliferation : negative regulation of neuron differentiation : mRNA splicing, via spliceosome : protein polyubiquitination : protein ubiquitination : Prp19 complex : catalytic step 2 spliceosome : nuclear speck : lipid particle : ubiquitin ligase complex : spindle : cytoplasm : nucleus : DNA repair : 	PRP19/PSO4 pre-mRNA processing factor 19 homolog (S. cerevisiae) 
835	RING5 RMA1 RNF5 	ENSG00000204308 	6048 	ER-associated misfolded protein catabolic process : protein K48-linked ubiquitination : protein K63-linked ubiquitination : cellular protein catabolic process : mitochondrial membrane : endoplasmic reticulum membrane : integral component of membrane : 	ring finger protein 5 
836	CDCD1 CDDC CMD1A CMT2B1 EMD2 FPL FPLD HGPS IDC LDP1 LFP LGMD1B LMN1 LMNA LMNC PRO1 	ENSG00000160789 	4000 	sterol regulatory element binding protein import into nucleus : establishment or maintenance of microtubule cytoskeleton polarity : mitotic nuclear envelope reassembly : mitotic nuclear envelope disassembly : activation of signaling protein activity involved in unfolded protein response : cellular component disassembly involved in execution phase of apoptosis : positive regulation of cell aging : endoplasmic reticulum unfolded protein response : cellular response to hypoxia : regulation of cell migration : protein localization to nucleus : muscle organ development : ventricular cardiac muscle cell development : regulation of apoptotic process : nuclear lamina : nuclear speck : lamin filament : nuclear envelope : nucleoplasm : intermediate filament : perinuclear region of cytoplasm : cytosol : cytoplasm : nucleus : nuclear envelope organization : nucleus organization : negative regulation of release of cytochrome c from mitochondria : negative regulation of extrinsic apoptotic signaling pathway : mitotic cell cycle : apoptotic process : cellular protein metabolic process : 	lamin A/C 
837	FLJ90614 HD5 HDAC5 NY-CO-9 	ENSG00000108840 	10014 	negative regulation of myotube differentiation : chromatin silencing : negative regulation of cell migration involved in sprouting angiogenesis : chromatin organization : B cell activation : negative regulation of osteoblast differentiation : osteoblast development : regulation of skeletal muscle fiber development : histone deacetylation : chromatin remodeling : regulation of protein binding : B cell differentiation : positive regulation of sequence-specific DNA binding transcription factor activity : chromatin modification : cellular response to insulin stimulus : Notch signaling pathway : response to cocaine : regulation of myotube differentiation : response to stress : heart development : inflammatory response : regulation of striated muscle cell differentiation : multicellular organismal response to stress : histone deacetylase complex : nuclear body : nucleoplasm : Golgi apparatus : cytosol : cytoplasm : nucleus : protein complex : negative regulation of transcription from RNA polymerase II promoter : transcription, DNA-templated : response to drug : negative regulation of transcription, DNA-templated : positive regulation of transcription from RNA polymerase II promoter : 	histone deacetylase 5 
838	ALPHA-CP3 PCBP3 	ENSG00000183570 	54039 	mRNA metabolic process : ribonucleoprotein complex : intracellular membrane-bounded organelle : cytosol : mitochondrion : nucleus : 	poly(rC) binding protein 3 
839	AF6q21 DKFZp781A0677 FKHRL1 FKHRL1P2 FOXO2 FOXO3 FOXO3A MGC12739 MGC31925 	ENSG00000118689 	2309 	neurotrophin TRK receptor signaling pathway : positive regulation of erythrocyte differentiation : epidermal growth factor receptor signaling pathway : DNA damage response, signal transduction by p53 class mediator : antral ovarian follicle growth : initiation of primordial ovarian follicle growth : ovulation from ovarian follicle : fibroblast growth factor receptor signaling pathway : positive regulation of neuron apoptotic process : oocyte maturation : regulation of cell proliferation : tissue development : embryo development : insulin receptor signaling pathway : pattern specification process : regulation of translation : phosphatidylinositol-mediated signaling : glucose homeostasis : cellular response to DNA damage stimulus : Fc-epsilon receptor signaling pathway : nucleoplasm : cytosol : membrane : cytoplasm : nucleus : extrinsic apoptotic signaling pathway in absence of ligand : negative regulation of transcription from RNA polymerase II promoter : apoptotic process : transcription, DNA-templated : regulation of transcription, DNA-templated : positive regulation of transcription, DNA-templated : innate immune response : positive regulation of transcription from RNA polymerase II promoter : 	forkhead box O3 
840	AGS4 JUNB RNASEH2A RNASEHI RNHIA RNHL 	ENSG00000104889 	10535 	RNA catabolic process : DNA replication : RNA metabolic process : ribonuclease H2 complex : nucleus : 	ribonuclease H2, subunit A 
841	HPF7 HTF10 ZNF91 	ENSG00000167232 	7644 	intracellular : nucleus : transcription, DNA-templated : regulation of transcription, DNA-templated : 	zinc finger protein 91 
842	LKB1 PJS STK11 	ENSG00000118046 	6794 	anoikis : response to lipid : intrinsic apoptotic signaling pathway by p53 class mediator : energy reserve metabolic process : regulation of Wnt signaling pathway : positive regulation of gluconeogenesis : vasculature development : negative regulation of epithelial cell proliferation involved in prostate gland development : positive regulation of transforming growth factor beta receptor signaling pathway : regulation of fatty acid biosynthetic process : Golgi localization : positive regulation of protein kinase activity : response to glucagon : protein heterooligomerization : response to ionizing radiation : regulation of protein kinase B signaling : protein autophosphorylation : tissue homeostasis : activation of protein kinase activity : spermatid development : positive regulation of axonogenesis : cell cycle arrest : establishment of cell polarity : insulin receptor signaling pathway : canonical Wnt signaling pathway : regulation of cell growth : glucose homeostasis : axonogenesis : negative regulation of cell growth : cellular response to DNA damage stimulus : autophagy : response to peptide hormone : TCR signalosome assembly : positive thymic T cell selection : positive regulation of peptidyl-tyrosine phosphorylation : T cell receptor signaling pathway : protein complex : cytosol : membrane : mitochondrion : cytoplasm : nucleus : TCR signalosome : protein phosphorylation : negative regulation of cell proliferation : small molecule metabolic process : 	serine/threonine kinase 11 
843	D4S114 NREP P311 PRO1873 PTZ17 	ENSG00000134986 	9315 	regulation of neuron differentiation : regulation of transforming growth factor beta receptor signaling pathway : axon regeneration : cytoplasm : nucleus : 	chromosome 5 open reading frame 13 
844	ECYT4 EPAS1 HIF2A HLF MOP2 PASD2 	ENSG00000116016 	2034 	myoblast fate commitment : surfactant homeostasis : norepinephrine metabolic process : regulation of heart rate : lung development : erythrocyte differentiation : mitochondrion organization : regulation of transcription from RNA polymerase II promoter in response to oxidative stress : embryonic placenta development : cell maturation : response to hypoxia : angiogenesis : visual perception : blood vessel remodeling : cytoplasm : transcription factor complex : nucleus : regulation of transcription from RNA polymerase II promoter in response to hypoxia : cellular response to hypoxia : response to oxidative stress : hemopoiesis : nucleoplasm : cytosol : transcription from RNA polymerase II promoter : signal transduction : regulation of transcription, DNA-templated : cell differentiation : positive regulation of transcription from RNA polymerase II promoter : 	endothelial PAS domain protein 1 
845	CGI-128 FAM96B 	ENSG00000166595 	51647 	chromosome segregation : CIA complex : MMXD complex : spindle : cytoplasm : nucleus : small molecule metabolic process : 	family with sequence similarity 96, member B 
846	FLJ46404 TPR1 TTC1 	ENSG00000113312 	7265 	protein folding : peroxisomal membrane : 	tetratricopeptide repeat domain 1 
847	KIAA0016 MAS20 MGC117367 MOM19 TOM20 TOMM20 	ENSG00000173726 	9804 	protein targeting : protein targeting to mitochondrion : mitochondrial outer membrane translocase complex : mitochondrion : integral component of membrane : mitochondrial outer membrane : mitochondrial envelope : intracellular protein transport : cellular protein metabolic process : 	translocase of outer mitochondrial membrane 20 homolog (yeast) 
848	BCL5 BCL6 BCL6A LAZ3 ZBTB27 ZNF51 	ENSG00000113916 	604 	negative regulation of B cell apoptotic process : protein import into nucleus, translocation : regulation of germinal center formation : erythrocyte development : negative regulation of isotype switching to IgE isotypes : negative regulation of T-helper 2 cell differentiation : regulation of memory T cell differentiation : type 2 immune response : negative regulation of Rho protein signal transduction : positive regulation of B cell proliferation : negative regulation of type 2 immune response : germinal center formation : negative regulation of cell-matrix adhesion : regulation of inflammatory response : B cell differentiation : negative regulation of mast cell cytokine production : Rho protein signal transduction : protein localization : regulation of Rho GTPase activity : cell morphogenesis : actin cytoskeleton organization : positive regulation of cellular component movement : negative regulation of cell growth : cellular response to DNA damage stimulus : inflammatory response : regulation of immune response : negative regulation of cell differentiation : regulation of cell proliferation : replication fork : nucleus : negative regulation of transcription from RNA polymerase II promoter : transcription, DNA-templated : spermatogenesis : negative regulation of apoptotic process : negative regulation of cell proliferation : negative regulation of transcription, DNA-templated : positive regulation of apoptotic process : 	B-cell CLL/lymphoma 6 
849	ADNP ADNP1 KIAA0784 	ENSG00000101126 	23394 	negative regulation of neuron apoptotic process : extracellular space : nucleus : transcription, DNA-templated : regulation of transcription, DNA-templated : 	activity-dependent neuroprotector homeobox 
850	A2MR APOER APR CD91 FLJ16451 IGFBP3R LRP LRP1 MGC88725 TGFBR5 	ENSG00000123384 	4035 	beta-amyloid clearance : positive regulation of lipid transport : negative regulation of platelet-derived growth factor receptor-beta signaling pathway : regulation of cholesterol transport : phototransduction, visible light : regulation of phospholipase A2 activity : retinoid metabolic process : positive regulation of cholesterol efflux : negative regulation of smooth muscle cell migration : aorta morphogenesis : apoptotic cell clearance : receptor-mediated endocytosis : regulation of actin cytoskeleton organization : lipoprotein transport : negative regulation of Wnt signaling pathway : cholesterol metabolic process : negative regulation of neuron apoptotic process : protein kinase C-activating G-protein coupled receptor signaling pathway : lipoprotein metabolic process : positive regulation of protein transport : aging : endocytic vesicle membrane : coated pit : lysosomal membrane : integral component of plasma membrane : plasma membrane : nucleus : neuronal cell body : endosome : clathrin-coated vesicle : dendrite : membrane : integral component of membrane : cell proliferation : 	low density lipoprotein receptor-related protein 1 
851	DKFZp313J1712 FP793 RN RNU2AF1 U2AF1 U2AF35 U2AFBP 	ENSG00000160201 	7307 	termination of RNA polymerase II transcription : mRNA 3'-end processing : mRNA export from nucleus : mRNA splicing, via spliceosome : RNA splicing : mRNA processing : catalytic step 2 spliceosome : Cajal body : nuclear speck : spliceosomal complex : nucleoplasm : nucleus : transcription from RNA polymerase II promoter : gene expression : 	U2 small nuclear RNA auxiliary factor 1 
852	DKFZp686P05226 FLJ41892 p55 p55-GAMMA PIK3R3 	ENSG00000117461 	8503 	phosphatidylinositol-3-phosphate biosynthetic process : phospholipid metabolic process : phosphatidylinositol biosynthetic process : insulin receptor signaling pathway : phosphatidylinositol 3-kinase complex : cytosol : small molecule metabolic process : 	phosphoinositide-3-kinase, regulatory subunit 3 (gamma) 
853	ACSVL4 FATP4 SLC27A4 	ENSG00000167114 	10999 	medium-chain fatty acid transport : long-chain fatty acid import : very long-chain fatty acid catabolic process : long-chain fatty acid metabolic process : skin development : long-chain fatty acid transport : fatty acid transport : lipid metabolic process : response to nutrient : very long-chain fatty acid metabolic process : fatty acid metabolic process : microvillus : brush border membrane : endoplasmic reticulum membrane : plasma membrane : integral component of membrane : endoplasmic reticulum : metabolic process : transport : transmembrane transport : 	solute carrier family 27 (fatty acid transporter), member 4 
854	DHC1 DHC1a DKFZp686P2245 DNCH1 Dnchc1 DNCL DNECL DYHC DYNC1H1 HL-3 KIAA0325 p22 	ENSG00000197102 	1778 	mitotic spindle organization : antigen processing and presentation of exogenous peptide antigen via MHC class II : cytoplasmic mRNA processing body assembly : stress granule assembly : cell death : microtubule-based movement : G2/M transition of mitotic cell cycle : dynein complex : cytoplasmic dynein complex : extracellular vesicular exosome : centrosome : microtubule : Golgi apparatus : cytosol : cytoplasm : mitotic cell cycle : transport : 	dynein, cytoplasmic 1, heavy chain 1 
855	BKLHD1 KBTBD2 	ENSG00000170852 	25948 	Unavailable	kelch repeat and BTB (POZ) domain containing 2 
856	HIPK1 KIAA0630 MGC26642 MGC33446 MGC33548 Myak Nbak2 	ENSG00000163349 	204851 	endothelial cell apoptotic process : extrinsic apoptotic signaling pathway : regulation of tumor necrosis factor-mediated signaling pathway : protein desumoylation : iris morphogenesis : lens induction in camera-type eye : intrinsic apoptotic signaling pathway in response to DNA damage by p53 class mediator : embryonic retina morphogenesis in camera-type eye : definitive hemopoiesis : embryonic camera-type eye morphogenesis : anterior/posterior pattern specification : smoothened signaling pathway : positive regulation of angiogenesis : retina layer formation : neuron differentiation : eye development : nuclear speck : PML body : cytoplasm : nucleus : transcription, DNA-templated : regulation of transcription, DNA-templated : protein phosphorylation : positive regulation of cell proliferation : 	homeodomain interacting protein kinase 1 
857	CDA1 CINAP CTCL DENTT HRIHFB2216 SE20-4 TSPYL2 	ENSG00000184205 	64061 	activation of signaling protein activity involved in unfolded protein response : endoplasmic reticulum unfolded protein response : regulation of signal transduction : negative regulation of DNA replication : negative regulation of cell cycle : chromatin modification : regulation of protein kinase activity : cell cycle : nucleosome assembly : negative regulation of cell growth : centrosome : nucleoplasm : nucleolus : cytoplasm : plasma membrane : nucleus : transcription, DNA-templated : regulation of transcription, DNA-templated : cellular protein metabolic process : 	TSPY-like 2 
858	ALDA ALDOA MGC10942 MGC17716 MGC17767 	ENSG00000149925 	226 	fructose 1,6-bisphosphate metabolic process : striated muscle contraction : platelet degranulation : gluconeogenesis : ATP biosynthetic process : muscle cell cellular homeostasis : fructose metabolic process : protein homotetramerization : platelet activation : glucose metabolic process : regulation of cell shape : glycolytic process : actin filament organization : platelet alpha granule lumen : I band : extracellular vesicular exosome : actin cytoskeleton : cytosol : extracellular region : blood coagulation : carbohydrate metabolic process : small molecule metabolic process : 	aldolase A, fructose-bisphosphate 
859	CGI-114 DKFZp566E144 MGC111570 REX2 REXO2 RFN SFN 	ENSG00000076043 	25996 	nucleotide metabolic process : nucleobase-containing compound metabolic process : nucleolus : mitochondrion : plasma membrane : nucleus : 	REX2, RNA exonuclease 2 homolog (S. cerevisiae) 
860	DIP-1 DKFZp686I0769 DKFZp761M1710 FLJ90676 MGC129659 MGC129660 MIB MIB1 ZZANK2 ZZZ6 	ENSG00000101752 	57534 	heart looping : positive regulation of endocytosis : blood vessel development : neural tube formation : Notch signaling pathway : negative regulation of neuron differentiation : somitogenesis : in utero embryonic development : protein ubiquitination : heart development : cytoplasmic vesicle : centrosome : nuclear membrane : intracellular membrane-bounded organelle : cytosol : plasma membrane : postsynaptic density : 	mindbomb homolog 1 (Drosophila) 
861	p21 pp21 SIIR TCEAL1 	ENSG00000172465 	9338 	nucleus : negative regulation of transcription from RNA polymerase II promoter : transcription, DNA-templated : 	transcription elongation factor A (SII)-like 1 
862	DKFZp586I1520 RANBP3 	ENSG00000031823 	8498 	intracellular transport : cytoplasm : nucleus : protein transport : 	RAN binding protein 3 
863	SLITL2 VASN 	ENSG00000168140 	114990 	cellular response to redox state : cellular response to hypoxia : lysosomal membrane : mitochondrion : extracellular region : plasma membrane : integral component of membrane : 	vasorin 
864	CD18 ITGB2 LAD LCAMB LFA-1 MAC-1 MF17 MFI7 	ENSG00000160255 	3689 	toll-like receptor 4 signaling pathway : leukocyte cell-cell adhesion : neutrophil chemotaxis : leukocyte migration : toll-like receptor signaling pathway : regulation of peptidyl-tyrosine phosphorylation : cell-cell signaling : integrin-mediated signaling pathway : regulation of cell shape : cell-matrix adhesion : inflammatory response : regulation of immune response : integrin complex : membrane : plasma membrane : blood coagulation : apoptotic process : cell adhesion : multicellular organismal development : innate immune response : 	integrin, beta 2 (complement component 3 receptor 3 and 4 subunit) 
865	MT-1l MT1 MT1X 	ENSG00000187193 	4501 	cellular response to erythropoietin : negative regulation of growth : response to metal ion : cellular response to cadmium ion : cellular response to zinc ion : perinuclear region of cytoplasm : cytoplasm : nucleus : 	metallothionein 1X 
866	EGLN3 FLJ21620 HIFPH3 MGC125998 MGC125999 PHD3 	ENSG00000129521 	112399 	protein hydroxylation : regulation of transcription from RNA polymerase II promoter in response to hypoxia : activation of cysteine-type endopeptidase activity involved in apoptotic process : regulation of neuron apoptotic process : cellular response to hypoxia : peptidyl-proline hydroxylation to 4-hydroxy-L-proline : regulation of cell proliferation : response to hypoxia : cellular response to DNA damage stimulus : nucleoplasm : cytosol : cytoplasm : nucleus : apoptotic process : oxidation-reduction process : 	egl nine homolog 3 (C. elegans) 
867	DX254E DXS254E G6PD GDX UBL4 UBL4A 	ENSG00000102178 	8266 	tail-anchored membrane protein insertion into ER membrane : cellular protein modification process : BAT3 complex : cytosol : transport : 	ubiquitin-like 4A 
868	ASK1 MAP3K5 MAPKKK5 MEKK5 	ENSG00000197442 	4217 	activation of cysteine-type endopeptidase activity involved in apoptotic process : intrinsic apoptotic signaling pathway in response to oxidative stress : apoptotic signaling pathway : MAPK cascade : positive regulation of cysteine-type endopeptidase activity involved in apoptotic process : activation of JUN kinase activity : JNK cascade : cellular response to hydrogen peroxide : activation of MAPK activity : activation of MAPKK activity : response to ischemia : positive regulation of protein phosphorylation : regulation of cell death : endoplasmic reticulum : protein phosphorylation : modulation by virus of host morphology or physiology : positive regulation of apoptotic process : innate immune response : 	mitogen-activated protein kinase kinase kinase 5 
869	BST2 CD317 	ENSG00000130303 	684 	negative regulation of intracellular transport of viral material : negative regulation of plasmacytoid dendritic cell cytokine production : response to interferon-alpha : response to interferon-beta : B cell activation : response to interferon-gamma : defense response to virus : humoral immune response : regulation of actin cytoskeleton organization : negative regulation of cell migration : cell-cell signaling : negative regulation of viral genome replication : response to virus : positive regulation of I-kappaB kinase/NF-kappaB signaling : negative regulation of cell growth : late endosome : anchored component of membrane : apical plasma membrane : membrane raft : Golgi apparatus : cell surface : integral component of plasma membrane : cytoplasm : plasma membrane : intracellular : signal transduction : multicellular organismal development : cell proliferation : innate immune response : 	bone marrow stromal cell antigen 2 
870	MGC24583 MGC8541 P26S4 p56 PSMC1 S4 	ENSG00000100764 	5700 	negative regulation of ubiquitin-protein ligase activity involved in mitotic cell cycle : G1/S transition of mitotic cell cycle : protein catabolic process : regulation of ubiquitin-protein ligase activity involved in mitotic cell cycle : positive regulation of ubiquitin-protein ligase activity involved in mitotic cell cycle : antigen processing and presentation of exogenous peptide antigen via MHC class I : cellular nitrogen compound metabolic process : anaphase-promoting complex-dependent proteasomal ubiquitin-dependent protein catabolic process : mRNA metabolic process : RNA metabolic process : DNA damage response, signal transduction by p53 class mediator resulting in cell cycle arrest : regulation of cellular amino acid metabolic process : antigen processing and presentation of exogenous peptide antigen via MHC class I, TAP-dependent : viral process : DNA recombination : ATP catabolic process : antigen processing and presentation of peptide antigen via MHC class I : protein polyubiquitination : regulation of apoptotic process : proteasome complex : proteasome accessory complex : nucleoplasm : cytosol : cytoplasm : nucleus : mitotic cell cycle : apoptotic process : DNA repair : proteolysis : negative regulation of apoptotic process : gene expression : small molecule metabolic process : 	proteasome (prosome, macropain) 26S subunit, ATPase, 1 
871	JNK JNK1 JNK1A2 JNK21B1/2 MAPK8 PRKM8 SAPK1 	ENSG00000107643 	5599 	positive regulation of apoptotic signaling pathway : ossification : positive regulation of determination of dorsal identity : regulation of gene expression : peptidyl-threonine phosphorylation : response to cadmium ion : cytosol : mitochondrion : nucleus : JUN phosphorylation : positive regulation of deacetylase activity : positive regulation of protein insertion into mitochondrial membrane involved in apoptotic signaling pathway : toll-like receptor 5 signaling pathway : toll-like receptor TLR6:TLR2 signaling pathway : toll-like receptor TLR1:TLR2 signaling pathway : TRIF-dependent toll-like receptor signaling pathway : toll-like receptor 2 signaling pathway : neurotrophin TRK receptor signaling pathway : toll-like receptor 9 signaling pathway : toll-like receptor 4 signaling pathway : lipopolysaccharide biosynthetic process : stress-activated MAPK cascade : toll-like receptor 10 signaling pathway : toll-like receptor 3 signaling pathway : MyD88-independent toll-like receptor signaling pathway : MyD88-dependent toll-like receptor signaling pathway : apoptotic signaling pathway : regulation of histone deacetylation : cellular response to mechanical stimulus : intrinsic apoptotic signaling pathway : regulation of protein localization : regulation of sequence-specific DNA binding transcription factor activity : response to UV : toll-like receptor signaling pathway : peptidyl-serine phosphorylation : negative regulation of protein binding : JNK cascade : positive regulation of gene expression : response to stress : Fc-epsilon receptor signaling pathway : nucleoplasm : membrane : cytoplasm : apoptotic process : protein phosphorylation : negative regulation of apoptotic process : positive regulation of apoptotic process : innate immune response : 	mitogen-activated protein kinase 8 
872	KOX17 RSG-A Zfp191 ZNF191 ZNF24 ZSCAN3 	ENSG00000172466 	7572 	myelination : nucleus : transcription, DNA-templated : regulation of transcription, DNA-templated : negative regulation of transcription, DNA-templated : 	zinc finger protein 24 
873	FLJ33126 FLJ99898 HINT3 HINT4 MGC22976 	ENSG00000111911 	135114 	nucleolus : mitochondrion : cytoplasm : 	histidine triad nucleotide binding protein 3 
874	ACP33 BM-019 GL010 MASPARDIN MAST SPG21 	ENSG00000090487 	51324 	antigen receptor-mediated signaling pathway : cell death : trans-Golgi network transport vesicle : endosome membrane : cytosol : cytoplasm : nucleus : 	spastic paraplegia 21 (autosomal recessive, Mast syndrome) 
875	GPI3 PIG-A PIGA 	ENSG00000165195 	5277 	positive regulation of metabolic process : preassembly of GPI anchor in ER membrane : C-terminal protein lipidation : post-translational protein modification : biosynthetic process : GPI anchor biosynthetic process : glycosylphosphatidylinositol-N-acetylglucosaminyltransferase (GPI-GnT) complex : endoplasmic reticulum membrane : integral component of membrane : cellular protein metabolic process : 	phosphatidylinositol glycan anchor biosynthesis, class A 
876	61E3.4 ATX KIAA0421 LIP SMG1 	ENSG00000157106 	23049 	nuclear-transcribed mRNA catabolic process, nonsense-mediated decay : mRNA export from nucleus : protein autophosphorylation : peptidyl-serine phosphorylation : response to stress : mRNA metabolic process : RNA metabolic process : phosphatidylinositol phosphorylation : cytosol : cytoplasm : nucleus : DNA repair : gene expression : 	smg-1 homolog, phosphatidylinositol 3-kinase-related kinase (C. elegans) 
877	GM632 KIAA1196 MGC149845 MGC149846 ZNF512B 	ENSG00000196700 	57473 	nucleus : transcription, DNA-templated : regulation of transcription, DNA-templated : 	zinc finger protein 512B 
