Symbol	Description	Score	Synonyms	GO annotations	Links
TUBB3 	tubulin, beta 3 class III [Source:HGNC Symbol;Acc:20772]	63.41	ENSG00000198211;ENSG00000258947;ENSP00000302777;ENSP00000320295;ENSP00000450538;ENSP00000450765;ENSP00000450822;ENSP00000451276;ENSP00000451378;ENSP00000451465;ENSP00000451560;ENSP00000451617;ENSP00000451985;ENSP00000452001;ENSP00000452166;ENSP00000452554;10381;TUBB3;NP_001184110;NP_006077;NM_001197181;NM_006086;Q13509;TBB3_HUMAN;		http://www.ncbi.nlm.nih.gov/sites/entrez?db=gene&cmd=search&term=10381
ETS2 	v-ets avian erythroblastosis virus E26 oncogene homolog 2 [Source:HGNC Symbol;Acc:3489]	63.39	ENSG00000157557;ENSP00000353344;ENSP00000354194;ENSP00000401273;ENSP00000411086;2114;ETS2;NP_001243224;NP_005230;NM_001256295;NM_005239;ETS2_HUMAN;P15036;		http://www.ncbi.nlm.nih.gov/sites/entrez?db=gene&cmd=search&term=2114
ITM2A 	integral membrane protein 2A [Source:HGNC Symbol;Acc:6173]	63.08	ENSG00000078596;ENSP00000362395;ENSP00000415533;9452;ITM2A;NP_001165052;NP_004858;NM_001171581;NM_004867;BRICD2A;E25A;ITM2A_HUMAN;O43736;		http://www.ncbi.nlm.nih.gov/sites/entrez?db=gene&cmd=search&term=9452
HSD17B4 	hydroxysteroid (17-beta) dehydrogenase 4 [Source:HGNC Symbol;Acc:5213]	62.93	ENSG00000133835;ENSP00000256216;ENSP00000390208;ENSP00000411960;ENSP00000420914;ENSP00000424613;ENSP00000424940;ENSP00000425993;ENSP00000426272;3295;HSD17B4;NP_000405;NP_001186220;NP_001186221;NM_000414;NM_001199291;NM_001199292;MFE-2;SDR8C1;DHB4_HUMAN;P51659;		http://www.ncbi.nlm.nih.gov/sites/entrez?db=gene&cmd=search&term=3295
PAICS 	phosphoribosylaminoimidazole carboxylase, phosphoribosylaminoimidazole succinocarboxamide synthetase [Source:HGNC Symbol;Acc:8587]	62.72	ENSG00000128050;ENSP00000264221;ENSP00000382595;ENSP00000421096;ENSP00000424053;ENSP00000424907;10606;PAICS;NP_001072992;NP_001072993;NP_006443;NM_001079524;NM_001079525;NM_006452;ADE2H1;AIRC;PAIS;P22234;PUR6_HUMAN;	acid-amino acid ligase activity; ligase activity, forming carbon-nitrogen bonds	http://www.ncbi.nlm.nih.gov/sites/entrez?db=gene&cmd=search&term=10606
MAP4K4 	mitogen-activated protein kinase kinase kinase kinase 4 [Source:HGNC Symbol;Acc:6866]	62.65	ENSG00000071054;ENSP00000281111;ENSP00000303600;ENSP00000313644;ENSP00000314363;ENSP00000343658;ENSP00000387370;ENSP00000389752;ENSP00000392830;ENSP00000396066;ENSP00000403016;ENSP00000409720;ENSP00000414766;9448;MAP4K4;NP_001229488;NP_001229489;NP_004825;NP_663719;NP_663720;NM_001242559;NM_001242560;NM_004834;NM_145686;NM_145687;FLH21957;HGK;NIK;M4K4_HUMAN;O95819;		http://www.ncbi.nlm.nih.gov/sites/entrez?db=gene&cmd=search&term=9448
CAPN2 	calpain 2, (m/II) large subunit [Source:HGNC Symbol;Acc:1479]	62.53	ENSG00000162909;ENSP00000295006;ENSP00000399949;ENSP00000413158;824;CAPN2;NP_001139540;NP_001739;NM_001146068;NM_001748;CANPL2;CANPml;mCANP;CAN2_HUMAN;P17655;		http://www.ncbi.nlm.nih.gov/sites/entrez?db=gene&cmd=search&term=824
TCF4 	transcription factor 4 [Source:HGNC Symbol;Acc:11634]	61.38	ENSG00000196628;ENSP00000346440;ENSP00000348374;ENSP00000381382;ENSP00000409447;ENSP00000439656;ENSP00000439827;ENSP00000440731;ENSP00000441562;ENSP00000445202;ENSP00000454328;ENSP00000454352;ENSP00000454366;ENSP00000454441;ENSP00000454584;ENSP00000454647;ENSP00000454866;ENSP00000455071;ENSP00000455135;ENSP00000455163;ENSP00000455179;ENSP00000455261;ENSP00000455304;ENSP00000455346;ENSP00000455418;ENSP00000455450;ENSP00000455763;ENSP00000455984;ENSP00000456125;ENSP00000456220;ENSP00000456802;ENSP00000456917;ENSP00000456983;ENSP00000457082;ENSP00000457113;ENSP00000457245;ENSP00000457263;ENSP00000457392;ENSP00000457649;ENSP00000457747;ENSP00000457765;ENSP00000458122;ENSP00000468277;ENSP00000468729;6925;TCF4;NP_001077431;NP_001230155;NP_001230156;NP_001230157;NP_001230159;NP_001230160;NP_001230161;NP_001230162;NP_001230163;NP_001230164;NP_001230165;NP_003190;NM_001083962;NM_001243226;NM_001243227;NM_001243228;NM_001243230;NM_001243231;NM_001243232;NM_001243233;NM_001243234;NM_001243235;NM_001243236;NM_003199;bHLHb19;E2-2;ITF2;SEF2-1B;ITF2_HUMAN;P15884;	regulation of nervous system development; regulation of neurogenesis	http://www.ncbi.nlm.nih.gov/sites/entrez?db=gene&cmd=search&term=6925
GSTO1 	glutathione S-transferase omega 1 [Source:HGNC Symbol;Acc:13312]	60.66	ENSG00000148834;ENSP00000358724;ENSP00000358727;ENSP00000405325;ENSP00000406708;ENSP00000441488;9446;GSTO1;NP_001177931;NP_001177932;NP_004823;NM_001191002;NM_001191003;NM_004832;GSTTLp28;GSTO1_HUMAN;P78417;		http://www.ncbi.nlm.nih.gov/sites/entrez?db=gene&cmd=search&term=9446
DYNLT1 	dynein, light chain, Tctex-type 1 [Source:HGNC Symbol;Acc:11697]	60.57	ENSG00000146425;ENSP00000356052;ENSP00000356055;ENSP00000356056;6993;DYNLT1;NP_006510;NM_006519;TCTEL1;DYLT1_HUMAN;P63172;	regulation of nervous system development; regulation of neurogenesis; single-organism cellular localization; single-organism localization; viral life cycle	http://www.ncbi.nlm.nih.gov/sites/entrez?db=gene&cmd=search&term=6993
TARS 	threonyl-tRNA synthetase [Source:HGNC Symbol;Acc:11572]	60.33	ENSG00000113407;ENSP00000265112;ENSP00000387710;ENSP00000394291;ENSP00000420893;ENSP00000422130;ENSP00000422291;ENSP00000422598;ENSP00000424387;ENSP00000425524;ENSP00000427304;ENSP00000427627;ENSP00000438469;6897;TARS;NP_001245366;NP_001245367;NP_689508;NM_001258437;NM_001258438;NM_152295;P26639;SYTC_HUMAN;	ncRNA metabolic process	http://www.ncbi.nlm.nih.gov/sites/entrez?db=gene&cmd=search&term=6897
RNF13 	ring finger protein 13 [Source:HGNC Symbol;Acc:10057]	60.01	ENSG00000082996;ENSP00000341361;ENSP00000355268;ENSP00000376628;ENSP00000417294;ENSP00000417655;ENSP00000418308;ENSP00000418863;ENSP00000419069;ENSP00000419508;ENSP00000419809;ENSP00000419836;ENSP00000420067;ENSP00000420124;ENSP00000420510;ENSP00000420667;11342;RNF13;NP_009213;NP_899237;NM_007282;NM_183381;RZF;O43567;RNF13_HUMAN;	acid-amino acid ligase activity; ligase activity, forming carbon-nitrogen bonds	http://www.ncbi.nlm.nih.gov/sites/entrez?db=gene&cmd=search&term=11342
CSRP1 	cysteine and glycine-rich protein 1 [Source:HGNC Symbol;Acc:2469]	59.79	ENSG00000159176;ENSP00000345079;ENSP00000356275;ENSP00000432110;ENSP00000434147;ENSP00000436491;ENSP00000436792;ENSP00000437218;1465;CSRP1;NP_001180499;NP_001180500;NP_001180501;NP_004069;NM_001193570;NM_001193571;NM_001193572;NM_004078;CYRP;D1S181E;CSRP1_HUMAN;P21291;		http://www.ncbi.nlm.nih.gov/sites/entrez?db=gene&cmd=search&term=1465
PSMD1 	proteasome (prosome, macropain) 26S subunit, non-ATPase, 1 [Source:HGNC Symbol;Acc:9554]	59.56	ENSG00000173692;ENSP00000309474;ENSP00000362738;ENSP00000386932;ENSP00000390967;ENSP00000400483;ENSP00000406141;ENSP00000410061;5707;PSMD1;NP_001177966;NP_002798;NM_001191037;NM_002807;P112;S1;PSMD1_HUMAN;Q99460;		http://www.ncbi.nlm.nih.gov/sites/entrez?db=gene&cmd=search&term=5707
PSAP 	prosaposin [Source:HGNC Symbol;Acc:9498]	58.41	ENSG00000197746;ENSP00000378392;ENSP00000378394;5660;PSAP;NP_001035930;NP_001035931;NP_002769;NM_001042465;NM_001042466;NM_002778;GLBA;P07602;SAP_HUMAN;		http://www.ncbi.nlm.nih.gov/sites/entrez?db=gene&cmd=search&term=5660
ZFP36 	ZFP36 ring finger protein [Source:HGNC Symbol;Acc:12862]	58.18	ENSG00000128016;ENSP00000248673;ENSP00000469647;ENSP00000470200;ENSP00000471239;ENSP00000472329;7538;ZFP36;NP_003398;NM_003407;G0S24;NUP475;RNF162A;TIS11;tristetraprolin;P26651;TTP_HUMAN;	mRNA catabolic process; nuclear-transcribed mRNA catabolic process; RNA catabolic process	http://www.ncbi.nlm.nih.gov/sites/entrez?db=gene&cmd=search&term=7538
TMEM59 	transmembrane protein 59 [Source:HGNC Symbol;Acc:1239]	58.02	ENSG00000116209;ENSP00000234831;ENSP00000360388;ENSP00000360392;ENSP00000360395;ENSP00000360399;ENSP00000397772;ENSP00000399761;ENSP00000413792;9528;TMEM59;NP_004863;NM_004872;C1orf8;HSPC001;Q9BXS4;TMM59_HUMAN;	establishment of protein localization to membrane	http://www.ncbi.nlm.nih.gov/sites/entrez?db=gene&cmd=search&term=9528
GNPAT 	glyceronephosphate O-acyltransferase [Source:HGNC Symbol;Acc:4416]	57.82	ENSG00000116906;ENSP00000355606;ENSP00000355607;ENSP00000402811;ENSP00000411640;8443;GNPAT;NP_055051;NM_014236;DAP-AT;DAPAT;DHAPAT;GNPAT_HUMAN;O15228;	acetyltransferase activity	http://www.ncbi.nlm.nih.gov/sites/entrez?db=gene&cmd=search&term=8443
DDX5 	DEAD (Asp-Glu-Ala-Asp) box helicase 5 [Source:HGNC Symbol;Acc:2746]	57.33	ENSG00000108654;ENSG00000263077;ENSP00000225792;ENSP00000403085;ENSP00000440276;ENSP00000459637;ENSP00000460989;ENSP00000462093;ENSP00000462191;ENSP00000462206;ENSP00000462222;ENSP00000462513;ENSP00000462587;ENSP00000462596;ENSP00000462885;ENSP00000463101;ENSP00000463168;ENSP00000463384;ENSP00000463541;ENSP00000463903;ENSP00000463923;ENSP00000463975;ENSP00000464064;ENSP00000464256;ENSP00000464304;ENSP00000464337;ENSP00000464564;ENSP00000464566;ENSP00000464587;ENSP00000464659;ENSP00000465791;100616387;100616408;1655;DDX5;NP_004387;NM_004396;G17P1;HLR1;DDX5_HUMAN;P17844;		http://www.ncbi.nlm.nih.gov/sites/entrez?db=gene&cmd=search&term=100616387
DDX39A 	DEAD (Asp-Glu-Ala-Asp) box polypeptide 39A [Source:HGNC Symbol;Acc:17821]	56.53	ENSG00000123136;ENSP00000242776;ENSP00000322749;ENSP00000392929;ENSP00000464801;ENSP00000465926;ENSP00000466754;ENSP00000466810;ENSP00000467040;ENSP00000467411;ENSP00000467862;ENSP00000467911;10212;DDX39A;NP_005795;NM_005804;BAT1L;DDX39;DDXL;URH49;DX39A_HUMAN;O00148;		http://www.ncbi.nlm.nih.gov/sites/entrez?db=gene&cmd=search&term=10212
RPL6 	ribosomal protein L6 [Source:HGNC Symbol;Acc:10362]	55.87	ENSG00000089009;ENSP00000202773;ENSP00000403172;ENSP00000446859;ENSP00000446883;ENSP00000448067;ENSP00000448570;ENSP00000449486;ENSP00000476161;6128;RPL6;NP_000961;NP_001019833;NM_000970;NM_001024662;TAXREB107;TXREB1;Q02878;RL6_HUMAN;	cellular protein complex disassembly; cotranslational protein targeting to membrane; cytosolic large ribosomal subunit; cytosolic part; cytosolic ribosome; establishment of protein localization to endoplasmic reticulum; establishment of protein localization to membrane; large ribosomal subunit; macromolecular complex disassembly; mRNA catabolic process; multi-organism metabolic process; nuclear-transcribed mRNA catabolic process; nuclear-transcribed mRNA catabolic process, nonsense-mediated decay; protein complex disassembly; protein localization to endoplasmic reticulum; protein localization to membrane; protein targeting; protein targeting to ER; protein targeting to membrane; ribosomal subunit; ribosome; RNA catabolic process; single-organism cellular localization; single-organism localization; SRP-dependent cotranslational protein targeting to membrane; structural constituent of ribosome; translational elongation; translational initiation; translational termination; viral gene expression; viral life cycle; viral transcription	http://www.ncbi.nlm.nih.gov/sites/entrez?db=gene&cmd=search&term=6128
LBR 	lamin B receptor [Source:HGNC Symbol;Acc:6518]	55.64	ENSG00000143815;ENSP00000272163;ENSP00000339883;ENSP00000388059;ENSP00000397817;ENSP00000415428;ENSP00000416554;3930;LBR;NP_002287;NP_919424;NM_002296;NM_194442;DHCR14B;TDRD18;LBR_HUMAN;Q14739;		http://www.ncbi.nlm.nih.gov/sites/entrez?db=gene&cmd=search&term=3930
CCT2 	chaperonin containing TCP1, subunit 2 (beta) [Source:HGNC Symbol;Acc:1615]	54.31	ENSG00000166226;ENSP00000299300;ENSP00000441847;ENSP00000445471;ENSP00000450153;10576;CCT2;NP_001185771;NP_006422;NM_001198842;NM_006431;Cctb;P78371;TCPB_HUMAN;		http://www.ncbi.nlm.nih.gov/sites/entrez?db=gene&cmd=search&term=10576
CREB1 	cAMP responsive element binding protein 1 [Source:HGNC Symbol;Acc:2345]	54.06	ENSG00000118260;ENSP00000236995;ENSP00000363518;ENSP00000387699;ENSP00000391125;ENSP00000392428;ENSP00000401803;ENSP00000403678;ENSP00000404890;ENSP00000405539;ENSP00000405711;ENSP00000407227;ENSP00000412016;ENSP00000440809;ENSP00000445892;1385;CREB1;NP_004370;NP_604391;NM_004379;NM_134442;CREB1_HUMAN;P16220;		http://www.ncbi.nlm.nih.gov/sites/entrez?db=gene&cmd=search&term=1385
PCNA 	proliferating cell nuclear antigen [Source:HGNC Symbol;Acc:8729]	54.02	ENSG00000132646;ENSP00000368438;ENSP00000368458;5111;PCNA;NP_002583;NP_872590;NM_002592;NM_182649;P12004;PCNA_HUMAN;		http://www.ncbi.nlm.nih.gov/sites/entrez?db=gene&cmd=search&term=5111
USP11 	ubiquitin specific peptidase 11 [Source:HGNC Symbol;Acc:12609]	52.18	ENSG00000102226;ENSP00000218348;ENSP00000366279;ENSP00000366282;ENSP00000366311;8237;USP11;NP_004642;NM_004651;UHX1;P51784;UBP11_HUMAN;		http://www.ncbi.nlm.nih.gov/sites/entrez?db=gene&cmd=search&term=8237
TARDBP 	TAR DNA binding protein [Source:HGNC Symbol;Acc:11571]	46.98	ENSG00000120948;ENSP00000240185;ENSP00000313129;ENSP00000404666;ENSP00000432132;ENSP00000465080;ENSP00000465240;ENSP00000465888;ENSP00000466842;ENSP00000467020;23435;TARDBP;NP_031401;NM_007375;ALS10;TDP-43;Q13148;TADBP_HUMAN;	viral transcription	http://www.ncbi.nlm.nih.gov/sites/entrez?db=gene&cmd=search&term=23435
RAP1A 	RAP1A, member of RAS oncogene family [Source:HGNC Symbol;Acc:9855]	1.91	ENSG00000116473;ENSP00000348786;ENSP00000358723;ENSP00000394318;ENSP00000396741;ENSP00000443009;5906;RAP1A;NP_001010935;NP_002875;NM_001010935;NM_002884;KREV-1;SMGP21;P62834;RAP1A_HUMAN;	regulation of nervous system development; regulation of neurogenesis	http://www.ncbi.nlm.nih.gov/sites/entrez?db=gene&cmd=search&term=5906
LSM7 	LSM7 homolog, U6 small nuclear RNA associated (S. cerevisiae) [Source:HGNC Symbol;Acc:20470]	1.85	ENSG00000130332;ENSP00000252622;ENSP00000466556;ENSP00000467145;51690;LSM7;NP_057283;NM_016199;YNL147W;LSM7_HUMAN;Q9UK45;	mRNA catabolic process; nuclear-transcribed mRNA catabolic process; RNA catabolic process	http://www.ncbi.nlm.nih.gov/sites/entrez?db=gene&cmd=search&term=51690
PIAS2 	protein inhibitor of activated STAT, 2 [Source:HGNC Symbol;Acc:17311]	1.62	ENSG00000078043;ENSP00000317163;ENSP00000381648;ENSP00000443238;ENSP00000465312;ENSP00000465676;ENSP00000466596;ENSP00000468017;ENSP00000468166;9063;PIAS2;NP_004662;NP_775298;NM_004671;NM_173206;PIASX-ALPHA;PIASX-BETA;ZMIZ4;O75928;PIAS2_HUMAN;	acid-amino acid ligase activity; ligase activity, forming carbon-nitrogen bonds	http://www.ncbi.nlm.nih.gov/sites/entrez?db=gene&cmd=search&term=9063
PTS 	6-pyruvoyltetrahydropterin synthase [Source:HGNC Symbol;Acc:9689]	1.56	ENSG00000150787;ENSP00000280362;ENSP00000431750;ENSP00000433469;ENSP00000434688;ENSP00000435895;5805;PTS;NP_000308;NM_000317;PTPS;PTPS_HUMAN;Q03393;		http://www.ncbi.nlm.nih.gov/sites/entrez?db=gene&cmd=search&term=5805
TLN1 	talin 1 [Source:HGNC Symbol;Acc:11845]	1.48	ENSG00000137076;ENSP00000316029;ENSP00000442981;7094;TLN1;NP_006280;NM_006289;Q9Y490;TLN1_HUMAN;		http://www.ncbi.nlm.nih.gov/sites/entrez?db=gene&cmd=search&term=7094
RPS15A 	ribosomal protein S15a [Source:HGNC Symbol;Acc:10389]	1.43	ENSG00000134419;ENSP00000318646;ENSP00000457000;ENSP00000457001;ENSP00000457924;ENSP00000458052;ENSP00000458115;ENSP00000458528;ENSP00000459373;ENSP00000459554;ENSP00000460069;ENSP00000460618;6210;RPS15A;NP_001010;NP_001025180;NM_001019;NM_001030009;S15A;P62244;RS15A_HUMAN;	cellular protein complex disassembly; cotranslational protein targeting to membrane; cytosolic part; cytosolic ribosome; cytosolic small ribosomal subunit; establishment of protein localization to endoplasmic reticulum; establishment of protein localization to membrane; macromolecular complex disassembly; mRNA catabolic process; multi-organism metabolic process; nuclear-transcribed mRNA catabolic process; nuclear-transcribed mRNA catabolic process, nonsense-mediated decay; protein complex disassembly; protein localization to endoplasmic reticulum; protein localization to membrane; protein targeting; protein targeting to ER; protein targeting to membrane; ribosomal subunit; ribosome; RNA catabolic process; single-organism cellular localization; single-organism localization; small ribosomal subunit; SRP-dependent cotranslational protein targeting to membrane; structural constituent of ribosome; translational elongation; translational initiation; translational termination; viral gene expression; viral life cycle; viral transcription	http://www.ncbi.nlm.nih.gov/sites/entrez?db=gene&cmd=search&term=6210
CD1D 	CD1d molecule [Source:HGNC Symbol;Acc:1637]	1.42	ENSG00000158473;ENSP00000357153;912;CD1D;NP_001757;NM_001766;CD1D_HUMAN;P15813;		http://www.ncbi.nlm.nih.gov/sites/entrez?db=gene&cmd=search&term=912
RPLP0 	ribosomal protein, large, P0 [Source:HGNC Symbol;Acc:10371]	1.40	ENSG00000089157;ENSP00000339027;ENSP00000366471;ENSP00000376299;ENSP00000446777;ENSP00000447311;ENSP00000448046;ENSP00000448223;ENSP00000448639;ENSP00000448919;ENSP00000449205;ENSP00000449328;ENSP00000449765;ENSP00000449854;ENSP00000450019;ENSP00000450121;ENSP00000450222;6175;RPLP0;NP_000993;NP_444505;NM_001002;NM_053275;L10E;LP0;P0;PRLP0;RPP0;P05388;RLA0_HUMAN;	cellular protein complex disassembly; cotranslational protein targeting to membrane; cytosolic large ribosomal subunit; cytosolic part; cytosolic ribosome; establishment of protein localization to endoplasmic reticulum; establishment of protein localization to membrane; large ribosomal subunit; macromolecular complex disassembly; mRNA catabolic process; multi-organism metabolic process; nuclear-transcribed mRNA catabolic process; nuclear-transcribed mRNA catabolic process, nonsense-mediated decay; protein complex disassembly; protein localization to endoplasmic reticulum; protein localization to membrane; protein targeting; protein targeting to ER; protein targeting to membrane; ribosomal subunit; ribosome; RNA catabolic process; single-organism cellular localization; single-organism localization; SRP-dependent cotranslational protein targeting to membrane; structural constituent of ribosome; translational elongation; translational initiation; translational termination; viral gene expression; viral life cycle; viral transcription	http://www.ncbi.nlm.nih.gov/sites/entrez?db=gene&cmd=search&term=6175
UPF3B 	UPF3 regulator of nonsense transcripts homolog B (yeast) [Source:HGNC Symbol;Acc:20439]	1.35	ENSG00000125351;ENSP00000245418;ENSP00000276201;65109;UPF3B;NP_075386;NP_542199;NM_023010;NM_080632;HUPF3B;RENT3B;UPF3X;Q9BZI7;REN3B_HUMAN;	mRNA catabolic process; nuclear-transcribed mRNA catabolic process; nuclear-transcribed mRNA catabolic process, nonsense-mediated decay; RNA catabolic process	http://www.ncbi.nlm.nih.gov/sites/entrez?db=gene&cmd=search&term=65109
RPLP1 	ribosomal protein, large, P1 [Source:HGNC Symbol;Acc:10372]	1.28	ENSG00000137818;ENSP00000346037;ENSP00000350437;ENSP00000453067;6176;RPLP1;NP_000994;NP_998890;NM_001003;NM_213725;LP1;P05386;RLA1_HUMAN;	cellular protein complex disassembly; cotranslational protein targeting to membrane; cytosolic large ribosomal subunit; cytosolic part; cytosolic ribosome; establishment of protein localization to endoplasmic reticulum; establishment of protein localization to membrane; large ribosomal subunit; macromolecular complex disassembly; mRNA catabolic process; multi-organism metabolic process; nuclear-transcribed mRNA catabolic process; nuclear-transcribed mRNA catabolic process, nonsense-mediated decay; protein complex disassembly; protein localization to endoplasmic reticulum; protein localization to membrane; protein targeting; protein targeting to ER; protein targeting to membrane; ribosomal subunit; ribosome; RNA catabolic process; single-organism cellular localization; single-organism localization; SRP-dependent cotranslational protein targeting to membrane; structural constituent of ribosome; translational elongation; translational initiation; translational termination; viral gene expression; viral life cycle; viral transcription	http://www.ncbi.nlm.nih.gov/sites/entrez?db=gene&cmd=search&term=6176
RPS24 	ribosomal protein S24 [Source:HGNC Symbol;Acc:10411]	1.26	ENSG00000138326;ENSP00000354074;ENSP00000361435;ENSP00000414321;ENSP00000415549;6229;RPS24;NP_001017;NP_001135754;NP_001135755;NP_001135756;NP_001135757;NP_148982;NM_001026;NM_001142282;NM_001142283;NM_001142284;NM_001142285;NM_033022;S24;P62847;RS24_HUMAN;	cellular protein complex disassembly; cotranslational protein targeting to membrane; cytosolic part; cytosolic ribosome; cytosolic small ribosomal subunit; establishment of protein localization to endoplasmic reticulum; establishment of protein localization to membrane; macromolecular complex disassembly; mRNA catabolic process; multi-organism metabolic process; ncRNA metabolic process; ncRNA processing; nuclear-transcribed mRNA catabolic process; nuclear-transcribed mRNA catabolic process, nonsense-mediated decay; protein complex disassembly; protein localization to endoplasmic reticulum; protein localization to membrane; protein targeting; protein targeting to ER; protein targeting to membrane; ribonucleoprotein complex biogenesis; ribosomal small subunit biogenesis; ribosomal subunit; ribosome; ribosome biogenesis; RNA catabolic process; rRNA metabolic process; rRNA processing; single-organism cellular localization; single-organism localization; small ribosomal subunit; SRP-dependent cotranslational protein targeting to membrane; structural constituent of ribosome; translational elongation; translational initiation; translational termination; viral gene expression; viral life cycle; viral transcription	http://www.ncbi.nlm.nih.gov/sites/entrez?db=gene&cmd=search&term=6229
MUT 	methylmalonyl CoA mutase [Source:HGNC Symbol;Acc:7526]	1.19	ENSG00000146085;ENSP00000274813;4594;MUT;NP_000246;NM_000255;MUTA_HUMAN;P22033;		http://www.ncbi.nlm.nih.gov/sites/entrez?db=gene&cmd=search&term=4594
RPS11 	ribosomal protein S11 [Source:HGNC Symbol;Acc:10384]	1.16	ENSG00000142534;ENSP00000270625;ENSP00000470375;ENSP00000470447;ENSP00000471873;ENSP00000471874;6205;84546;RPS11;NP_001006;NM_001015;S11;P62280;RS11_HUMAN;	cellular protein complex disassembly; cotranslational protein targeting to membrane; cytosolic part; cytosolic ribosome; cytosolic small ribosomal subunit; establishment of protein localization to endoplasmic reticulum; establishment of protein localization to membrane; macromolecular complex disassembly; mRNA catabolic process; multi-organism metabolic process; nuclear-transcribed mRNA catabolic process; nuclear-transcribed mRNA catabolic process, nonsense-mediated decay; protein complex disassembly; protein localization to endoplasmic reticulum; protein localization to membrane; protein targeting; protein targeting to ER; protein targeting to membrane; ribosomal subunit; ribosome; RNA catabolic process; single-organism cellular localization; single-organism localization; small ribosomal subunit; SRP-dependent cotranslational protein targeting to membrane; translational elongation; translational initiation; translational termination; viral gene expression; viral life cycle; viral transcription	http://www.ncbi.nlm.nih.gov/sites/entrez?db=gene&cmd=search&term=6205
RPS7 	ribosomal protein S7 [Source:HGNC Symbol;Acc:10440]	1.14	ENSG00000171863;ENSP00000339095;ENSP00000385018;ENSP00000385286;ENSP00000385729;6201;RPS7;NP_001002;NM_001011;P62081;RS7_HUMAN;	cellular protein complex disassembly; cotranslational protein targeting to membrane; cytosolic part; cytosolic ribosome; cytosolic small ribosomal subunit; establishment of protein localization to endoplasmic reticulum; establishment of protein localization to membrane; macromolecular complex disassembly; mRNA catabolic process; multi-organism metabolic process; ncRNA metabolic process; ncRNA processing; nuclear-transcribed mRNA catabolic process; nuclear-transcribed mRNA catabolic process, nonsense-mediated decay; protein complex disassembly; protein localization to endoplasmic reticulum; protein localization to membrane; protein targeting; protein targeting to ER; protein targeting to membrane; ribonucleoprotein complex biogenesis; ribosomal small subunit biogenesis; ribosomal subunit; ribosome; ribosome biogenesis; RNA catabolic process; rRNA metabolic process; rRNA processing; single-organism cellular localization; single-organism localization; small ribosomal subunit; SRP-dependent cotranslational protein targeting to membrane; translational elongation; translational initiation; translational termination; viral gene expression; viral life cycle; viral transcription	http://www.ncbi.nlm.nih.gov/sites/entrez?db=gene&cmd=search&term=6201
RPL12 	ribosomal protein L12 [Source:HGNC Symbol;Acc:10302]	1.14	ENSG00000197958;ENSP00000354739;ENSP00000441179;6136;RPL12;NP_000967;NM_000976;P30050;RL12_HUMAN;	cellular protein complex disassembly; cotranslational protein targeting to membrane; cytosolic large ribosomal subunit; cytosolic part; cytosolic ribosome; establishment of protein localization to endoplasmic reticulum; establishment of protein localization to membrane; large ribosomal subunit; macromolecular complex disassembly; mRNA catabolic process; multi-organism metabolic process; nuclear-transcribed mRNA catabolic process; nuclear-transcribed mRNA catabolic process, nonsense-mediated decay; protein complex disassembly; protein localization to endoplasmic reticulum; protein localization to membrane; protein targeting; protein targeting to ER; protein targeting to membrane; ribosomal subunit; ribosome; RNA catabolic process; single-organism cellular localization; single-organism localization; SRP-dependent cotranslational protein targeting to membrane; structural constituent of ribosome; translational elongation; translational initiation; translational termination; viral gene expression; viral life cycle; viral transcription	http://www.ncbi.nlm.nih.gov/sites/entrez?db=gene&cmd=search&term=6136
BARX2 	BARX homeobox 2 [Source:HGNC Symbol;Acc:956]	1.14	ENSG00000043039;ENSP00000281437;ENSP00000450418;ENSP00000451113;8538;BARX2;NP_003649;NM_003658;BARX2_HUMAN;Q9UMQ3;		http://www.ncbi.nlm.nih.gov/sites/entrez?db=gene&cmd=search&term=8538
RPL9 	ribosomal protein L9 [Source:HGNC Symbol;Acc:10369]	1.14	ENSG00000163682;ENSP00000346022;ENSP00000400467;ENSP00000421872;ENSP00000422191;ENSP00000424796;ENSP00000425250;6133;RPL9;NP_000652;NP_001020092;NM_000661;NM_001024921;L9;P32969;RL9_HUMAN;	cellular protein complex disassembly; cotranslational protein targeting to membrane; cytosolic large ribosomal subunit; cytosolic part; cytosolic ribosome; establishment of protein localization to endoplasmic reticulum; establishment of protein localization to membrane; large ribosomal subunit; macromolecular complex disassembly; mRNA catabolic process; multi-organism metabolic process; nuclear-transcribed mRNA catabolic process; nuclear-transcribed mRNA catabolic process, nonsense-mediated decay; protein complex disassembly; protein localization to endoplasmic reticulum; protein localization to membrane; protein targeting; protein targeting to ER; protein targeting to membrane; ribosomal subunit; ribosome; RNA catabolic process; single-organism cellular localization; single-organism localization; SRP-dependent cotranslational protein targeting to membrane; structural constituent of ribosome; translational elongation; translational initiation; translational termination; viral gene expression; viral life cycle; viral transcription	http://www.ncbi.nlm.nih.gov/sites/entrez?db=gene&cmd=search&term=6133
