GeneMANIA Results
Plugin Version	3.4.1 (20160523-2245)
Data Version	2014-08-12
Report Generated	Tue May 16 14:54:48 BST 2017

Gene	Score	Description
USPL1	BTG1	0.01154012599544262	Co-expression	Alizadeh-Staudt-2000
USPL1	ELF1	0.011943186205514798	Co-expression	Alizadeh-Staudt-2000
USPL1	KLF6	0.012946049744993516	Co-expression	Alizadeh-Staudt-2000
USPL1	LYN	0.009063343794845602	Co-expression	Alizadeh-Staudt-2000
USPL1	PDE4B	0.011326667478302944	Co-expression	Alizadeh-Staudt-2000
USPL1	RASA1	0.011284583803395332	Co-expression	Alizadeh-Staudt-2000
USPL1	RBM5	0.015374492385464088	Co-expression	Alizadeh-Staudt-2000
USPL1	SPEN	0.013865474189936491	Co-expression	Alizadeh-Staudt-2000
USPL1	TRAK1	0.011003129297387547	Co-expression	Alizadeh-Staudt-2000
WDR11	ZCCHC6	0.01578156446337765	Co-expression	Alizadeh-Staudt-2000
XPO1	ATXN2	0.02985480794540807	Co-expression	Alizadeh-Staudt-2000
XPO1	CDK12	0.014557617272338919	Co-expression	Alizadeh-Staudt-2000
XPO1	MON2	0.022044774249733546	Co-expression	Alizadeh-Staudt-2000
XPO1	PCNA	0.01953925505271628	Co-expression	Alizadeh-Staudt-2000
XPO1	PPP4C	0.0131054331530305	Co-expression	Alizadeh-Staudt-2000
YWHAE	RAD21	0.007375122551481904	Co-expression	Alizadeh-Staudt-2000
YWHAE	RIT1	0.009396126293147398	Co-expression	Alizadeh-Staudt-2000
ZBTB5	AASS	0.017553334147299093	Co-expression	Alizadeh-Staudt-2000
ZBTB5	CEBPZ	0.015164605120175702	Co-expression	Alizadeh-Staudt-2000
ZBTB5	MCMBP	0.017195636915493598	Co-expression	Alizadeh-Staudt-2000
ZBTB5	RFX7	0.010589844426283522	Co-expression	Alizadeh-Staudt-2000
ZBTB5	ZNF292	0.01818786749697165	Co-expression	Alizadeh-Staudt-2000
ZCCHC11	BNIP2	0.020034722885729023	Co-expression	Alizadeh-Staudt-2000
ZCCHC11	CREBZF	0.010731557948086766	Co-expression	Alizadeh-Staudt-2000
ZCCHC11	DHX15	0.00895255526720317	Co-expression	Alizadeh-Staudt-2000
ZCCHC11	NR3C1	0.017055891622086223	Co-expression	Alizadeh-Staudt-2000
ZCCHC11	PRPF4B	0.015747377402669117	Co-expression	Alizadeh-Staudt-2000
ZCCHC11	TCERG1	0.016773453540530857	Co-expression	Alizadeh-Staudt-2000
ZCCHC11	TRAK1	0.017893412126004184	Co-expression	Alizadeh-Staudt-2000
ZFP36	B2M	0.018025335138961422	Co-expression	Alizadeh-Staudt-2000
ZFP36	CHD1	0.00672903138114975	Co-expression	Alizadeh-Staudt-2000
ZFP36	IFRD1	0.017075337977189575	Co-expression	Alizadeh-Staudt-2000
ZNF217	ATM	0.013376971106009291	Co-expression	Alizadeh-Staudt-2000
ZNF217	CPSF7	0.022238690532006743	Co-expression	Alizadeh-Staudt-2000
ZNF217	DMTF1	0.023164255590992656	Co-expression	Alizadeh-Staudt-2000
ZNF217	FAM65B	0.01360672810557978	Co-expression	Alizadeh-Staudt-2000
ZNF217	MGEA5	0.015075825846024012	Co-expression	Alizadeh-Staudt-2000
ZNF217	RASA1	0.014079819325559911	Co-expression	Alizadeh-Staudt-2000
ZNF638	AASS	0.017000156392590515	Co-expression	Alizadeh-Staudt-2000
ZNF638	CHD1	0.006622625851443054	Co-expression	Alizadeh-Staudt-2000
ZNF638	ZBTB5	0.010947947800456414	Co-expression	Alizadeh-Staudt-2000
ABI1	MAP4K3	0.01326250925562322	Co-expression	Arijs-Rutgeerts-2009
ABL1	SLC26A2	0.002027872585170565	Co-expression	Arijs-Rutgeerts-2009
ABL1	ZBTB5	0.005897746351848061	Co-expression	Arijs-Rutgeerts-2009
ACTN1	HIF1A	0.010044271599480781	Co-expression	Arijs-Rutgeerts-2009
ACTN1	IFITM2	0.0085586420409275	Co-expression	Arijs-Rutgeerts-2009
ADNP	CEP57	0.01752985853970195	Co-expression	Arijs-Rutgeerts-2009
AGO3	ANKRD10	0.005688581527242229	Co-expression	Arijs-Rutgeerts-2009
AGO3	ATF7IP	0.006525788605964928	Co-expression	Arijs-Rutgeerts-2009
AGO3	ITPR2	0.005652131296006637	Co-expression	Arijs-Rutgeerts-2009
AGO3	LRCH3	0.006189837129603307	Co-expression	Arijs-Rutgeerts-2009
AGO3	NEK1	0.00609411015584405	Co-expression	Arijs-Rutgeerts-2009
AGO3	PRR11	0.004437684263856952	Co-expression	Arijs-Rutgeerts-2009
AGO3	RIT1	0.0037839103285547348	Co-expression	Arijs-Rutgeerts-2009
AGO3	SASH1	0.004747050493037054	Co-expression	Arijs-Rutgeerts-2009
AGO3	SCAF11	0.005760402891332528	Co-expression	Arijs-Rutgeerts-2009
AGO3	TBC1D2B	0.005822354744258842	Co-expression	Arijs-Rutgeerts-2009
AHR	IFITM2	0.004162967710833736	Co-expression	Arijs-Rutgeerts-2009
AHR	REL	0.011427660907777524	Co-expression	Arijs-Rutgeerts-2009
AHR	RPS6KA2	0.01747413557845934	Co-expression	Arijs-Rutgeerts-2009
AKR1B1	CLIC4	0.0027062030050804763	Co-expression	Arijs-Rutgeerts-2009
AKR1B1	CREG1	0.003820644121493007	Co-expression	Arijs-Rutgeerts-2009
AKR1B1	CRISPLD2	0.00587510133651192	Co-expression	Arijs-Rutgeerts-2009
AKR1B1	EFEMP1	0.006652561264835533	Co-expression	Arijs-Rutgeerts-2009
AKR1B1	KCNE4	0.0056737931053809434	Co-expression	Arijs-Rutgeerts-2009
AKR1B1	TIMP2	0.00595858083173696	Co-expression	Arijs-Rutgeerts-2009
AKR1B1	TWIST1	0.0018998615559612556	Co-expression	Arijs-Rutgeerts-2009
ALMS1	LRCH3	0.03184124812910049	Co-expression	Arijs-Rutgeerts-2009
ALMS1	PRR11	0.01863502648879256	Co-expression	Arijs-Rutgeerts-2009
AMD1	MAP4K5	0.005052132018463008	Co-expression	Arijs-Rutgeerts-2009
AMD1	MFN1	0.009237565306458183	Co-expression	Arijs-Rutgeerts-2009
AMD1	NAA50	0.003911550957862138	Co-expression	Arijs-Rutgeerts-2009
AMD1	NEK4	0.0075640211772268155	Co-expression	Arijs-Rutgeerts-2009
AMD1	PIGA	0.0042074638510495995	Co-expression	Arijs-Rutgeerts-2009
AMD1	PPFIA1	0.008129318922627292	Co-expression	Arijs-Rutgeerts-2009
AMD1	SSFA2	0.006639672582915575	Co-expression	Arijs-Rutgeerts-2009
AMD1	STRN3	0.00852070156741991	Co-expression	Arijs-Rutgeerts-2009
ANKRD17	SRRM1	0.02899890464007478	Co-expression	Arijs-Rutgeerts-2009
ANKRD17	TCERG1	0.004839087460662443	Co-expression	Arijs-Rutgeerts-2009
ANKRD28	TWIST1	0.008598982705799434	Co-expression	Arijs-Rutgeerts-2009
ANXA1	TMEM165	0.013014071340973835	Co-expression	Arijs-Rutgeerts-2009
ANXA4	UBC	0.010160577168678993	Co-expression	Arijs-Rutgeerts-2009
ARGLU1	AGO3	0.00470032948407708	Co-expression	Arijs-Rutgeerts-2009
ARGLU1	DMTF1	0.014785815892198292	Co-expression	Arijs-Rutgeerts-2009
ARGLU1	PAN2	0.009349124818246653	Co-expression	Arijs-Rutgeerts-2009
ARGLU1	PNISR	0.010478869212384116	Co-expression	Arijs-Rutgeerts-2009
ARGLU1	SREK1	0.027170062532416203	Co-expression	Arijs-Rutgeerts-2009
ARGLU1	TCERG1	0.0049727178679391	Co-expression	Arijs-Rutgeerts-2009
ASH2L	GOLGA7	0.012013862377419741	Co-expression	Arijs-Rutgeerts-2009
ATRX	GSAP	0.02436197691876225	Co-expression	Arijs-Rutgeerts-2009
ATRX	SNAPC1	0.009945896677978348	Co-expression	Arijs-Rutgeerts-2009
ATRX	TIA1	0.02071414863327934	Co-expression	Arijs-Rutgeerts-2009
ATXN2	CPSF7	0.002194622093898346	Co-expression	Arijs-Rutgeerts-2009
ATXN2	SRRM2	0.019940272941339824	Co-expression	Arijs-Rutgeerts-2009
AUTS2	ZNF12	0.01388320401035263	Co-expression	Arijs-Rutgeerts-2009
B2M	AGO3	0.004257170694774376	Co-expression	Arijs-Rutgeerts-2009
B2M	HLA-B	0.014535759741533026	Co-expression	Arijs-Rutgeerts-2009
B2M	SCAF11	0.014653013534480118	Co-expression	Arijs-Rutgeerts-2009
B2M	ZFC3H1	0.01800403790923376	Co-expression	Arijs-Rutgeerts-2009
BBX	AGO3	0.006925869063565172	Co-expression	Arijs-Rutgeerts-2009
BBX	ATRX	0.025534666300637488	Co-expression	Arijs-Rutgeerts-2009
BBX	PLEKHA2	0.021179877946382354	Co-expression	Arijs-Rutgeerts-2009
BBX	PNISR	0.009932323579350758	Co-expression	Arijs-Rutgeerts-2009
BBX	SNAPC1	0.008695271864298694	Co-expression	Arijs-Rutgeerts-2009
BBX	TRIM52	0.007296101050848112	Co-expression	Arijs-Rutgeerts-2009
BBX	UBXN7	0.016050183365349517	Co-expression	Arijs-Rutgeerts-2009
BCLAF1	TRIT1	0.011890319194138303	Co-expression	Arijs-Rutgeerts-2009
BIRC2	TMCO1	0.013798021087134271	Co-expression	Arijs-Rutgeerts-2009
BNIP2	HCLS1	0.0036090325997573686	Co-expression	Arijs-Rutgeerts-2009
BNIP2	LAPTM5	0.0044442222336810245	Co-expression	Arijs-Rutgeerts-2009
BNIP2	ROCK1	0.019561478954546622	Co-expression	Arijs-Rutgeerts-2009
BTAF1	ADAMTS1	0.006208314322932122	Co-expression	Arijs-Rutgeerts-2009
BTAF1	ARGLU1	0.010789617444753772	Co-expression	Arijs-Rutgeerts-2009
BTAF1	CCNL1	0.011064387499985041	Co-expression	Arijs-Rutgeerts-2009
BTAF1	DDX5	0.012275735108066673	Co-expression	Arijs-Rutgeerts-2009
BTAF1	HNRNPA2B1	0.011993603149007315	Co-expression	Arijs-Rutgeerts-2009
BTAF1	MARK3	0.010400932957468809	Co-expression	Arijs-Rutgeerts-2009
BTAF1	OGT	0.013746794780700794	Co-expression	Arijs-Rutgeerts-2009
BTAF1	PPWD1	0.006625527010661818	Co-expression	Arijs-Rutgeerts-2009
BTAF1	RBM39	0.013164306364297452	Co-expression	Arijs-Rutgeerts-2009
BTAF1	SF3B1	0.011829285521413267	Co-expression	Arijs-Rutgeerts-2009
BTAF1	UBR5	0.013067183394463458	Co-expression	Arijs-Rutgeerts-2009
BTAF1	ZCCHC6	0.013440890555937163	Co-expression	Arijs-Rutgeerts-2009
C1orf63	CLK4	0.01743831379239065	Co-expression	Arijs-Rutgeerts-2009
C1orf63	DMTF1	0.010552196046297938	Co-expression	Arijs-Rutgeerts-2009
C1orf63	KIAA0907	0.017288504317398774	Co-expression	Arijs-Rutgeerts-2009
C1orf63	LUC7L3	0.018224029111416837	Co-expression	Arijs-Rutgeerts-2009
C1orf63	MON2	0.01562559971957191	Co-expression	Arijs-Rutgeerts-2009
C1orf63	NBPF1	0.00600251026010291	Co-expression	Arijs-Rutgeerts-2009
C1orf63	PNISR	0.006458877921462996	Co-expression	Arijs-Rutgeerts-2009
C1orf63	PRPF4B	0.015784603343239962	Co-expression	Arijs-Rutgeerts-2009
C1orf63	RBM5	0.017135580190787328	Co-expression	Arijs-Rutgeerts-2009
C1orf63	SNAPC3	0.019697909585081684	Co-expression	Arijs-Rutgeerts-2009
C1orf63	ZFC3H1	0.01965363609636241	Co-expression	Arijs-Rutgeerts-2009
C1orf63	ZFYVE26	0.017522715583371432	Co-expression	Arijs-Rutgeerts-2009
C1orf63	ZNF12	0.009160229099383963	Co-expression	Arijs-Rutgeerts-2009
C2CD5	BIRC2	0.009601772122003468	Co-expression	Arijs-Rutgeerts-2009
C2CD5	HNMT	0.013623961942120117	Co-expression	Arijs-Rutgeerts-2009
C2CD5	ZNF217	0.005748203976341006	Co-expression	Arijs-Rutgeerts-2009
CAND1	ARMC1	0.018358670298870245	Co-expression	Arijs-Rutgeerts-2009
CAND1	CEBPZ	0.00902306507704313	Co-expression	Arijs-Rutgeerts-2009
CAND1	CHUK	0.017053886434644918	Co-expression	Arijs-Rutgeerts-2009
CAND1	DEK	0.01907554226901745	Co-expression	Arijs-Rutgeerts-2009
CAND1	DHX15	0.006638792677370826	Co-expression	Arijs-Rutgeerts-2009
CAND1	MAGOH	0.007093391061866147	Co-expression	Arijs-Rutgeerts-2009
CAND1	NUDT21	0.01445610730040556	Co-expression	Arijs-Rutgeerts-2009
CAND1	TCERG1	0.004895749591434105	Co-expression	Arijs-Rutgeerts-2009
CAND1	TOP2B	0.005468851251212276	Co-expression	Arijs-Rutgeerts-2009
CCNT2	C2CD5	0.008299783542371183	Co-expression	Arijs-Rutgeerts-2009
CCNT2	SEC24B	0.015249724484005722	Co-expression	Arijs-Rutgeerts-2009
CCNT2	TOP2B	0.0052570034966503126	Co-expression	Arijs-Rutgeerts-2009
CDK12	RFX7	0.017910055107457034	Co-expression	Arijs-Rutgeerts-2009
CEBPZ	KCTD12	0.005018106260363108	Co-expression	Arijs-Rutgeerts-2009
CEBPZ	U2SURP	0.011313409000257652	Co-expression	Arijs-Rutgeerts-2009
CENPC	CEP57	0.015334875305899248	Co-expression	Arijs-Rutgeerts-2009
CENPC	HCFC2	0.021622800502858735	Co-expression	Arijs-Rutgeerts-2009
CENPC	MARCH7	0.014766917266092198	Co-expression	Arijs-Rutgeerts-2009
CENPC	NR3C1	0.009003218227188161	Co-expression	Arijs-Rutgeerts-2009
CENPC	RFX7	0.016219429780971586	Co-expression	Arijs-Rutgeerts-2009
CENPC	SENP7	0.019348212568360362	Co-expression	Arijs-Rutgeerts-2009
CENPC	SERINC1	0.009871861968696442	Co-expression	Arijs-Rutgeerts-2009
CENPC	UPF3B	0.01970941996781111	Co-expression	Arijs-Rutgeerts-2009
CEP57	UPF3B	0.015839534471803387	Co-expression	Arijs-Rutgeerts-2009
CHD1	KATNBL1	0.020345310995849346	Co-expression	Arijs-Rutgeerts-2009
CHD1	PIGA	0.008060696167467667	Co-expression	Arijs-Rutgeerts-2009
CHUK	MAGOH	0.0057628541155722475	Co-expression	Arijs-Rutgeerts-2009
CHUK	MAP4K3	0.01039550536423956	Co-expression	Arijs-Rutgeerts-2009
CHUK	SEC24B	0.010717152407945052	Co-expression	Arijs-Rutgeerts-2009
CLIC4	ADAM17	0.012188012887743033	Co-expression	Arijs-Rutgeerts-2009
CLIC4	NSMAF	0.009210407585650499	Co-expression	Arijs-Rutgeerts-2009
CLIC4	TWIST1	0.003651536811611876	Co-expression	Arijs-Rutgeerts-2009
CLK2	FNBP4	0.01982217628283818	Co-expression	Arijs-Rutgeerts-2009
CLK2	N4BP2L2	0.016948027788902212	Co-expression	Arijs-Rutgeerts-2009
CLK2	PAN2	0.008868644534827986	Co-expression	Arijs-Rutgeerts-2009
CLK2	RBM5	0.01641328227363266	Co-expression	Arijs-Rutgeerts-2009
CLK2	RBM6	0.010882095599817874	Co-expression	Arijs-Rutgeerts-2009
CLK2	ZNF266	0.008088307422377462	Co-expression	Arijs-Rutgeerts-2009
CLK4	ZNF12	0.013559813617775507	Co-expression	Arijs-Rutgeerts-2009
CNOT8	ADNP	0.012811367113768122	Co-expression	Arijs-Rutgeerts-2009
CNOT8	GABPA	0.010452220997219274	Co-expression	Arijs-Rutgeerts-2009
CNOT8	HNRNPH3	0.014921550170917768	Co-expression	Arijs-Rutgeerts-2009
CNOT8	MAGOH	0.005447356944904722	Co-expression	Arijs-Rutgeerts-2009
CNOT8	MAP3K7	0.01664594938356982	Co-expression	Arijs-Rutgeerts-2009
CNOT8	NUDT21	0.011084166031635883	Co-expression	Arijs-Rutgeerts-2009
CNOT8	PAPOLA	0.01476270787698477	Co-expression	Arijs-Rutgeerts-2009
CNOT8	PPP4R2	0.012037073281494904	Co-expression	Arijs-Rutgeerts-2009
CNOT8	PRPF39	0.00728699826748107	Co-expression	Arijs-Rutgeerts-2009
CNOT8	UPF2	0.012816952744288852	Co-expression	Arijs-Rutgeerts-2009
CNOT8	YY1AP1	0.010646344293364184	Co-expression	Arijs-Rutgeerts-2009
CNOT8	ZFX	0.013074915698193452	Co-expression	Arijs-Rutgeerts-2009
COL3A1	AKR1B1	0.007149167525316809	Co-expression	Arijs-Rutgeerts-2009
COL3A1	SPARC	0.00610963773128736	Co-expression	Arijs-Rutgeerts-2009
COL3A1	VCAN	0.009619650090602089	Co-expression	Arijs-Rutgeerts-2009
CPOX	ARMC1	0.022390395858683722	Co-expression	Arijs-Rutgeerts-2009
CPOX	MAN2A1	0.019228362683656366	Co-expression	Arijs-Rutgeerts-2009
CPSF7	ALMS1	0.003383462351940712	Co-expression	Arijs-Rutgeerts-2009
CPSF7	ANKRD10	0.0029512630784022113	Co-expression	Arijs-Rutgeerts-2009
CPSF7	CBLB	0.0027775938821736727	Co-expression	Arijs-Rutgeerts-2009
CPSF7	LRCH3	0.0035459572004619424	Co-expression	Arijs-Rutgeerts-2009
CPSF7	RSAD1	0.0015471334333760117	Co-expression	Arijs-Rutgeerts-2009
CPSF7	SPEN	0.002872131254914644	Co-expression	Arijs-Rutgeerts-2009
CPSF7	TBC1D2B	0.0030582331296283524	Co-expression	Arijs-Rutgeerts-2009
CPSF7	ZNF573	0.003078363129630557	Co-expression	Arijs-Rutgeerts-2009
CREB1	BNIP2	0.018999954349480222	Co-expression	Arijs-Rutgeerts-2009
CREB1	PPWD1	0.01235277499521937	Co-expression	Arijs-Rutgeerts-2009
CREBZF	OGT	0.021321104020980745	Co-expression	Arijs-Rutgeerts-2009
CREBZF	SENP7	0.01622581218283686	Co-expression	Arijs-Rutgeerts-2009
CREBZF	STX16	0.022513725856243838	Co-expression	Arijs-Rutgeerts-2009
CRLF3	ADAM17	0.01689256493070183	Co-expression	Arijs-Rutgeerts-2009
CTNNAL1	CRY1	0.023699074683655303	Co-expression	Arijs-Rutgeerts-2009
CTNNAL1	DDX21	0.006686860707307396	Co-expression	Arijs-Rutgeerts-2009
CTSH	ENPP2	0.00368799033529104	Co-expression	Arijs-Rutgeerts-2009
CUL3	C6orf120	0.013890208684053102	Co-expression	Arijs-Rutgeerts-2009
CUL3	SACM1L	0.011268065467377318	Co-expression	Arijs-Rutgeerts-2009
CUL3	SEC24B	0.015592762533601682	Co-expression	Arijs-Rutgeerts-2009
DAAM1	SF3A3	0.005691296146967746	Co-expression	Arijs-Rutgeerts-2009
DDX21	MCMBP	0.007605646718202915	Co-expression	Arijs-Rutgeerts-2009
DDX21	PNN	0.008821273679817892	Co-expression	Arijs-Rutgeerts-2009
DDX21	RBM12	0.009176628760818536	Co-expression	Arijs-Rutgeerts-2009
DDX3X	GABPA	0.019841145696481082	Co-expression	Arijs-Rutgeerts-2009
DDX3X	LIG4	0.017874299170259792	Co-expression	Arijs-Rutgeerts-2009
DDX3X	MAP4K5	0.011543205922510492	Co-expression	Arijs-Rutgeerts-2009
DDX3X	ZNF217	0.00900901457409753	Co-expression	Arijs-Rutgeerts-2009
DDX42	SF3A3	0.005398528772058353	Co-expression	Arijs-Rutgeerts-2009
DDX42	SMAD5	0.012324907752821813	Co-expression	Arijs-Rutgeerts-2009
DDX42	TBC1D4	0.012162235523903116	Co-expression	Arijs-Rutgeerts-2009
DDX42	TRIT1	0.010764025280864805	Co-expression	Arijs-Rutgeerts-2009
DDX5	CEBPZ	0.010149134281042804	Co-expression	Arijs-Rutgeerts-2009
DDX5	HNRNPA2B1	0.020683360993432983	Co-expression	Arijs-Rutgeerts-2009
DDX5	KCTD12	0.007222938016002023	Co-expression	Arijs-Rutgeerts-2009
DEK	ARMC1	0.015222716569380585	Co-expression	Arijs-Rutgeerts-2009
DEK	CHUK	0.016027351915396084	Co-expression	Arijs-Rutgeerts-2009
DEK	CPOX	0.02157554899892814	Co-expression	Arijs-Rutgeerts-2009
DEK	HMGN4	0.016255862315322975	Co-expression	Arijs-Rutgeerts-2009
DEK	MAGOH	0.005861514656554593	Co-expression	Arijs-Rutgeerts-2009
DEK	PCNA	0.006258955809076038	Co-expression	Arijs-Rutgeerts-2009
DEK	SMNDC1	0.012631370869881873	Co-expression	Arijs-Rutgeerts-2009
DHX15	AMD1	0.0033655852064529844	Co-expression	Arijs-Rutgeerts-2009
DHX15	DHX29	0.009033915324836272	Co-expression	Arijs-Rutgeerts-2009
DHX15	EIF4A3	0.003624968849759114	Co-expression	Arijs-Rutgeerts-2009
DHX15	MFN1	0.010244671939296643	Co-expression	Arijs-Rutgeerts-2009
DHX15	PAPOLA	0.008443995040178929	Co-expression	Arijs-Rutgeerts-2009
DHX15	PIGA	0.004468363664620861	Co-expression	Arijs-Rutgeerts-2009
DHX15	PNN	0.010629674651556668	Co-expression	Arijs-Rutgeerts-2009
DHX15	RPRD1A	0.009382304418348421	Co-expression	Arijs-Rutgeerts-2009
DHX15	SRSF10	0.01056313601317843	Co-expression	Arijs-Rutgeerts-2009
DHX15	TCERG1	0.0027205650554991247	Co-expression	Arijs-Rutgeerts-2009
DHX15	TMX1	0.0089473100659946	Co-expression	Arijs-Rutgeerts-2009
DHX29	METTL9	0.024748374803986117	Co-expression	Arijs-Rutgeerts-2009
DMTF1	CLK4	0.015029025406454562	Co-expression	Arijs-Rutgeerts-2009
DMTF1	DIDO1	0.013477822718600678	Co-expression	Arijs-Rutgeerts-2009
DMTF1	OGT	0.015616301858923197	Co-expression	Arijs-Rutgeerts-2009
DMTF1	PNISR	0.0061835769597056636	Co-expression	Arijs-Rutgeerts-2009
DMTF1	RBM5	0.013676157873185695	Co-expression	Arijs-Rutgeerts-2009
DMTF1	SCAF11	0.015115384555139194	Co-expression	Arijs-Rutgeerts-2009
DMTF1	WSB1	0.01498748299967867	Co-expression	Arijs-Rutgeerts-2009
EIF3E	ADNP	0.004557866685361772	Co-expression	Arijs-Rutgeerts-2009
EIF3E	CEBPZ	0.003347253292196806	Co-expression	Arijs-Rutgeerts-2009
EIF3E	METTL9	0.005696720036197978	Co-expression	Arijs-Rutgeerts-2009
EIF3E	PNN	0.007200778224537379	Co-expression	Arijs-Rutgeerts-2009
EIF3E	RBM12	0.006630137254774197	Co-expression	Arijs-Rutgeerts-2009
EIF3E	RPRD1A	0.006368039814853442	Co-expression	Arijs-Rutgeerts-2009
EIF3E	THUMPD2	0.004967483705769733	Co-expression	Arijs-Rutgeerts-2009
EIF3E	U2SURP	0.005156474082385132	Co-expression	Arijs-Rutgeerts-2009
EIF3E	ZCCHC8	0.0056505682084205975	Co-expression	Arijs-Rutgeerts-2009
EIF4A3	AMD1	0.003008412285044878	Co-expression	Arijs-Rutgeerts-2009
EIF4A3	CMTM6	0.007921921317108995	Co-expression	Arijs-Rutgeerts-2009
EIF4A3	DDX21	0.003327663664495936	Co-expression	Arijs-Rutgeerts-2009
EIF4A3	DHX29	0.007332173062628313	Co-expression	Arijs-Rutgeerts-2009
EIF4A3	MFN1	0.008538709587539646	Co-expression	Arijs-Rutgeerts-2009
EIF4A3	NEK4	0.008258561325732713	Co-expression	Arijs-Rutgeerts-2009
EIF4A3	PIGA	0.004395819609166401	Co-expression	Arijs-Rutgeerts-2009
ENPP2	AASS	0.0075581326418974176	Co-expression	Arijs-Rutgeerts-2009
ENPP2	CARD8	0.011394028596684537	Co-expression	Arijs-Rutgeerts-2009
ENPP2	ITPR2	0.007727542856587217	Co-expression	Arijs-Rutgeerts-2009
EP300	MORC3	0.015719849209278013	Co-expression	Arijs-Rutgeerts-2009
EPS8	GNA13	0.005162766765163054	Co-expression	Arijs-Rutgeerts-2009
EPS8	PLOD2	0.008209340117434879	Co-expression	Arijs-Rutgeerts-2009
EPS8	SLC35A3	0.006121752688967783	Co-expression	Arijs-Rutgeerts-2009
FAM129A	CCNL1	0.005812077793202761	Co-expression	Arijs-Rutgeerts-2009
FAM65B	CARD8	0.01048340126096165	Co-expression	Arijs-Rutgeerts-2009
FAM65B	DENND4A	0.00908981196247733	Co-expression	Arijs-Rutgeerts-2009
FAM65B	GSAP	0.008923386347885993	Co-expression	Arijs-Rutgeerts-2009
FAM65B	ROCK1	0.006835278301778999	Co-expression	Arijs-Rutgeerts-2009
FANCL	BIRC2	0.015158270278892662	Co-expression	Arijs-Rutgeerts-2009
FANCL	CAND1	0.018409815117325305	Co-expression	Arijs-Rutgeerts-2009
FANCL	CCNT2	0.017351157872361477	Co-expression	Arijs-Rutgeerts-2009
FANCL	DEK	0.012473159078893006	Co-expression	Arijs-Rutgeerts-2009
FANCL	FUBP3	0.01683268690567074	Co-expression	Arijs-Rutgeerts-2009
FANCL	PJA2	0.008690733230834018	Co-expression	Arijs-Rutgeerts-2009
FANCL	PRPF4B	0.016389790688742942	Co-expression	Arijs-Rutgeerts-2009
FANCL	RAB3GAP2	0.014560227535941985	Co-expression	Arijs-Rutgeerts-2009
FANCL	SMG1	0.016628695333028184	Co-expression	Arijs-Rutgeerts-2009
FANCL	SREK1	0.016830589619115065	Co-expression	Arijs-Rutgeerts-2009
FANCL	SRSF11	0.019400926236177715	Co-expression	Arijs-Rutgeerts-2009
FANCL	TCERG1	0.003606171054737428	Co-expression	Arijs-Rutgeerts-2009
FANCL	TIA1	0.017543229153049834	Co-expression	Arijs-Rutgeerts-2009
FHL1	SORBS1	0.01144535038398162	Co-expression	Arijs-Rutgeerts-2009
FLNC	AHR	0.0073881339029190345	Co-expression	Arijs-Rutgeerts-2009
FLNC	IFITM2	0.0034234295302448927	Co-expression	Arijs-Rutgeerts-2009
FMR1	BIRC2	0.017679004587313966	Co-expression	Arijs-Rutgeerts-2009
FMR1	MORC3	0.012891124089979016	Co-expression	Arijs-Rutgeerts-2009
FMR1	PPIP5K2	0.006084223770906756	Co-expression	Arijs-Rutgeerts-2009
FMR1	PRPS2	0.004379299361985985	Co-expression	Arijs-Rutgeerts-2009
FMR1	SEC24B	0.010822504840488483	Co-expression	Arijs-Rutgeerts-2009
FMR1	STAG2	0.02017312278189526	Co-expression	Arijs-Rutgeerts-2009
FMR1	ZNF217	0.008245030205760671	Co-expression	Arijs-Rutgeerts-2009
FNBP4	AGO3	0.0060936039426447795	Co-expression	Arijs-Rutgeerts-2009
FNBP4	CPSF7	0.0035703665539974913	Co-expression	Arijs-Rutgeerts-2009
FNBP4	PNISR	0.012569527256038006	Co-expression	Arijs-Rutgeerts-2009
FOXJ3	GNA13	0.011349396231615863	Co-expression	Arijs-Rutgeerts-2009
FUBP3	ATP8B1	0.019814234908941332	Co-expression	Arijs-Rutgeerts-2009
FUBP3	CHD1	0.01479281398101162	Co-expression	Arijs-Rutgeerts-2009
FUBP3	PRR11	0.016107284214227215	Co-expression	Arijs-Rutgeerts-2009
FUBP3	SMG1	0.029974396406619298	Co-expression	Arijs-Rutgeerts-2009
FUBP3	TCERG1	0.004967856163448871	Co-expression	Arijs-Rutgeerts-2009
FUBP3	THUMPD1	0.01731741526440881	Co-expression	Arijs-Rutgeerts-2009
FUBP3	WWP1	0.025217980969395745	Co-expression	Arijs-Rutgeerts-2009
GABPA	FOXJ3	0.016824047533736525	Co-expression	Arijs-Rutgeerts-2009
GABPA	MAP4K3	0.007893233433150995	Co-expression	Arijs-Rutgeerts-2009
GABPA	PRPF39	0.00773208560560636	Co-expression	Arijs-Rutgeerts-2009
GABPA	SEC24B	0.012048874222369601	Co-expression	Arijs-Rutgeerts-2009
GABPA	ZFX	0.018277221829773985	Co-expression	Arijs-Rutgeerts-2009
GNA13	PPP4R2	0.010898829444275056	Co-expression	Arijs-Rutgeerts-2009
GOLGA7	GIN1	0.012501663409121837	Co-expression	Arijs-Rutgeerts-2009
GPATCH8	AGO3	0.005113018765893621	Co-expression	Arijs-Rutgeerts-2009
GPATCH8	CPSF7	0.003583034642198094	Co-expression	Arijs-Rutgeerts-2009
GPATCH8	PNISR	0.008536818901818143	Co-expression	Arijs-Rutgeerts-2009
