,Gene,Function,Entrez Gene ID,Supportability,Hsa MR for VCP,Hsa2 MR for VCP,Hsa3 MR for VCP,Mmu MR for Vcp,Mmu2 MR for Vcp,Rno MR for Vcp,Cfa MR for VCP,Gga MR for VCP,Dre MR for vcp,Dme MR for TER94,Dme2 MR for TER94,Cel MR for cdc-48.2,Cel MR for cdc-48.1,Sce MR for CDC48,Spo MR for cdc48
124,ZDHHC5,"zinc finger, DHHC-type containing 5",25921,3,135.1,59.8 ,1271.3 ,2521.5 ,10436.5 ,660.4 ,1233.8 ,8138.0 ,4663.1 6193.9 ,,,,,,
125,SRP68,"signal recognition particle 68kDa",6730,3,135.2,18.6 ,457.8 ,207.3 ,245.1 ,379.9 ,4560.8 ,2591.1 ,3256.2 ,116.7 ,1768.2 ,166.8 ,134.5 ,,4173.5 
126,SNX1,"sorting nexin 1",6642,2,135.4,524.6 ,9336.8 ,1350.7 ,219.9 ,3916.8 ,8694.0 ,861.4 ,2153.3 ,,,,,,
127,NUP62,"nucleoporin 62kDa",23636,2,136.5,,4632.2 ,680.4 ,4672.9 ,2009.3 ,5018.1 ,1284.3 ,648.8 ,1425.4 ,1477.0 ,,,,
128,EDF1,"endothelial differentiation-related factor 1",8721,3,137.5,1105.1 ,1982.4 ,500.0 ,1312.1 ,2730.7 ,7767.7 ,190.8 ,341.6 ,525.2 ,1063.8 ,794.1 ,1122.7 ,313.5 ,292.4 
129,EIF3I,"eukaryotic translation initiation factor 3, subunit I",8668,3,137.7,151.0 ,296.1 ,508.6 ,1941.5 ,2497.8 ,371.0 ,252.5 ,508.1 ,1040.8 ,1651.9 ,454.8 ,714.3 ,2074.3 ,731.7 
130,TXLNA,"taxilin alpha",200081,2,138.2,37.2 ,105.8 ,688.4 ,242.3 ,1670.2 ,8512.8 ,156.8 ,,852.2 ,1228.4 ,5403.0 ,2597.3 ,,
131,AAMP,"angio-associated, migratory cell protein",14,3,138.7,181.0 ,99.6 ,149.8 ,1203.5 ,316.8 ,6443.8 ,1937.8 ,2832.8 ,2679.4 ,2319.5 ,12255.3 ,6611.0 ,,2226.4 
132,RBM4,"RNA binding motif protein 4",5936,1,140.5,347.1 ,1114.4 ,2788.5 ,11873.3 ,,7709.4 ,,,,,,,,
133,DDX23,"DEAD (Asp-Glu-Ala-Asp) box polypeptide 23",9416,3,141.7,60.4 ,83.2 ,14048.2 ,2311.3 ,32.8 ,5100.9 ,,2879.2 ,585.1 ,3103.2 ,843.0 ,672.4 ,,66.1 
134,TKT,"transketolase",7086,3,141.7,913.0 ,242.2 ,347.7 ,242.1 ,220.2 ,3511.4 ,225.4 ,,,,,,,
135,LMAN2,"lectin, mannose-binding 2",10960,3,142.5,726.0 ,421.6 ,649.8 ,1017.5 ,472.9 ,7923.9 ,,699.3 ,,,,,,
136,DDX19A,"DEAD (Asp-Glu-Ala-Asp) box polypeptide 19A",55308,3,142.9,744.7 ,2587.5 ,3282.5 ,4203.0 ,1402.9 ,1505.0 ,,,,,135.3 ,21.0 ,1409.8 ,1889.7 
137,SLC25A11,"solute carrier family 25 (mitochondrial carrier; oxoglutarate carrier), member 11",8402,3,143.8,822.4 ,439.1 ,851.8 ,1500.7 ,1251.5 ,1098.0 ,,981.8 ,6097.8 ,7046.0 ,9213.7 ,3653.4 ,,
138,DHX30,"DEAH (Asp-Glu-Ala-His) box helicase 30",22907,3,144.2,745.3 ,1192.5 ,50.9 ,7268.2 ,311.1 ,1612.2 ,1798.6 ,,,,,,,
139,7922,"&nbsp;",7922,0,144.9,,146.4 ,140.7 ,116.5 ,343.5 ,6027.3 ,,54.4 ,,,1164.1 ,2638.4 ,1618.9 ,4061.3 
140,MAPKAP1,"mitogen-activated protein kinase associated protein 1",79109,1,146.9,62.5 ,153.4 ,656.2 ,13277.4 ,559.2 ,10626.0 ,2590.1 ,,2296.7 ,3921.0 ,,,,
141,PSME3,"proteasome (prosome, macropain) activator subunit 3 (PA28 gamma; Ki)",10197,3,147.2,95.4 ,118.3 ,4033.8 ,5630.4 ,397.7 ,1089.8 ,444.1 ,581.9 ,1515.1 ,1070.5 ,4762.0 ,3886.1 ,,
142,PSMB2,"proteasome (prosome, macropain) subunit, beta type, 2",5690,3,149.0,123.7 ,2023.1 ,146.2 ,1393.1 ,790.7 ,1681.8 ,661.3 ,38.6 ,88.8 ,391.2 ,1493.8 ,2012.9 ,13.0 ,1381.5 
143,NUP98,"nucleoporin 98kDa",4928,2,149.6,308.3 ,1081.8 ,4603.2 ,9678.6 ,1457.2 ,4193.9 ,1371.0 ,,1047.3 ,436.4 ,,,,
144,RNH1,"ribonuclease/angiogenin inhibitor 1",6050,3,149.7,2602.6 ,926.1 ,831.6 ,1175.5 ,967.2 ,7032.0 ,335.2 ,,,,,,,
145,LRRC59,"leucine rich repeat containing 59",55379,3,150.7,58.5 ,22.8 ,285.1 ,46.0 ,129.4 ,890.4 ,1074.0 ,,2354.4 ,2122.4 ,1946.4 ,1760.7 ,,
146,AIFM1,"apoptosis-inducing factor, mitochondrion-associated, 1",9131,3,153.0,210.9 ,1214.5 ,1001.6 ,492.5 ,513.6 ,952.8 ,960.6 ,3522.1 ,619.3 ,450.6 ,863.5 ,1556.5 ,,
147,STAT3,"signal transducer and activator of transcription 3 (acute-phase response factor)",6774,3,154.3,288.8 ,3441.1 ,2841.6 ,3661.3 ,1597.2 ,8808.5 ,3817.6 ,1572.8 ,,,,,,
148,KLC1,"kinesin light chain 1",3831,2,154.8,298.2 ,2717.9 ,3681.4 ,4644.6 ,2090.3 ,,3069.8 ,,228.9 ,7596.9 ,4318.6 ,2989.7 ,,
149,ARPC2,"actin related protein 2/3 complex, subunit 2, 34kDa",10109,3,156.3,907.4 ,681.4 ,737.4 ,1535.3 ,1346.5 ,5981.2 ,441.2 ,,1883.0 ,2493.3 ,1843.8 ,2517.3 ,,325.3 
150,ZNF207,"zinc finger protein 207",7756,2,156.6,1079.8 ,225.1 ,558.9 ,1652.5 ,5180.5 ,,318.3 ,,,,,,,
151,ILF2,"interleukin enhancer binding factor 2",3608,3,157.8,205.3 ,541.3 ,894.7 ,1209.2 ,2008.3 ,3478.5 ,327.3 ,275.9 ,464.1 ,1179.5 ,2597.8 ,2076.7 ,,
152,GRHPR,"glyoxylate reductase/hydroxypyruvate reductase",9380,3,158.3,1143.8 ,1294.0 ,2611.9 ,1963.3 ,2961.4 ,1380.2 ,1893.5 ,,1439.0 ,933.2 ,,,,
153,XRCC5,"X-ray repair complementing defective repair in Chinese hamster cells 5 (double-strand-break rejoining)",7520,3,158.6,199.0 ,97.0 ,2082.4 ,4141.4 ,927.4 ,3321.9 ,4048.9 ,730.7 ,,,,,2216.6 ,2312.0 
154,ARF1,"ADP-ribosylation factor 1",375,2,159.3,145.8 ,317.0 ,285.3 ,931.6 ,86.1 ,,179.0 ,1072.0 ,988.8 ,6652.5 ,882.9 ,1862.8 ,,
155,COPE,"coatomer protein complex, subunit epsilon",11316,3,159.6,1457.2 ,1310.0 ,329.8 ,1193.5 ,3340.7 ,2482.4 ,235.9 ,42.7 ,844.8 ,993.1 ,1150.0 ,1677.2 ,,52.6 
156,UBE2M,"ubiquitin-conjugating enzyme E2M",9040,3,160.2,9392.3 ,505.7 ,576.5 ,309.1 ,,1849.2 ,,156.9 ,906.9 ,3254.9 ,,,3983.7 ,3248.5 
157,ASNA1,"arsA arsenite transporter, ATP-binding, homolog 1 (bacterial)",439,3,161.5,747.8 ,213.9 ,611.1 ,2138.7 ,2781.9 ,4728.7 ,,,1135.1 ,589.5 ,1930.3 ,1448.7 ,47.2 ,2434.1 
158,PITPNA,"phosphatidylinositol transfer protein, alpha",5306,3,161.8,35.9 ,475.3 ,288.4 ,4102.4 ,1153.9 ,1622.7 ,,,,,,,,
159,SMARCA4,"SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 4",6597,3,161.9,844.4 ,697.2 ,106.4 ,126.7 ,157.7 ,262.7 ,3712.1 ,256.5 ,,,,,,
160,NPLOC4,"nuclear protein localization 4 homolog (S. cerevisiae)",55666,3,163.5,13.0 ,16.1 ,220.4 ,346.8 ,96.9 ,4583.3 ,743.9 ,496.0 ,20.5 ,30.0 ,35.6 ,137.6 ,65.7 ,418.8 
161,PSMB7,"proteasome (prosome, macropain) subunit, beta type, 7",5695,3,164.1,122.5 ,274.7 ,196.0 ,337.5 ,388.5 ,,133.8 ,35.8 ,109.5 ,206.1 ,,,35.3 ,703.6 
162,HDLBP,"high density lipoprotein binding protein",3069,3,164.7,49.6 ,182.7 ,297.7 ,187.3 ,11.4 ,1000.2 ,290.6 ,280.7 ,4217.6 ,2260.8 ,124.8 ,180.2 ,,
163,UQCRC1,"ubiquinol-cytochrome c reductase core protein I",7384,3,165.1,501.9 ,206.8 ,21.8 ,107.4 ,627.8 ,377.2 ,414.8 ,119.8 ,,,258.5 ,394.6 ,,
164,GNB2,"guanine nucleotide binding protein (G protein), beta polypeptide 2",2783,3,165.5,3558.7 ,1063.5 ,206.4 ,2422.4 ,383.2 ,7728.9 ,,,,,,,,
165,NTMT1,"N-terminal Xaa-Pro-Lys N-methyltransferase 1",28989,3,166.1,1740.3 ,447.9 ,1052.5 ,1924.7 ,4363.2 ,4651.6 ,412.4 ,1523.8 ,3457.4 ,1082.2 ,7850.0 ,5001.5 ,3161.2 ,4499.2 
166,EIF6,"eukaryotic translation initiation factor 6",3692,3,166.5,501.3 ,607.6 ,489.9 ,2846.8 ,1279.2 ,2047.1 ,319.5 ,212.0 ,2627.9 ,1948.2 ,616.4 ,419.3 ,3724.7 ,2346.2 
167,AATF,"apoptosis antagonizing transcription factor",26574,3,166.7,330.4 ,655.2 ,1422.5 ,1220.0 ,2704.2 ,,1246.8 ,1667.7 ,3390.6 ,7063.0 ,1597.1 ,2154.1 ,,
168,COPA,"coatomer protein complex, subunit alpha",1314,1,168.0,8.5 ,193.7 ,1011.9 ,218.8 ,14.8 ,422.4 ,252.1 ,113.5 ,54.4 ,371.3 ,37.5 ,111.9 ,503.7 ,763.6 
169,PEF1,"penta-EF-hand domain containing 1",553115,3,168.1,1603.2 ,1308.5 ,319.9 ,1531.2 ,2367.1 ,7450.2 ,1757.3 ,3196.4 ,2152.1 ,2711.1 ,,,,
170,ELAVL1,"ELAV like RNA binding protein 1",1994,3,169.4,1412.8 ,1427.6 ,1063.2 ,496.6 ,609.2 ,,2306.1 ,1898.2 ,,,,,,
171,ATP5B,"ATP synthase, H+ transporting, mitochondrial F1 complex, beta polypeptide",506,3,170.4,36.2 ,126.0 ,24.9 ,16.0 ,67.5 ,523.6 ,310.6 ,,2305.4 ,2806.1 ,160.2 ,140.7 ,147.2 ,762.1 
172,NELFCD,"negative elongation factor complex member C/D",51497,3,170.5,218.3 ,623.0 ,374.5 ,2839.2 ,2222.6 ,9001.8 ,2339.4 ,2246.3 ,2726.2 ,4100.2 ,,,,
173,GPS1,"G protein pathway suppressor 1",2873,3,170.6,1350.8 ,493.1 ,429.6 ,951.5 ,601.1 ,1920.2 ,2275.8 ,102.1 ,123.3 ,1038.3 ,,,,
174,PRCC,"papillary renal cell carcinoma (translocation-associated)",5546,3,172.8,894.3 ,1162.0 ,2574.6 ,4416.3 ,885.7 ,6691.2 ,1852.2 ,,,,,,,
175,AHSA1,"AHA1, activator of heat shock 90kDa protein ATPase homolog 1 (yeast)",10598,3,173.4,101.1 ,919.9 ,353.7 ,1714.4 ,425.8 ,1067.3 ,484.5 ,465.5 ,415.3 ,992.9 ,701.3 ,1497.4 ,83.8 ,178.6 
176,STX4,"syntaxin 4",6810,3,173.5,373.2 ,2626.5 ,750.4 ,2080.4 ,2241.5 ,5050.9 ,,,,,,,,
177,UFD1L,"ubiquitin fusion degradation 1 like (yeast)",7353,3,175.2,666.1 ,2047.4 ,631.4 ,1070.2 ,2235.6 ,4644.8 ,366.2 ,1365.5 ,89.6 ,303.4 ,,,513.0 ,131.0 
178,MOGS,"mannosyl-oligosaccharide glucosidase",7841,3,176.3,630.3 ,368.8 ,652.5 ,194.2 ,153.0 ,1522.9 ,,,1930.5 ,2200.3 ,2204.8 ,1937.5 ,,
179,TPD52L2,"tumor protein D52-like 2",7165,3,177.6,415.1 ,435.8 ,1295.5 ,3683.4 ,5947.5 ,1849.3 ,771.2 ,541.1 ,1677.5 ,2174.6 ,,,,
180,ADRM1,"adhesion regulating molecule 1",11047,3,177.6,503.4 ,410.3 ,187.3 ,282.8 ,4048.3 ,,298.7 ,243.0 ,18.3 ,15.0 ,60.4 ,27.1 ,,2595.5 
181,TSR1,"TSR1, 20S rRNA accumulation, homolog (S. cerevisiae)",55720,3,181.0,304.1 ,224.4 ,1021.4 ,207.0 ,,2703.8 ,,735.1 ,1650.8 ,3357.9 ,823.7 ,512.9 ,3633.9 ,3303.0 
182,CCDC22,"coiled-coil domain containing 22",28952,3,181.4,6192.2 ,3313.6 ,2413.9 ,306.4 ,2316.3 ,1968.7 ,,507.9 ,1818.6 ,2444.7 ,,,,
183,UBE2L3,"ubiquitin-conjugating enzyme E2L 3",7332,3,181.5,1371.4 ,2569.0 ,162.0 ,201.4 ,,805.5 ,237.7 ,1604.9 ,,,,,,
184,LRRC41,"leucine rich repeat containing 41",10489,2,184.1,1005.1 ,159.8 ,436.8 ,2262.0 ,208.5 ,2750.1 ,7277.8 ,,,,,,,
185,YBX1,"Y box binding protein 1",4904,3,184.8,2058.9 ,326.4 ,14193.3 ,923.0 ,351.8 ,654.0 ,,374.4 ,,,,,,
186,WDR46,"WD repeat domain 46",9277,3,188.2,,226.5 ,944.8 ,1452.3 ,1398.1 ,2535.3 ,,720.9 ,2608.7 ,5695.2 ,743.2 ,899.9 ,3698.3 ,2706.3 
187,GPKOW,"G patch domain and KOW motifs",27238,3,189.1,1191.0 ,1312.1 ,5878.1 ,1453.4 ,2798.3 ,10450.3 ,,1131.7 ,3891.9 ,8587.0 ,4234.1 ,2903.9 ,,
188,NAP1L4,"nucleosome assembly protein 1-like 4",4676,2,190.2,540.1 ,364.1 ,28.6 ,3493.8 ,379.0 ,2166.4 ,2064.0 ,2961.7 ,,,221.2 ,158.6 ,,1416.1 
189,VDAC1,"voltage-dependent anion channel 1",7416,3,192.3,3884.8 ,470.4 ,158.8 ,142.6 ,449.4 ,169.6 ,1086.2 ,2247.3 ,,,,,,
190,PLAA,"phospholipase A2-activating protein",9373,3,192.9,199.7 ,415.3 ,1052.1 ,1418.7 ,15.4 ,248.3 ,64.0 ,128.8 ,16.9 ,19.0 ,,,44.2 ,175.2 
191,ARF4,"ADP-ribosylation factor 4",378,3,193.1,320.0 ,675.3 ,775.5 ,170.4 ,821.7 ,6513.1 ,230.8 ,,2167.9 ,4342.0 ,,,,
192,KARS,"lysyl-tRNA synthetase",3735,3,194.1,150.0 ,234.5 ,,442.1 ,64.0 ,929.2 ,276.5 ,474.1 ,1215.8 ,1436.4 ,22.4 ,9.9 ,2405.2 ,2633.0 
193,PREB,"prolactin regulatory element binding",10113,3,194.6,471.3 ,1314.8 ,1837.9 ,1179.7 ,991.2 ,2374.0 ,,829.3 ,1714.7 ,1702.5 ,4556.2 ,3004.9 ,,
194,ENO1,"enolase 1, (alpha)",2023,3,194.6,16.2 ,86.4 ,208.3 ,623.9 935.7 ,235.2 ,,79.0 ,3787.9 ,804.2 ,1476.5 ,,,1552.5 ,
195,APEH,"acylaminoacyl-peptide hydrolase",327,3,195.7,341.3 ,37.5 ,369.5 ,3672.4 ,1187.6 ,5291.6 ,902.6 ,2056.2 ,,,406.0 ,55.7 ,,
196,BAG1,"BCL2-associated athanogene",573,3,196.4,1703.8 ,2620.7 ,315.2 ,1017.4 ,3894.6 ,423.8 ,3847.8 ,,,,,,,
197,PSMB1,"proteasome (prosome, macropain) subunit, beta type, 1",5689,3,197.2,273.8 ,244.3 ,53.8 ,579.0 ,596.4 ,1093.9 ,360.2 ,17.1 ,151.0 ,72.2 ,1641.3 ,2127.8 ,58.2 ,735.7 
198,CCT3,"chaperonin containing TCP1, subunit 3 (gamma)",7203,3,199.0,102.2 ,32.2 ,137.3 ,61.2 ,120.0 ,176.4 ,3995.2 ,102.3 ,372.2 ,342.7 ,1184.7 ,1799.7 ,664.7 ,703.6 
199,PHF23,"PHD finger protein 23",79142,3,199.8,490.1 ,137.5 ,255.0 ,6626.9 ,4183.6 ,1083.0 ,,3715.3 ,,,,,,
200,PKM,"pyruvate kinase, muscle",5315,3,200.0,104.1 ,45.2 ,153.3 ,952.9 ,1274.9 ,979.0 ,208.1 ,1796.7 ,1156.4 ,1432.2 ,608.4 8221.7 ,133.2 7299.7 ,274.3 ,489.9 
201,NOL6,"nucleolar protein 6 (RNA-associated)",65083,3,201.6,183.5 ,204.0 ,8126.2 ,454.1 ,1654.1 ,7665.4 ,,1120.8 ,2214.9 ,3926.4 ,,,2311.1 ,3003.1 
202,ATP6AP1,"ATPase, H+ transporting, lysosomal accessory protein 1",537,3,202.2,1052.4 ,594.4 ,1492.1 ,2257.2 ,85.7 ,5511.3 ,1377.9 ,3243.4 ,,,,,,
203,WBSCR16,"Williams-Beuren syndrome chromosome region 16",81554,2,202.3,5691.9 ,240.1 ,1051.3 ,298.5 ,1720.1 ,3285.4 ,4907.0 ,189.7 ,3903.2 ,5199.4 ,2686.4 ,2089.5 ,,
204,SEC23B,"Sec23 homolog B (S. cerevisiae)",10483,3,202.4,72.4 ,732.5 ,,75.1 ,944.7 ,299.5 ,831.5 ,3162.3 ,,,,,,
205,AP2B1,"adaptor-related protein complex 2, beta 1 subunit",163,3,204.1,137.5 ,1144.0 ,,,499.4 ,407.3 ,1245.6 ,1275.4 ,,,,,,
206,SNRPB,"small nuclear ribonucleoprotein polypeptides B and B1",6628,3,205.1,724.5 ,113.8 ,184.7 ,47.1 ,928.3 ,1393.1 ,,,,,,,,
207,IDH3G,"isocitrate dehydrogenase 3 (NAD+) gamma",3421,3,205.5,2690.1 ,2333.9 ,603.0 ,375.6 ,3241.4 ,2897.9 ,,6003.3 ,3622.9 ,8799.1 ,14291.6 1883.7 ,15279.2 575.3 ,,
208,RAB8A,"RAB8A, member RAS oncogene family",4218,3,205.9,226.5 ,323.9 ,1010.9 ,1442.4 ,1663.0 ,9458.2 ,1851.1 ,,2984.3 ,6173.9 ,1791.0 ,571.7 ,448.8 ,3318.3 
209,POLDIP2,"polymerase (DNA-directed), delta interacting protein 2",26073,3,206.5,275.8 ,71.9 ,1079.5 ,574.5 ,,6252.8 ,336.3 ,4013.2 ,4783.9 ,1774.3 ,5700.4 ,2804.6 ,,
210,HNRNPK,"heterogeneous nuclear ribonucleoprotein K",3190,3,206.8,278.3 ,39.1 ,721.1 ,50.8 ,16.1 ,,,,,,,,,
211,SUGP1,"SURP and G patch domain containing 1",57794,3,208.6,1827.5 ,2967.6 ,918.8 ,1940.2 ,2760.4 ,6975.8 ,5311.1 ,,3075.0 ,8842.0 ,,,,
212,FTSJ1,"FtsJ RNA methyltransferase homolog 1 (E. coli)",24140,3,209.6,868.0 ,1091.4 ,19766.4 ,2941.8 ,8380.6 ,5291.3 ,,6031.0 ,2836.3 ,4991.5 ,3945.9 ,3140.6 ,3541.6 ,4659.1 
213,PDIA4,"protein disulfide isomerase family A, member 4",9601,3,210.0,54.5 ,219.7 ,719.7 ,858.8 ,165.3 ,2992.0 ,979.3 ,352.7 ,,,2271.2 ,4109.5 ,,
214,RER1,"retention in endoplasmic reticulum sorting receptor 1",11079,3,210.0,205.8 ,1293.7 ,2643.1 ,2070.7 ,1787.6 ,1832.8 ,569.5 ,1107.3 ,469.9 ,7122.5 ,3520.2 ,2718.2 ,2483.7 ,2891.3 
215,AP2S1,"adaptor-related protein complex 2, sigma 1 subunit",1175,3,210.6,2370.9 ,370.4 ,427.1 ,1820.4 ,1500.3 ,2170.2 ,,,1807.8 ,6267.6 ,7686.8 ,9040.8 ,1471.8 ,2709.8 
216,PRMT5,"protein arginine methyltransferase 5",10419,3,211.2,255.6 ,348.9 ,169.3 ,203.3 ,1990.4 ,2341.5 ,,1342.4 ,1133.0 ,2458.9 ,,,,3132.2 
217,RANGAP1,"Ran GTPase activating protein 1",5905,3,213.9,812.5 ,603.6 ,640.0 ,197.1 ,698.0 ,8414.5 ,206.4 ,1864.3 ,422.7 ,880.0 ,,,1340.5 ,3064.3 
218,YKT6,"YKT6 v-SNARE homolog (S. cerevisiae)",10652,3,217.3,21.0 ,25.0 ,275.1 ,246.0 ,1105.0 ,2601.5 ,9230.7 ,2250.6 ,3780.2 ,9729.3 ,6554.8 ,2425.9 ,89.3 ,2611.9 
219,SF3B2,"splicing factor 3b, subunit 2, 145kDa",10992,3,217.5,60.5 ,97.9 ,127.8 ,58.9 ,272.5 ,1039.4 ,,1561.0 ,1015.4 ,3300.8 ,61.0 ,87.3 ,,3278.9 
220,PRPF31,"pre-mRNA processing factor 31",26121,2,217.7,694.0 ,5096.2 ,894.8 ,848.7 ,,2103.2 ,,522.8 ,1137.0 ,1068.4 ,481.3 ,840.0 ,,674.8 
221,ELAC2,"elaC ribonuclease Z 2",60528,3,218.8,152.6 ,38.0 ,1300.5 ,2757.2 ,312.2 ,920.2 ,1902.9 ,,1995.7 ,4425.5 ,879.0 ,1218.2 ,,2480.9 
222,PUF60,"poly-U binding splicing factor 60KDa",22827,3,220.5,1471.7 ,48.7 ,124.7 ,81.5 ,127.6 ,2541.4 ,2902.3 ,1060.7 ,1056.8 ,7357.1 ,1545.1 ,1717.9 ,,
223,MFSD5,"major facilitator superfamily domain containing 5",84975,3,220.5,1263.8 ,515.4 ,766.1 ,650.1 ,1281.3 ,2382.0 ,,,,,,,,
224,MRPL37,"mitochondrial ribosomal protein L37",51253,3,221.2,1173.6 ,556.1 ,937.9 ,1053.0 ,4337.6 ,3690.4 ,1733.6 ,1108.7 ,8075.1 ,5650.5 ,,,,
225,PRMT2,"protein arginine methyltransferase 2",3275,3,222.9,3201.6 ,11602.9 ,5460.0 ,16595.3 ,3747.4 ,15786.3 ,,7784.2 ,,,,,,
226,PPP2R2D,"protein phosphatase 2, regulatory subunit B, delta",55844,1,224.3,2738.7 ,3405.3 ,3302.3 ,15599.8 ,5002.4 ,13534.5 ,1394.6 ,6009.5 ,3428.6 ,842.7 ,1212.8 ,273.1 ,679.0 ,2404.9 
227,RBM42,"RNA binding motif protein 42",79171,3,226.2,1557.0 ,670.9 ,1420.0 ,2898.2 ,1956.3 ,3396.2 ,,,1931.2 ,1046.2 ,,,,
228,ARPC5L,"actin related protein 2/3 complex, subunit 5-like",81873,3,226.5,738.9 ,434.9 ,5120.9 ,17679.7 ,,1379.0 ,,,,,,,,
229,ARPC1A,"actin related protein 2/3 complex, subunit 1A, 41kDa",10552,3,227.0,447.2 ,927.9 ,155.2 ,1220.2 ,1716.3 ,6770.2 ,393.4 ,11.4 ,2712.1 ,3060.0 ,511.1 ,174.1 ,129.4 ,289.9 
230,PSMC1,"proteasome (prosome, macropain) 26S subunit, ATPase, 1",5700,3,227.1,,197.4 ,86.4 ,170.8 ,124.8 ,,165.9 ,34.2 ,11.2 ,20.4 ,349.8 ,238.5 ,20.9 ,24.2 
231,TIMM50,"translocase of inner mitochondrial membrane 50 homolog (S. cerevisiae)",92609,3,229.2,1008.3 ,438.6 ,1622.2 ,494.0 ,6152.4 ,1403.1 ,10621.6 ,1478.5 ,7811.2 ,5407.2 2946.8 ,1550.5 ,907.4 ,,
232,KDELR1,"KDEL (Lys-Asp-Glu-Leu) endoplasmic reticulum protein retention receptor 1",10945,3,231.0,808.4 ,1154.3 ,1063.2 ,10212.1 ,880.1 ,2196.6 ,,,1384.5 ,3358.2 ,,,2422.0 ,3139.0 
233,RPN1,"ribophorin I",6184,3,232.2,31.8 ,8.0 ,48.0 ,70.0 ,182.9 ,559.0 ,190.2 ,216.0 ,,650.6 ,128.9 ,27.6 ,,
234,UBAP2,"ubiquitin associated protein 2",55833,3,232.7,362.9 ,310.0 ,1072.0 ,2421.3 ,658.9 ,39.2 ,2149.4 ,,836.4 ,266.9 ,,,,
235,SLC27A4,"solute carrier family 27 (fatty acid transporter), member 4",10999,3,232.7,1221.5 ,610.0 ,2458.6 ,1651.9 ,8295.2 ,1710.2 ,1758.5 ,,8183.5 6079.4 ,6129.4 9869.3 ,2416.5 6838.6 ,4076.5 4912.0 ,,
236,DCTN1,"dynactin 1",1639,3,232.7,113.0 ,169.7 ,488.4 ,1667.2 ,262.2 ,3109.0 ,,,85.0 ,358.0 ,,,,
237,MAEA,"macrophage erythroblast attacher",10296,3,232.8,141.2 ,487.9 ,163.8 ,5524.2 ,446.7 ,2630.3 ,2171.3 ,3781.7 ,418.9 ,5626.7 ,,,,714.1 
238,SDHA,"succinate dehydrogenase complex, subunit A, flavoprotein (Fp)",6389,3,233.7,219.3 ,321.1 ,476.2 ,928.0 ,366.3 ,1586.4 ,323.1 ,2944.5 ,2359.3 ,3901.4 ,634.2 7013.8 ,1785.8 7932.1 ,892.0 ,432.8 
239,CLPTM1,"cleft lip and palate associated transmembrane protein 1",1209,3,234.4,810.1 ,465.6 ,1473.4 ,1415.1 ,528.8 ,5131.9 ,,243.6 ,12.2 ,81.8 ,867.5 2106.7 ,450.2 2118.4 ,,
240,UBAP2L,"ubiquitin associated protein 2-like",9898,3,234.5,458.1 ,151.1 ,,,,,,1846.2 ,,,,,,
241,MPDU1,"mannose-P-dolichol utilization defect 1",9526,3,236.3,429.9 ,231.8 ,723.7 ,519.0 ,7671.1 ,4885.5 ,,2120.3 ,4890.7 ,2265.5 ,9118.4 ,7276.5 ,,
242,PRDX1,"peroxiredoxin 1",5052,3,237.1,197.9 ,90.4 ,311.4 ,2211.7 ,271.9 ,179.6 ,143.2 ,382.6 ,,,,,,
243,RIC8A,"RIC8 guanine nucleotide exchange factor A",60626,3,238.5,99.8 ,515.6 ,7209.5 ,1885.0 ,4333.5 ,8413.5 ,4221.5 ,4030.1 ,1721.2 ,4386.7 ,2123.9 ,1736.6 ,,
244,PLIN3,"perilipin 3",10226,3,239.7,716.8 ,1471.4 ,1421.4 ,4334.6 ,3188.1 ,7479.6 ,,1922.0 ,,,,,,
245,PPIF,"peptidylprolyl isomerase F",10105,3,240.0,494.7 ,868.3 ,2446.9 ,4134.4 ,3639.8 ,315.4 ,7541.1 ,,377.8 8015.2 ,687.9 4414.4 ,,,19.2 ,2449.2 
246,KIAA0368,"KIAA0368",23392,1,240.5,194.8 ,1435.2 ,856.2 ,3185.2 ,,,87.7 ,3102.6 ,423.0 ,275.2 ,,,,2200.4 
247,YWHAB,"tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, beta",7529,3,241.8,443.6 ,481.3 ,666.1 ,334.5 ,550.1 ,3158.9 ,242.6 ,36.1 20.4 ,,,,,,
248,CDK9,"cyclin-dependent kinase 9",1025,2,242.2,1195.0 ,990.2 ,576.2 ,3057.8 ,2753.0 ,,1106.1 ,3462.3 ,2408.9 ,3206.8 ,734.6 ,116.6 ,1737.1 ,1556.7 
249,RALY,"RALY heterogeneous nuclear ribonucleoprotein",22913,3,244.2,579.7 ,2710.8 ,1417.1 ,5038.8 ,799.5 ,7167.8 ,8738.2 ,9513.4 ,,,,,,
250,TMEM199,"transmembrane protein 199",147007,3,246.6,1179.1 ,841.0 ,2461.4 ,3881.9 ,9057.0 ,6416.3 ,928.9 ,568.0 ,,,,,,
251,MRPS12,"mitochondrial ribosomal protein S12",6183,3,246.8,1662.2 ,663.1 ,2275.6 ,1676.2 ,3581.7 ,1291.4 ,2664.9 ,651.7 ,5963.3 ,8825.5 ,7737.5 ,9463.4 ,1378.0 ,2574.0 
252,UBAP1,"ubiquitin associated protein 1",51271,3,248.0,71.6 ,544.2 ,949.5 ,11226.0 ,1963.9 ,205.4 ,,2575.6 ,,,,,,
