,Gene,Function,Entrez Gene ID,Supportability,Hsa MR for OPTN,Hsa2 MR for OPTN,Hsa3 MR for OPTN,Mcc MR for OPTN,Mmu MR for Optn,Mmu2 MR for Optn,Rno MR for Optn,Cfa MR for OPTN,Gga MR for OPTN,Dre MR for optn
171,CCDC82,"coiled-coil domain containing 82",79780,3,263.2,1403.7 ,853.2 ,4204.6 ,5259.7 ,13168.0 ,,375.1 ,3545.5 ,6923.2 
172,SGMS1,"sphingomyelin synthase 1",259230,3,264.1,1711.2 ,5604.9 ,3497.1 ,591.4 ,973.2 ,250.5 ,377.4 ,2705.4 ,
173,MXI1,"MAX interactor 1, dimerization protein",4601,3,264.7,137.9 ,430.7 ,5207.1 ,533.7 ,1264.1 ,673.8 ,4164.4 ,281.5 ,7836.8 
174,BTN3A1,"butyrophilin, subfamily 3, member A1",11119,3,265.2,160.8 ,1120.2 ,,,,,,,
175,FTH1,"ferritin, heavy polypeptide 1",2495,3,265.7,444.4 ,1877.8 ,11322.6 ,1359.0 ,6367.1 ,2222.2 ,3690.2 ,1570.1 ,
176,FCHO2,"FCH domain only 2",115548,3,271.8,630.6 ,2037.8 ,6208.7 ,6015.3 ,9126.1 ,979.3 ,1259.0 ,11592.1 ,4317.6 
177,CTSO,"cathepsin O",1519,3,275.4,240.4 ,191.1 ,5634.5 ,3898.0 ,3691.8 ,,13918.2 ,4045.2 ,
178,IL2RB,"interleukin 2 receptor, beta",3560,3,275.6,2527.8 ,7229.0 ,,16176.1 ,3859.1 ,8213.8 ,4396.0 ,,
179,ARID5B,"AT rich interactive domain 5B (MRF1-like)",84159,3,279.4,905.0 ,97.7 ,1554.9 ,4976.5 ,2205.2 ,6519.4 ,43.4 ,9180.9 ,
180,FYN,"FYN proto-oncogene, Src family tyrosine kinase",2534,3,280.5,700.4 ,1155.5 ,,14298.0 ,13116.9 ,6307.0 ,1525.2 ,2456.3 ,
181,HAPLN3,"hyaluronan and proteoglycan link protein 3",145864,3,281.2,1420.1 ,6454.3 ,14148.8 ,11685.7 ,,12972.8 ,12790.1 ,,
182,NCOA4,"nuclear receptor coactivator 4",8031,3,282.7,559.1 ,2190.6 ,2007.8 ,,1262.1 ,3642.4 ,1275.8 ,702.1 ,389.5 
183,NTAN1,"N-terminal asparagine amidase",123803,3,284.9,196.4 ,1238.7 ,,6669.3 ,5255.8 ,2353.9 ,5.5 ,1971.2 ,
184,CCPG1,"cell cycle progression 1",9236,3,285.1,366.2 ,234.5 ,5252.4 ,502.2 ,10378.7 ,324.7 ,43.2 ,284.3 ,
185,PLEKHF1,"pleckstrin homology domain containing, family F (with FYVE domain) member 1",79156,3,285.2,1218.6 ,2329.7 ,9474.9 ,3545.7 ,3595.0 ,2664.4 ,1035.1 ,11951.2 ,
186,KATNAL1,"katanin p60 subunit A-like 1",84056,3,287.1,989.7 ,373.8 ,5102.7 ,,7796.9 ,5659.0 ,4550.4 ,2795.9 ,9885.9 
187,ALAS2,"5'-aminolevulinate synthase 2",212,3,292.3,1937.3 ,15118.4 ,14270.3 ,1503.0 ,4478.4 ,10995.1 ,8372.3 ,,4530.4 
188,TRPC1,"transient receptor potential cation channel, subfamily C, member 1",7220,3,294.9,1338.2 ,930.7 ,11708.6 ,5778.8 ,5824.8 ,10883.3 ,6681.6 ,1977.7 ,
189,TGFBR3,"transforming growth factor, beta receptor III",7049,3,299.3,2101.1 ,1248.6 ,6929.4 ,6220.1 ,920.3 ,7025.8 ,2694.2 ,12689.5 ,
190,RGL1,"ral guanine nucleotide dissociation stimulator-like 1",23179,3,299.8,1066.8 ,398.4 ,2130.4 ,2740.2 ,3782.9 ,5624.8 ,3064.7 ,9919.7 ,2682.0 
191,FAM210B,"family with sequence similarity 210, member B",116151,3,300.9,1023.9 ,2649.7 ,2392.1 ,177.9 ,572.0 ,3227.6 ,7528.9 ,2911.2 ,
192,UBE2B,"ubiquitin-conjugating enzyme E2B",7320,2,301.3,214.4 ,95.7 ,,1511.5 ,9639.4 ,1867.8 ,10.2 ,,
193,ZNF25,"zinc finger protein 25",219749,3,301.9,968.0 ,905.6 ,,13805.9 ,17506.8 ,,4037.9 ,,
194,BIRC2,"baculoviral IAP repeat containing 2",329,3,302.5,604.3 ,917.1 ,2215.7 ,3169.1 ,4658.1 ,1424.0 ,2929.6 ,461.1 ,406.6 
195,GIMAP2,"GTPase, IMAP family member 2",26157,3,302.7,502.7 ,1608.3 ,3470.7 ,,,,805.0 ,,
196,SOD2,"superoxide dismutase 2, mitochondrial",6648,3,303.3,240.3 ,240.4 ,105.3 ,489.7 ,3396.0 ,166.2 ,2036.9 ,928.4 ,3993.6 
197,HBM,"hemoglobin, mu",3042,3,305.7,3283.4 ,7656.5 ,,,,,,,
198,GYPA,"glycophorin A (MNS blood group)",2993,3,306.2,800.1 ,12654.8 ,,,,,,,
199,FBXO7,"F-box protein 7",25793,3,307.4,678.7 ,2614.1 ,,831.9 ,6249.9 ,2046.3 ,1294.5 ,1568.3 ,
200,FAM104A,"family with sequence similarity 104, member A",84923,3,307.7,256.2 ,2038.3 ,1324.0 ,1623.3 ,4189.8 ,2093.7 ,3939.2 ,1822.0 ,
201,DDX60L,"DEAD (Asp-Glu-Ala-Asp) box polypeptide 60-like",91351,3,307.7,124.9 ,192.9 ,10690.5 ,,,,,,
202,ARHGEF12,"Rho guanine nucleotide exchange factor (GEF) 12",23365,1,310.9,55.7 ,353.2 ,3342.7 ,353.3 ,5289.1 ,2609.9 ,2947.7 ,6004.1 ,8561.9 
203,CCDC50,"coiled-coil domain containing 50",152137,3,311.7,249.3 ,563.7 ,533.9 ,,,,1564.7 ,12328.8 ,
204,FBXO32,"F-box protein 32",114907,3,312.3,25.8 ,3.5 ,1842.3 ,2177.3 ,11637.4 ,2635.9 ,2116.6 ,2643.9 ,2821.6 
205,CTSB,"cathepsin B",1508,3,312.6,100.1 ,12.2 ,,521.5 ,3550.6 ,2488.1 ,3994.9 ,2622.5 ,2286.3 
206,MT1E,"metallothionein 1E",4493,3,314.1,981.6 ,328.2 ,,,,,,,
207,SYNE1,"spectrin repeat containing, nuclear envelope 1",23345,3,314.2,1047.5 ,36.9 ,,2376.1 ,3507.5 ,4572.5 ,1702.6 ,4391.7 ,1774.6 
208,ABI1,"abl-interactor 1",10006,3,316.2,806.0 ,1445.0 ,,6657.8 ,13980.0 ,2063.0 ,267.5 ,6210.4 ,
209,SH3GLB1,"SH3-domain GRB2-like endophilin B1",51100,3,316.8,276.0 ,58.2 ,12264.4 ,210.2 ,221.8 ,2331.7 ,131.7 ,152.0 ,
210,IL4I1,"interleukin 4 induced 1",259307,3,318.6,4810.0 ,6700.5 ,5553.7 ,3946.6 ,4733.4 4880.6 ,,2257.1 ,,
211,FTH1P5,"ferritin, heavy polypeptide 1 pseudogene 5",2509,3,319.5,557.6 ,,,,,,,,
212,CHIC1,"cysteine-rich hydrophobic domain 1",53344,3,321.9,3551.9 ,2089.8 ,12003.3 ,17409.7 ,14630.9 ,,,12825.3 ,
213,MT2A,"metallothionein 2A",4502,3,323.2,,852.7 ,,,,,,3931.7 ,
214,ABCB1,"ATP-binding cassette, sub-family B (MDR/TAP), member 1",5243,3,323.4,422.9 ,1361.1 ,368.9 ,2024.5 ,2262.3 ,2716.0 ,2210.7 ,,
215,CBX7,"chromobox homolog 7",23492,3,324.0,4993.9 ,2765.6 ,9021.7 ,11046.3 ,9361.9 ,4517.9 ,6409.2 ,,
216,SLAMF7,"SLAM family member 7",57823,3,324.8,461.9 ,4163.5 ,1904.1 ,8320.7 ,3135.5 ,,4857.3 ,,
217,LOC154761,"family with sequence similarity 115, member C pseudogene",154761,3,325.9,,3673.8 ,,,,,,,
218,IFI35,"interferon-induced protein 35",3430,3,328.1,156.2 ,1106.5 ,330.3 ,1231.1 ,5282.4 ,3600.4 ,2549.9 ,2148.7 ,305.8 
219,PSMB8,"proteasome (prosome, macropain) subunit, beta type, 8",5696,3,328.1,,410.2 ,636.1 ,6828.7 ,4249.7 ,3011.6 ,3938.3 ,,618.0 
220,RECK,"reversion-inducing-cysteine-rich protein with kazal motifs",8434,3,328.8,618.8 ,1731.7 ,6446.8 ,7884.7 ,15056.4 ,6129.7 ,1138.4 ,3353.9 ,
221,RNF213,"ring finger protein 213",57674,3,332.8,542.5 ,4232.3 ,,6293.8 ,11586.7 ,,3579.0 ,8375.3 ,
222,AHSP,"alpha hemoglobin stabilizing protein",51327,3,333.0,1769.6 ,13460.6 ,8906.6 ,,,13358.6 ,,,
223,LRRC2,"leucine rich repeat containing 2",79442,3,336.2,388.7 ,4408.8 ,12939.9 ,749.9 ,9532.5 ,,6640.8 ,13076.7 ,
224,CXCL11,"chemokine (C-X-C motif) ligand 11",6373,3,337.5,197.8 ,3550.7 ,1927.2 ,,1704.8 ,2426.9 ,,,
225,ATP2B4,"ATPase, Ca++ transporting, plasma membrane 4",493,3,339.2,710.7 ,938.9 ,13574.5 ,13215.2 ,4814.0 ,5774.8 ,7881.9 ,3915.0 ,
226,CXCL10,"chemokine (C-X-C motif) ligand 10",3627,3,345.5,241.4 ,2250.6 ,860.3 ,,2866.1 ,10527.1 ,3746.6 ,,
227,C1S,"complement component 1, s subcomponent",716,3,347.0,228.0 ,240.4 ,2174.4 ,,5243.6 2677.5 ,2181.2 ,1463.8 ,3099.9 ,
228,OSBPL3,"oxysterol binding protein-like 3",26031,3,349.8,1744.0 ,1541.9 ,2899.4 ,12388.3 ,17112.9 ,3172.0 ,9570.8 ,9665.5 ,
229,DHRS3,"dehydrogenase/reductase (SDR family) member 3",9249,3,351.5,1590.5 ,4657.5 ,6993.5 ,1029.5 ,1698.3 ,1593.2 ,2119.1 ,7095.6 ,1752.5 
230,NUB1,"negative regulator of ubiquitin-like proteins 1",51667,3,352.2,200.4 ,3055.8 ,166.7 ,1260.2 ,7591.2 ,593.2 ,129.9 ,9.8 ,1753.8 
231,OAS2,"2'-5'-oligoadenylate synthetase 2, 69/71kDa",4939,3,353.3,127.4 ,768.2 ,1124.3 ,5812.6 ,7964.0 ,,489.6 ,,
232,GZMA,"granzyme A (granzyme 1, cytotoxic T-lymphocyte-associated serine esterase 3)",3001,3,353.9,638.2 ,2612.9 ,6819.6 ,16490.4 ,5336.0 ,7956.4 ,4079.0 ,5428.5 ,
233,AIDA,"axin interactor, dorsalization associated",64853,3,355.2,805.7 ,2181.8 ,,7263.6 ,12430.2 ,4685.4 ,2127.2 ,2202.4 ,
234,UBR2,"ubiquitin protein ligase E3 component n-recognin 2",23304,3,356.1,1922.6 ,4536.4 ,12925.7 ,2801.4 ,15108.8 ,456.7 ,7955.1 ,657.4 ,
235,AK1,"adenylate kinase 1",203,3,356.8,72.9 ,1522.6 ,5712.2 ,7230.5 ,8349.5 ,4809.2 ,8268.9 ,4378.7 ,1744.9 
236,MOB3C,"MOB kinase activator 3C",148932,3,360.0,267.2 ,653.7 ,2736.3 ,502.8 ,6444.8 ,,1211.4 ,12361.8 ,
237,TTC39B,"tetratricopeptide repeat domain 39B",158219,3,360.3,74.0 ,263.6 ,3520.4 ,1506.7 ,5266.6 ,307.2 ,1220.8 ,3206.5 ,
238,MIR22HG,"MIR22 host gene (non-protein coding)",84981,3,362.7,197.9 ,254.5 ,,,,,,,
239,ACVR1,"activin A receptor, type I",90,3,364.6,401.6 ,3468.8 ,2700.8 ,5368.0 ,2517.7 ,1578.8 ,4082.5 ,987.7 ,9396.5 
240,AMIGO2,"adhesion molecule with Ig-like domain 2",347902,3,365.4,746.8 ,1233.3 ,,4811.1 ,9861.3 ,4337.8 ,13633.3 ,8621.7 ,
241,FAM134B,"family with sequence similarity 134, member B",54463,3,365.6,1776.0 ,3213.4 ,281.8 ,365.7 ,336.1 ,6054.7 ,1229.8 ,,
242,GPR146,"G protein-coupled receptor 146",115330,3,367.0,390.1 ,4182.5 ,,784.6 ,1620.8 ,2283.0 ,1004.1 ,4614.9 ,
243,CCNDBP1,"cyclin D-type binding-protein 1",23582,3,369.8,70.5 ,125.6 ,987.2 ,1761.1 ,6454.9 ,3471.7 ,20.6 ,1174.5 ,8417.2 
244,MAP3K7CL,"MAP3K7 C-terminal like",56911,3,371.8,739.4 ,820.6 ,2097.1 ,16133.0 ,10731.5 ,9880.2 ,12073.8 ,3554.8 ,
245,SH3BP5,"SH3-domain binding protein 5 (BTK-associated)",9467,3,372.8,846.8 ,4486.5 ,,1226.8 ,10067.4 ,1659.1 ,4353.1 ,6855.1 ,4074.0 
246,OAS3,"2'-5'-oligoadenylate synthetase 3, 100kDa",4940,3,373.9,422.9 ,989.5 ,412.5 ,2250.5 ,4951.2 ,,3828.1 ,,
247,F8,"coagulation factor VIII, procoagulant component",2157,2,374.4,2888.3 ,8081.4 ,,1815.6 ,6987.9 ,3400.0 ,7293.9 ,,
248,C1R,"complement component 1, r subcomponent",715,3,377.7,357.5 ,301.4 ,,1609.7 ,3329.3 2361.7 ,1372.5 ,1515.4 ,4165.8 ,
249,KLF12,"Kruppel-like factor 12",11278,3,377.9,3487.6 ,1268.8 ,10360.3 ,13640.8 ,11245.8 ,1139.9 ,1268.1 ,10797.0 ,
250,ICAM1,"intercellular adhesion molecule 1",3383,3,378.5,344.2 ,739.1 ,6688.2 ,8026.9 ,10094.0 ,2638.1 ,3148.2 ,,
251,KLF6,"Kruppel-like factor 6",1316,3,378.8,287.1 ,1033.5 ,153.9 ,3291.0 ,2582.9 ,5431.1 ,217.3 ,2106.2 ,673.4 
252,SLC9A9,"solute carrier family 9, subfamily A (NHE9, cation proton antiporter 9), member 9",285195,3,379.6,382.9 ,547.5 ,9632.9 ,14936.4 ,11346.5 ,3264.6 ,1277.0 ,7261.9 ,
253,OSTM1,"osteopetrosis associated transmembrane protein 1",28962,3,380.4,792.9 ,618.4 ,510.3 ,1948.2 ,4328.0 ,224.8 ,4398.6 ,1625.5 ,
254,PLA2G4C,"phospholipase A2, group IVC (cytosolic, calcium-independent)",8605,2,381.0,5.3 ,220.0 ,114.5 ,10967.0 ,6738.9 ,,,,2303.4 
255,NEK7,"NIMA-related kinase 7",140609,3,382.9,656.3 ,342.8 ,4781.4 ,2381.7 ,4524.2 ,276.1 ,2889.9 ,1583.9 ,130.3 
256,OR2W3,"olfactory receptor, family 2, subfamily W, member 3",343171,0,383.0,,,13946.5 ,,,,,,
257,NEXN,"nexilin (F actin binding protein)",91624,3,384.8,677.0 ,1741.2 ,6810.1 ,9403.0 ,10794.2 ,6592.5 ,,8058.5 ,1984.1 
258,CYP2U1,"cytochrome P450, family 2, subfamily U, polypeptide 1",113612,3,386.1,2254.7 ,3851.4 ,,6368.7 ,598.1 ,4896.6 ,,10652.7 ,
259,IRAK2,"interleukin-1 receptor-associated kinase 2",3656,3,386.1,322.0 ,1878.2 ,2625.2 ,561.2 ,7314.8 ,1381.5 ,10938.4 ,1260.2 ,
260,DNAJB4,"DnaJ (Hsp40) homolog, subfamily B, member 4",11080,3,390.6,544.8 ,276.8 ,,430.0 ,1157.1 ,,1696.1 ,1313.8 ,
261,LAMP3,"lysosomal-associated membrane protein 3",27074,3,390.9,642.6 ,6945.4 ,13742.4 ,,15332.8 ,11337.0 ,13564.0 ,10538.4 ,
262,RHCE,"Rh blood group, CcEe antigens",6006,3,391.1,2321.0 ,7077.7 ,15051.6 ,523.0 ,5276.6 ,11434.8 ,4887.4 ,,
263,SPTA1,"spectrin, alpha, erythrocytic 1",6708,3,393.9,1044.8 ,11668.2 ,9537.5 ,868.8 ,3076.9 ,4008.3 ,14042.7 ,,
264,MT1H,"metallothionein 1H",4496,3,395.9,4262.7 ,14434.9 ,,819.6 ,7953.8 ,,9529.8 ,,
265,KLF1,"Kruppel-like factor 1 (erythroid)",10661,3,396.0,8606.9 ,19206.1 ,14369.2 ,482.7 ,6920.0 ,12552.7 ,6256.9 ,,
266,RBM17,"RNA binding motif protein 17",84991,1,396.1,4426.4 ,9873.1 ,4963.2 ,10832.1 ,11215.2 ,3572.5 ,2913.1 ,3826.0 ,6890.5 
267,IFITM3,"interferon induced transmembrane protein 3",10410,3,396.4,1122.8 ,5382.9 ,,4067.5 ,2602.3 ,6912.2 ,,,
268,PGM2L1,"phosphoglucomutase 2-like 1",283209,3,396.6,1460.1 ,3793.0 ,12584.0 ,9121.6 ,10944.2 ,4293.2 ,720.4 ,7997.8 ,470.0 
269,DPYD,"dihydropyrimidine dehydrogenase",1806,3,400.8,794.2 ,600.5 ,,2277.2 ,997.5 ,789.8 ,2954.2 ,8242.6 ,4136.7 
270,TRIM69,"tripartite motif containing 69",140691,3,402.3,310.0 ,431.9 ,4570.4 ,6642.9 ,2692.0 ,,3288.0 ,,
271,TRANK1,"tetratricopeptide repeat and ankyrin repeat containing 1",9881,3,404.1,127.1 ,1537.1 ,5410.4 ,17410.9 ,10027.1 ,,1196.4 ,3930.4 ,
272,SLC4A1,"solute carrier family 4 (anion exchanger), member 1 (Diego blood group)",6521,3,404.2,811.4 ,7247.5 ,,5008.4 ,13849.8 ,6590.6 ,13111.5 ,10592.7 ,
273,STX17,"syntaxin 17",55014,3,405.1,1829.1 ,5322.2 ,,456.6 ,1410.1 ,463.3 ,11124.9 ,5963.9 ,
274,PRRG1,"proline rich Gla (G-carboxyglutamic acid) 1",5638,3,405.4,848.4 ,1839.1 ,,16130.0 ,12273.8 ,,12551.1 ,8069.5 ,
275,FECH,"ferrochelatase",2235,3,406.4,474.5 ,6925.8 ,3688.5 ,426.4 ,365.7 ,2238.2 ,3233.0 ,9473.1 ,9591.5 
276,SLC18B1,"solute carrier family 18, subfamily B, member 1",116843,3,408.0,6160.5 ,11135.7 ,6665.8 ,3530.5 ,12588.3 ,2358.9 ,1281.8 ,4997.8 ,
277,SLC14A1,"solute carrier family 14 (urea transporter), member 1 (Kidd blood group)",6563,3,408.9,1506.7 ,1552.1 ,12902.7 ,4047.0 ,13746.5 ,10343.1 ,9391.8 ,,
278,TMEM200B,"transmembrane protein 200B",399474,3,409.9,9386.6 ,4876.4 ,,,5890.1 ,,5199.7 ,,
279,CBR3,"carbonyl reductase 3",874,3,410.0,6174.3 ,925.8 ,211.0 ,10765.8 ,7324.4 ,10665.4 ,1083.9 ,,
280,MT1HL1,"metallothionein 1H-like 1",645745,3,410.4,4997.5 ,,,,,,,,
281,UPP1,"uridine phosphorylase 1",7378,3,410.9,1921.2 ,3208.8 ,320.5 ,1034.2 ,1740.1 ,8300.4 ,256.2 ,1594.2 ,
282,NIPSNAP3A,"nipsnap homolog 3A (C. elegans)",25934,3,413.5,2395.5 ,5737.6 ,,7329.9 ,12367.0 ,6703.3 ,2552.3 ,3875.0 ,3731.1 
283,GUK1,"guanylate kinase 1",2987,3,413.6,101.9 ,2786.3 ,1895.2 ,6939.9 ,10439.6 ,3532.5 ,10840.0 ,2091.9 ,
284,SLC41A1,"solute carrier family 41 (magnesium transporter), member 1",254428,3,416.8,3877.4 ,1819.7 ,,13819.8 ,3623.9 ,6452.6 ,12642.2 ,3579.1 ,
285,PPARA,"peroxisome proliferator-activated receptor alpha",5465,3,417.0,799.0 ,2004.0 ,7412.2 ,268.4 ,128.4 ,287.2 ,13057.8 ,12683.4 ,
286,GABARAPL2,"GABA(A) receptor-associated protein-like 2",11345,3,417.1,918.2 ,839.0 ,1801.3 ,3129.5 ,15241.5 ,1217.6 ,100.0 ,263.3 ,432.3 
287,ITM2B,"integral membrane protein 2B",9445,3,417.5,1042.5 ,1248.0 ,4729.4 ,2053.4 ,3975.5 ,807.5 ,104.4 ,754.4 ,1901.9 
288,PHLDB2,"pleckstrin homology-like domain, family B, member 2",90102,3,419.7,1562.0 ,984.7 ,12103.7 ,8133.8 ,7324.3 ,5870.3 ,3058.9 ,5158.1 ,4083.5 
289,IFI6,"interferon, alpha-inducible protein 6",2537,3,419.7,249.0 ,319.1 ,,,,,3916.6 ,,
290,MARCH2,"membrane-associated ring finger (C3HC4) 2, E3 ubiquitin protein ligase",51257,3,420.7,316.6 ,3318.0 ,,457.4 ,1818.7 ,1682.3 ,189.0 ,7522.4 ,
291,KIAA1109,"KIAA1109",84162,3,421.0,1804.8 ,1401.4 ,12090.2 ,3691.8 ,4800.7 ,,223.9 ,277.5 ,2497.5 
292,GNLY,"granulysin",10578,3,421.4,1124.8 ,4307.2 ,,,,,,,
293,SQRDL,"sulfide quinone reductase-like (yeast)",58472,3,422.6,57.2 ,50.6 ,82.2 ,666.4 ,225.1 ,1134.4 ,4361.0 ,10921.9 ,1042.3 
294,JAK1,"Janus kinase 1",3716,2,422.6,194.5 ,211.3 ,,3845.7 ,7710.0 ,569.6 ,20.3 ,2027.4 ,554.4 
295,DYNLT3,"dynein, light chain, Tctex-type 3",6990,3,424.0,518.2 ,234.9 ,,1115.5 ,552.9 ,1771.1 ,141.0 ,409.8 ,2141.4 
296,RIOK3,"RIO kinase 3",8780,1,427.9,17.1 ,57.2 ,2205.1 ,94.5 ,5117.4 ,376.5 ,,1025.9 ,
297,AKT3,"v-akt murine thymoma viral oncogene homolog 3",10000,3,430.8,695.2 ,83.9 ,,9575.5 ,14894.7 ,6200.0 ,856.4 ,6003.3 ,5374.4 
298,OGFRL1,"opioid growth factor receptor-like 1",79627,3,431.4,3699.1 ,3582.4 ,,4506.8 ,6654.4 ,11777.0 ,12032.2 ,7491.3 ,
299,IFI16,"interferon, gamma-inducible protein 16",3428,3,431.6,488.7 ,122.7 ,1408.8 ,11056.1 2360.6 2806.6 17375.5 ,11771.7 10872.7 8571.4 11779.8 6302.9 3930.8 6928.4 8888.7 6571.9 11816.4 9828.2 ,7117.3 ,,,
300,TRIP10,"thyroid hormone receptor interactor 10",9322,3,437.6,121.2 ,1498.5 ,,987.2 ,5299.9 ,2247.0 ,178.0 ,,317.9 
301,CCDC92,"coiled-coil domain containing 92",80212,3,439.8,375.5 ,278.9 ,2587.2 ,5717.4 ,11341.7 ,9114.0 ,1983.4 ,3513.2 ,
302,GZMH,"granzyme H (cathepsin G-like 2, protein h-CCPX)",2999,3,440.0,5876.1 ,3609.9 ,,16106.4 13914.0 14696.4 14687.1 ,13937.5 ,10137.3 ,,,
303,CCDC186,"coiled-coil domain containing 186",55088,3,440.2,1254.2 ,799.0 ,5632.0 ,3235.1 ,3134.7 ,1533.8 ,2027.5 ,1172.8 ,
304,MBNL2,"muscleblind-like splicing regulator 2",10150,2,441.2,558.2 ,252.1 ,,2052.8 ,4484.4 ,1290.1 ,2601.4 ,297.8 ,
305,AHNAK2,"AHNAK nucleoprotein 2",113146,3,441.9,189.0 ,880.1 ,,2372.4 ,4010.0 ,,590.0 ,,
306,MDFIC,"MyoD family inhibitor domain containing",29969,3,442.7,2840.7 ,591.8 ,,6729.5 ,10888.9 ,1154.2 ,405.3 ,,
307,HERC6,"HECT and RLD domain containing E3 ubiquitin protein ligase family member 6",55008,3,444.2,145.4 ,1081.1 ,772.0 ,1410.3 ,3086.6 ,3562.6 ,2666.9 ,,
308,CD274,"CD274 molecule",29126,3,444.4,320.1 ,118.5 ,1480.7 ,2104.0 ,5729.8 ,,7993.0 ,3422.8 ,
309,CCL8,"chemokine (C-C motif) ligand 8",6355,3,445.5,982.0 ,9120.5 ,2156.1 ,,,,13477.3 ,,
310,TRIM21,"tripartite motif containing 21",6737,3,447.8,220.2 ,4436.4 ,884.3 ,,6061.8 ,1790.5 ,372.7 ,,
311,FBXO3,"F-box protein 3",26273,3,447.9,3809.8 ,2055.2 ,4263.1 ,1245.1 ,1027.2 ,1212.3 ,2784.7 ,11413.2 ,
312,LAMP2,"lysosomal-associated membrane protein 2",3920,3,448.6,2170.9 ,574.2 ,2219.9 ,649.9 ,7802.6 ,1505.4 ,1460.5 ,3417.7 ,
313,EIF4E3,"eukaryotic translation initiation factor 4E family member 3",317649,2,448.8,739.2 ,7421.2 ,8889.8 ,9431.9 ,5335.1 ,4207.5 ,1836.7 ,11906.6 ,2271.3 
314,CD109,"CD109 molecule",135228,3,449.9,409.6 ,141.9 ,1670.1 ,6790.2 ,9887.1 ,10712.0 ,3574.5 ,10775.2 ,
315,ANK1,"ankyrin 1, erythrocytic",286,3,451.9,796.0 ,5427.9 ,12536.1 ,1487.1 ,3323.8 ,4863.2 ,10365.0 ,12374.5 ,
316,EVA1C,"eva-1 homolog C (C. elegans)",59271,3,454.6,1944.8 ,880.2 ,,,6376.6 ,6119.2 ,9855.4 ,10706.3 ,
317,CAPN2,"calpain 2, (m/II) large subunit",824,3,455.0,77.0 ,234.3 ,2646.7 ,7850.8 ,7922.1 ,1560.7 ,541.6 ,593.1 ,1447.8 2221.9 
318,BLVRB,"biliverdin reductase B",645,3,455.5,393.1 ,6439.5 ,1810.9 ,43.1 ,5571.0 ,3074.9 ,13201.8 ,,1468.1 
319,KLHL5,"kelch-like family member 5",51088,3,457.0,774.7 ,1463.3 ,6032.1 ,9749.5 ,14629.6 ,5696.6 ,532.7 ,1946.4 ,
320,STRADB,"STE20-related kinase adaptor beta",55437,3,457.5,1815.4 ,6110.8 ,,203.9 ,3314.2 ,1165.4 ,7235.8 ,6340.9 ,
321,GRAMD3,"GRAM domain containing 3",65983,2,458.5,278.5 ,523.0 ,3881.2 ,1687.6 ,1417.5 ,1034.1 ,6578.2 ,3816.8 ,
322,NT5E,"5'-nucleotidase, ecto (CD73)",4907,3,458.9,292.6 ,113.0 ,1774.8 ,4031.0 ,4132.8 ,1426.8 ,13743.6 ,8303.9 ,2815.7 
323,NPC1,"Niemann-Pick disease, type C1",4864,3,461.5,1133.3 ,2070.1 ,2847.5 ,2000.8 ,8195.9 ,,688.7 ,3064.9 ,620.7 
324,C20orf194,"chromosome 20 open reading frame 194",25943,3,465.2,735.9 ,346.9 ,5579.9 ,2789.1 ,9385.0 ,1467.5 ,5962.9 ,2847.1 ,
325,MAT2B,"methionine adenosyltransferase II, beta",27430,3,465.7,1596.0 ,3151.4 ,5939.7 ,7130.1 ,6809.0 ,,4842.1 ,230.9 ,5183.6 
326,PLEKHA1,"pleckstrin homology domain containing, family A (phosphoinositide binding specific) member 1",59338,3,466.1,1521.6 ,1199.0 ,2692.4 ,14523.3 ,15956.9 ,3176.6 ,1270.7 ,6696.9 ,1960.7 
327,SEPT8,"septin 8",23176,2,466.1,3178.3 ,4096.1 ,1952.4 ,912.7 ,10492.7 ,6668.1 ,1248.5 ,4663.5 ,4703.5 
328,PAM,"peptidylglycine alpha-amidating monooxygenase",5066,3,467.2,464.4 ,77.9 ,,7526.8 ,13607.9 ,2591.3 ,8027.4 ,5144.8 ,
329,CD8A,"CD8a molecule",925,3,467.5,3217.2 ,6993.2 ,10984.4 ,19942.3 ,13424.1 ,12013.2 ,972.8 ,,
330,CYBRD1,"cytochrome b reductase 1",79901,3,470.3,390.9 ,282.5 ,2722.8 ,7165.4 ,15760.4 ,8232.9 ,2547.3 ,4824.9 ,
331,BTN3A2,"butyrophilin, subfamily 3, member A2",11118,3,472.5,206.2 ,3040.5 ,,,516.5 638.2 ,8711.4 ,4111.1 ,,
332,ANKRD12,"ankyrin repeat domain 12",23253,3,473.6,2129.2 ,1969.2 ,,5546.3 ,6455.3 ,931.2 ,68.9 ,4324.6 ,
333,PROS1,"protein S (alpha)",5627,3,473.8,991.2 ,818.7 ,3302.3 ,1217.0 ,2097.2 ,2687.3 ,6049.5 ,7676.2 ,
334,DENND4C,"DENN/MADD domain containing 4C",55667,3,474.1,869.3 ,2217.6 ,3369.3 ,3550.2 ,10506.8 ,375.9 ,,11012.3 ,160.5 
335,TNFRSF14,"tumor necrosis factor receptor superfamily, member 14",8764,3,474.5,2018.1 ,417.3 ,4599.3 ,9386.3 ,3138.7 ,9971.2 ,3196.7 ,,8078.5 1819.9 
336,FLT3LG,"fms-related tyrosine kinase 3 ligand",2323,3,474.7,3458.8 ,1979.1 ,14797.2 ,3813.8 ,10268.1 ,,451.7 ,,
