,Gene,Function,Entrez Gene ID,Supportability,Hsa MR for HNRNPA1,Hsa2 MR for HNRNPA1,Hsa3 MR for HNRNPA1,Mcc MR for HNRNPA1,Rno MR for Hnrnpa1
251,SKP1,"S-phase kinase-associated protein 1",6500,3,299.8,722.7 ,706.6 ,,2536.5 
252,RPLP1,"ribosomal protein, large, P1",6176,3,307.5,184.8 ,537.7 ,2576.3 ,747.9 
253,TBCA,"tubulin folding cofactor A",6902,3,309.7,17705.3 ,781.8 ,,2593.6 
254,SNHG3,"small nucleolar RNA host gene 3 (non-protein coding)",8420,3,310.2,,643.0 ,,
255,APEX1,"APEX nuclease (multifunctional DNA repair enzyme) 1",328,3,311.4,248.3 ,31.0 ,,679.9 
256,PPHLN1,"periphilin 1",51535,1,311.4,467.7 ,1399.8 ,2577.4 ,2212.3 
257,CHD2,"chromodomain helicase DNA binding protein 2",1106,3,312.8,559.2 ,5160.4 ,4667.5 ,132.6 
258,ILKAP,"integrin-linked kinase-associated serine/threonine phosphatase",80895,3,313.2,98.5 ,4417.0 ,1477.4 ,1250.4 
259,NGDN,"neuroguidin, EIF4E binding protein",25983,3,316.4,406.9 ,786.1 ,5670.9 ,667.1 
260,ATG14,"autophagy related 14",22863,3,317.5,2166.1 ,16665.9 ,,1995.8 
261,ANKRD10,"ankyrin repeat domain 10",55608,3,320.6,803.4 ,5095.4 ,664.4 ,206.9 
262,CCT2,"chaperonin containing TCP1, subunit 2 (beta)",10576,3,320.6,119.6 ,113.6 ,898.8 ,268.8 
263,HSPA9,"heat shock 70kDa protein 9 (mortalin)",3313,3,322.8,330.4 ,526.9 ,1753.5 ,652.7 
264,CCT4,"chaperonin containing TCP1, subunit 4 (delta)",10575,2,324.6,268.8 ,170.2 ,882.2 ,362.3 
265,SMEK1,"SMEK homolog 1, suppressor of mek1 (Dictyostelium)",55671,3,327.9,866.4 ,1218.7 ,,1415.0 
266,DCAF16,"DDB1 and CUL4 associated factor 16",54876,2,328.9,980.1 ,2225.7 ,9498.9 ,
267,YY1,"YY1 transcription factor",7528,2,330.4,8194.9 ,1253.6 ,,3497.0 
268,MAPKAPK5-AS1,"MAPKAPK5 antisense RNA 1",51275,3,330.6,24.3 ,2732.8 ,,
269,NUP54,"nucleoporin 54kDa",53371,3,332.2,338.5 ,416.7 ,1428.4 ,681.9 
270,NOLC1,"nucleolar and coiled-body phosphoprotein 1",9221,3,333.4,256.0 ,72.8 ,754.0 ,675.1 
271,ARGLU1,"arginine and glutamate rich 1",55082,3,333.7,316.3 ,785.6 ,1041.2 ,233.8 
272,ZNF326,"zinc finger protein 326",284695,3,338.0,359.1 ,153.9 ,1231.0 ,261.7 
273,XPO1,"exportin 1",7514,3,339.5,273.2 ,208.2 ,,356.7 
274,FOXJ3,"forkhead box J3",22887,3,339.5,5718.6 ,6162.2 ,2059.4 ,1598.6 
275,SRRM1,"serine/arginine repetitive matrix 1",10250,3,341.2,3371.9 ,117.5 ,,
276,ZBTB1,"zinc finger and BTB domain containing 1",22890,3,342.1,1858.0 ,3004.4 ,,1627.1 
277,C3orf17,"chromosome 3 open reading frame 17",25871,3,342.5,696.3 ,3807.6 ,4429.1 ,
278,CSDE1,"cold shock domain containing E1, RNA-binding",7812,3,342.9,240.2 ,559.7 ,,2996.8 
279,SLTM,"SAFB-like, transcription modulator",79811,3,345.9,286.0 ,307.8 ,222.9 ,
280,NOA1,"nitric oxide associated 1",84273,3,346.1,1970.3 ,2406.1 ,,944.6 
281,TSPYL1,"TSPY-like 1",7259,3,347.2,3948.6 ,10268.0 ,,3783.6 
282,NUDT21,"nudix (nucleoside diphosphate linked moiety X)-type motif 21",11051,3,347.4,172.9 ,139.5 ,25.5 ,79.0 
283,KDM3B,"lysine (K)-specific demethylase 3B",51780,2,349.0,1682.6 ,1148.2 ,776.0 ,1102.2 
284,RPL18,"ribosomal protein L18",6141,3,349.4,823.8 ,816.0 ,3131.9 ,483.4 
285,SLC25A36,"solute carrier family 25 (pyrimidine nucleotide carrier), member 36",55186,3,350.5,1058.0 ,907.1 ,11131.5 ,1128.2 
286,PSIP1,"PC4 and SFRS1 interacting protein 1",11168,3,351.2,247.2 ,145.4 ,6732.2 ,406.1 
287,OTUD3,"OTU deubiquitinase 3",23252,3,352.4,1073.8 ,6704.7 ,9954.1 ,12949.4 
288,RAN,"RAN, member RAS oncogene family",5901,3,354.1,42.2 ,99.0 ,517.4 ,371.8 
289,NR2C1,"nuclear receptor subfamily 2, group C, member 1",7181,3,354.7,1815.0 ,6609.8 ,,5410.1 
290,ATP5G2,"ATP synthase, H+ transporting, mitochondrial Fo complex, subunit C2 (subunit 9)",517,3,355.2,5430.4 ,1160.8 ,5300.7 ,3405.3 
291,SNHG5,"small nucleolar RNA host gene 5 (non-protein coding)",387066,3,355.3,,612.7 ,,
292,PPWD1,"peptidylprolyl isomerase domain and WD repeat containing 1",23398,3,356.8,396.7 ,989.9 ,2759.2 ,872.2 
293,SEC11A,"SEC11 homolog A (S. cerevisiae)",23478,3,357.7,245.1 ,703.3 ,1126.5 ,452.7 
294,ZRANB2,"zinc finger, RAN-binding domain containing 2",9406,3,357.8,323.6 ,276.0 ,250.3 ,
295,RPL36AL,"ribosomal protein L36a-like",6166,3,358.0,103.4 ,917.6 ,7112.5 ,
296,LUC7L3,"LUC7-like 3 (S. cerevisiae)",51747,3,359.5,98.4 ,396.0 ,850.3 ,21.9 
297,AKAP8,"A kinase (PRKA) anchor protein 8",10270,3,359.6,1707.1 ,3196.2 ,1317.1 ,52.5 
298,FAM98B,"family with sequence similarity 98, member B",283742,3,359.6,904.6 ,136.0 ,,499.8 
299,NUCKS1,"nuclear casein kinase and cyclin-dependent kinase substrate 1",64710,3,360.8,25.9 ,290.9 ,10533.5 ,20.5 
300,UBP1,"upstream binding protein 1 (LBP-1a)",7342,3,363.5,1906.3 ,362.7 ,438.9 ,1390.0 
301,NAE1,"NEDD8 activating enzyme E1 subunit 1",8883,3,363.6,604.5 ,310.5 ,,1461.0 
302,MORF4L2,"mortality factor 4 like 2",9643,3,365.9,525.7 ,1383.9 ,1437.8 ,105.0 
303,CCDC59,"coiled-coil domain containing 59",29080,3,369.7,383.8 ,1223.8 ,677.4 ,486.3 
304,KANSL3,"KAT8 regulatory NSL complex subunit 3",55683,2,370.5,7494.4 ,9935.4 ,4195.1 ,2419.7 
305,NAA16,"N(alpha)-acetyltransferase 16, NatA auxiliary subunit",79612,3,371.7,1071.0 ,7051.2 ,585.8 ,234.4 
306,WAC,"WW domain containing adaptor with coiled-coil",51322,3,372.1,2606.9 ,2107.7 ,,4899.8 
307,QSOX2,"quiescin Q6 sulfhydryl oxidase 2",169714,3,372.8,3943.6 ,3104.4 ,,4540.0 
308,SKIV2L2,"superkiller viralicidic activity 2-like 2 (S. cerevisiae)",23517,3,373.2,172.3 ,539.1 ,,1306.0 
309,PSMA3-AS1,"PSMA3 antisense RNA 1",379025,3,373.9,,4027.4 ,,
310,CAMLG,"calcium modulating ligand",819,3,375.2,868.6 ,6637.2 ,,1179.3 
311,IMPDH2,"IMP (inosine 5'-monophosphate) dehydrogenase 2",3615,3,375.4,204.7 ,152.6 ,3305.6 ,199.6 
312,TIAL1,"TIA1 cytotoxic granule-associated RNA binding protein-like 1",7073,2,375.6,278.5 ,656.8 ,,195.4 
313,LANCL1,"LanC lantibiotic synthetase component C-like 1 (bacterial)",10314,3,377.6,2734.1 ,2101.1 ,1993.3 ,4058.3 
314,SARAF,"store-operated calcium entry-associated regulatory factor",51669,3,377.6,1874.5 ,2604.6 ,1579.0 ,3474.1 
315,SEH1L,"SEH1-like (S. cerevisiae)",81929,3,379.7,472.0 ,892.2 ,61.1 ,
316,CTCF,"CCCTC-binding factor (zinc finger protein)",10664,3,386.5,1046.6 ,287.8 ,,966.9 
317,PAXBP1,"PAX3 and PAX7 binding protein 1",94104,3,386.8,503.3 ,914.1 ,384.1 ,9.8 
318,SREK1,"splicing regulatory glutamine/lysine-rich protein 1",140890,3,387.1,205.7 ,1845.6 ,2265.1 ,141.0 
319,CFAP97,"cilia and flagella associated protein 97",57587,3,389.4,1483.4 ,2391.9 ,1645.8 ,
320,SRSF11,"serine/arginine-rich splicing factor 11",9295,3,390.5,593.7 ,461.1 ,5127.8 ,8.9 
321,H2AFV,"H2A histone family, member V",94239,3,390.7,558.0 ,173.8 ,,
322,BTAF1,"BTAF1 RNA polymerase II, B-TFIID transcription factor-associated, 170kDa",9044,3,391.6,716.1 ,2616.0 ,1470.2 ,2352.2 
323,ADAT2,"adenosine deaminase, tRNA-specific 2",134637,3,392.8,497.4 ,1707.5 ,3804.3 ,
324,ST13,"suppression of tumorigenicity 13 (colon carcinoma) (Hsp70 interacting protein)",6767,3,394.1,327.9 ,217.2 ,8439.4 ,919.4 
325,TRMT5,"tRNA methyltransferase 5",57570,3,395.6,1365.5 ,1134.1 ,5142.0 ,5250.1 
326,KDM2B,"lysine (K)-specific demethylase 2B",84678,3,396.3,2312.2 ,646.0 ,2466.9 ,1039.1 
327,ZNF207,"zinc finger protein 207",7756,2,396.7,898.8 ,113.3 ,,1202.9 
328,SAFB2,"scaffold attachment factor B2",9667,3,400.2,582.0 ,1578.7 ,,2008.2 
329,NDUFA5,"NADH dehydrogenase (ubiquinone) 1 alpha subcomplex, 5",4698,3,401.4,576.3 ,2274.1 ,,2137.4 
330,ZNF266,"zinc finger protein 266",10781,3,402.7,2165.9 ,3412.5 ,,1349.5 
331,DNM1L,"dynamin 1-like",10059,3,403.0,1182.6 ,2950.1 ,,3853.0 
332,CCNL2,"cyclin L2",81669,3,403.4,971.9 ,5276.3 ,2470.7 ,29.2 
333,C11orf58,"chromosome 11 open reading frame 58",10944,3,403.7,93.7 ,627.2 ,422.7 ,40.5 
334,RNPS1,"RNA binding protein S1, serine-rich domain",10921,3,404.2,2402.6 ,306.4 ,1370.9 ,949.9 
335,BTBD1,"BTB (POZ) domain containing 1",53339,3,411.3,2610.9 ,3303.0 ,3646.6 ,2461.3 
336,DDX50,"DEAD (Asp-Glu-Ala-Asp) box polypeptide 50",79009,2,415.8,186.8 ,900.9 ,2793.0 ,1083.3 
337,EIF3D,"eukaryotic translation initiation factor 3, subunit D",8664,3,417.6,420.2 ,331.1 ,5046.9 ,302.0 
338,RBM27,"RNA binding motif protein 27",54439,3,418.5,1816.6 ,1251.0 ,108.8 ,2487.6 
339,SNRNP200,"small nuclear ribonucleoprotein 200kDa (U5)",23020,3,419.7,900.1 ,107.7 ,517.8 ,1142.9 
340,PARK7,"parkinson protein 7",11315,3,419.8,830.3 ,717.3 ,,1804.2 
341,DCUN1D2,"DCN1, defective in cullin neddylation 1, domain containing 2",55208,3,419.9,2813.4 ,18210.4 ,,
342,PFDN5,"prefoldin subunit 5",5204,3,421.1,430.5 ,2413.5 ,2676.9 ,1360.5 
343,SUGP2,"SURP and G patch domain containing 2",10147,3,421.6,2539.5 ,6887.3 ,,2230.5 
344,DENR,"density-regulated protein",8562,3,423.1,161.9 ,907.6 ,,
345,FLJ44342,"uncharacterized LOC645460",645460,3,424.0,,10391.8 ,,
346,NELFA,"negative elongation factor complex member A",7469,1,424.4,14743.8 ,3233.5 ,,1336.2 
347,GNL3,"guanine nucleotide binding protein-like 3 (nucleolar)",26354,3,425.1,160.5 ,446.1 ,902.4 ,166.0 
348,PARP6,"poly (ADP-ribose) polymerase family, member 6",56965,3,426.7,3275.3 ,8141.5 ,7916.5 ,9876.4 
349,ELP2,"elongator acetyltransferase complex subunit 2",55250,1,427.3,506.1 ,1126.9 ,,685.0 
350,RPL7L1,"ribosomal protein L7-like 1",285855,3,428.7,1909.0 ,2387.8 ,3763.2 ,1744.7 
351,ESD,"esterase D",2098,3,429.8,384.0 ,1132.8 ,3221.0 ,3996.1 
352,NKTR,"natural killer cell triggering receptor",4820,3,433.2,506.3 ,4369.2 ,,
353,NUP107,"nucleoporin 107kDa",57122,3,433.4,187.6 ,323.7 ,,270.1 
354,USP7,"ubiquitin specific peptidase 7 (herpes virus-associated)",7874,3,433.6,562.3 ,883.8 ,,2969.4 
355,SRSF1,"serine/arginine-rich splicing factor 1",6426,3,434.7,53.4 ,102.4 ,,286.4 
356,RPL35,"ribosomal protein L35",11224,3,436.4,348.1 ,1015.0 ,,722.9 
357,PRPF4B,"pre-mRNA processing factor 4B",8899,3,437.3,376.3 ,507.1 ,,752.2 
358,MTPAP,"mitochondrial poly(A) polymerase",55149,3,437.7,791.2 ,11828.6 ,6001.9 ,4004.3 
359,FAM24B,"family with sequence similarity 24, member B",196792,3,438.1,217.3 ,4865.8 ,,
360,643287,"&nbsp;",643287,0,439.6,,,,
361,RPS5,"ribosomal protein S5",6193,3,442.3,1308.9 ,569.0 ,2911.5 ,612.8 
362,EEF1D,"eukaryotic translation elongation factor 1 delta (guanine nucleotide exchange protein)",1936,3,444.4,1344.9 ,3112.9 ,4507.4 ,194.4 
363,PRRC2C,"proline-rich coiled-coil 2C",23215,3,445.4,2350.3 ,744.0 ,64.6 ,2180.7 
364,7574,"&nbsp;",7574,0,446.5,1190.1 ,2438.2 ,2621.8 ,
365,729926,"&nbsp;",729926,0,446.8,,,,
366,FAM118A,"family with sequence similarity 118, member A",55007,3,449.0,4988.4 ,11086.7 ,,713.7 
367,ILF3,"interleukin enhancer binding factor 3, 90kDa",3609,3,449.3,133.1 ,56.3 ,1189.4 ,553.4 
368,PRKRIR,"protein-kinase, interferon-inducible double stranded RNA dependent inhibitor, repressor of (P58 repressor)",5612,3,449.4,552.2 ,965.3 ,761.3 ,1288.0 
369,LIN7C,"lin-7 homolog C (C. elegans)",55327,3,450.2,2523.0 ,8873.8 ,,3852.3 
370,KIAA0141,"KIAA0141",9812,3,452.1,9490.2 ,9073.5 ,305.3 ,3975.4 
371,HSPA8,"heat shock 70kDa protein 8",3312,3,453.1,765.5 ,627.9 ,1720.4 ,4373.7 
372,LRPPRC,"leucine-rich pentatricopeptide repeat containing",10128,3,454.0,156.0 ,447.6 ,1853.8 ,4151.2 
373,NET1,"neuroepithelial cell transforming 1",10276,3,454.1,1654.6 ,79.1 ,131.0 ,2986.2 
374,LTA4H,"leukotriene A4 hydrolase",4048,3,457.0,645.6 ,1114.5 ,7099.1 ,672.6 
375,ZNF330,"zinc finger protein 330",27309,3,460.8,507.8 ,1728.2 ,9050.2 ,95.6 
376,CNBP,"CCHC-type zinc finger, nucleic acid binding protein",7555,3,463.3,100.2 ,322.1 ,315.9 ,433.2 
377,TMA7,"translation machinery associated 7 homolog (S. cerevisiae)",51372,3,463.5,1266.7 ,1242.0 ,523.5 ,
378,CDK11A,"cyclin-dependent kinase 11A",728642,3,463.5,3451.6 ,4931.0 ,,11931.7 
379,SEPT2,"septin 2",4735,3,465.2,895.6 ,327.1 ,737.7 ,1881.7 
380,PABPC4,"poly(A) binding protein, cytoplasmic 4 (inducible form)",8761,3,465.9,474.0 ,1655.2 ,4580.3 ,907.4 
381,HSF2,"heat shock transcription factor 2",3298,3,467.1,1151.2 ,2459.1 ,3668.6 ,686.0 
382,ADNP,"activity-dependent neuroprotector homeobox",23394,3,469.7,816.2 ,493.6 ,78.2 ,1957.1 
383,ZNF740,"zinc finger protein 740",283337,2,471.2,1193.4 ,688.7 ,6497.6 ,13023.1 
384,PPA1,"pyrophosphatase (inorganic) 1",5464,3,472.5,817.8 ,717.2 ,,4252.1 
385,RBM15,"RNA binding motif protein 15",64783,3,474.1,1041.5 ,6127.1 ,,675.2 
386,LUC7L2,"LUC7-like 2 (S. cerevisiae)",51631,3,476.1,384.3 ,370.8 ,141.7 ,103.5 
387,HLA-F-AS1,"HLA-F antisense RNA 1",285830,0,477.2,,17454.0 ,,
388,RBM5,"RNA binding motif protein 5",10181,3,478.6,1035.6 ,2073.9 ,736.2 ,66.9 
389,DNAJC2,"DnaJ (Hsp40) homolog, subfamily C, member 2",27000,3,479.3,232.1 ,573.2 ,,1204.0 
390,METAP1,"methionyl aminopeptidase 1",23173,3,479.5,684.4 ,459.6 ,7600.8 ,1193.0 
391,RPS9,"ribosomal protein S9",6203,3,481.5,13723.0 ,706.4 ,332.8 ,259.9 
392,HSPD1,"heat shock 60kDa protein 1 (chaperonin)",3329,3,481.5,77.5 ,64.9 ,,768.9 
393,HAUS3,"HAUS augmin-like complex, subunit 3",79441,3,482.3,628.6 ,8622.6 ,,
394,SLC25A5,"solute carrier family 25 (mitochondrial carrier; adenine nucleotide translocator), member 5",292,3,483.1,3925.6 ,197.8 ,3093.6 ,2894.1 
395,DDX6,"DEAD (Asp-Glu-Ala-Asp) box helicase 6",1656,2,488.3,731.9 ,2383.8 ,,3362.6 
396,CCT6A,"chaperonin containing TCP1, subunit 6A (zeta 1)",908,3,488.6,82.0 ,229.3 ,584.9 ,3551.1 
397,ACP1,"acid phosphatase 1, soluble",52,3,489.2,639.0 ,326.7 ,,
398,KDM3A,"lysine (K)-specific demethylase 3A",55818,3,489.8,1484.2 ,3211.1 ,3935.4 ,787.8 
399,TARBP1,"TAR (HIV-1) RNA binding protein 1",6894,3,490.0,825.6 ,2262.9 ,5850.8 ,
400,IK,"IK cytokine, down-regulator of HLA II",3550,3,490.4,319.3 ,351.9 ,9388.1 ,
401,PAIP2,"poly(A) binding protein interacting protein 2",51247,3,492.3,1319.0 ,657.8 ,941.9 ,1259.5 
402,GAR1,"GAR1 ribonucleoprotein",54433,3,492.9,498.2 ,96.8 ,200.4 ,
403,HNRNPU-AS1,"HNRNPU antisense RNA 1",284702,3,493.2,,3201.5 ,,
404,SUMO1,"small ubiquitin-like modifier 1",7341,3,497.4,452.5 ,686.5 ,,1493.1 
405,CDV3,"CDV3 homolog (mouse)",55573,3,497.4,975.5 ,2075.8 ,2272.3 ,5189.2 
406,MRPL3,"mitochondrial ribosomal protein L3",11222,3,497.7,175.8 ,465.0 ,,3329.7 
407,YLPM1,"YLP motif containing 1",56252,3,498.1,1241.9 ,1088.5 ,2233.6 ,4456.4 
408,TMEM123,"transmembrane protein 123",114908,3,498.8,1623.7 ,1527.0 ,,5635.6 
409,GDI2,"GDP dissociation inhibitor 2",2665,3,501.9,236.8 ,663.5 ,2442.2 ,1939.5 
410,NAA25,"N(alpha)-acetyltransferase 25, NatB auxiliary subunit",80018,3,502.2,737.0 ,1580.0 ,5237.1 ,4152.7 
411,PIGY,"phosphatidylinositol glycan anchor biosynthesis, class Y",84992,3,503.1,1768.4 ,2701.7 ,,
412,COX7A2L,"cytochrome c oxidase subunit VIIa polypeptide 2 like",9167,3,503.5,2511.6 ,2450.9 ,,1621.7 
413,IPO5,"importin 5",3843,3,504.0,217.9 ,219.4 ,1197.7 ,2036.3 
414,CLNS1A,"chloride channel, nucleotide-sensitive, 1A",1207,3,505.2,913.9 ,301.7 ,2920.4 ,1700.9 
415,ZNF146,"zinc finger protein 146",7705,3,509.1,341.4 ,465.3 ,1771.5 ,
416,DIMT1,"DIM1 dimethyladenosine transferase 1 homolog (S. cerevisiae)",27292,3,510.4,982.6 ,730.1 ,4038.3 ,576.4 
417,USP1,"ubiquitin specific peptidase 1",7398,3,511.8,392.0 ,439.8 ,658.7 ,792.5 
418,STRAP,"serine/threonine kinase receptor associated protein",11171,3,512.1,479.7 ,549.2 ,,998.3 
419,CAND1,"cullin-associated and neddylation-dissociated 1",55832,3,515.6,286.0 ,1168.8 ,,1073.1 
420,ATP5F1,"ATP synthase, H+ transporting, mitochondrial Fo complex, subunit B1",515,3,516.2,1821.2 ,887.0 ,834.7 ,2379.1 
421,SIN3A,"SIN3 transcription regulator family member A",25942,3,518.3,2845.6 ,470.4 ,2937.7 ,2724.2 
422,SNX5,"sorting nexin 5",27131,3,519.2,188.8 ,152.3 ,,
423,KIAA0907,"KIAA0907",22889,3,519.4,1094.4 ,2053.1 ,192.4 ,49.0 
424,DDX1,"DEAD (Asp-Glu-Ala-Asp) box helicase 1",1653,3,519.4,222.0 ,259.9 ,,586.5 
425,SCAF8,"SR-related CTD-associated factor 8",22828,3,519.8,3940.1 ,3105.1 ,,1326.8 
426,CLK4,"CDC-like kinase 4",57396,3,521.0,709.6 ,3410.1 ,1694.4 ,
427,PTPN11,"protein tyrosine phosphatase, non-receptor type 11",5781,3,524.9,1023.5 ,1551.5 ,861.5 ,1542.1 
428,RWDD4,"RWD domain containing 4",201965,3,524.9,1830.8 ,2913.4 ,2113.7 ,4029.3 
429,PCBP2,"poly(rC) binding protein 2",5094,1,527.4,232.4 ,47.5 ,,1285.9 
430,ZSCAN25,"zinc finger and SCAN domain containing 25",221785,2,528.1,3458.7 ,5134.4 ,4226.4 ,
431,TOMM70A,"translocase of outer mitochondrial membrane 70 homolog A (S. cerevisiae)",9868,3,528.8,622.7 ,2534.0 ,8335.3 ,1708.5 
432,92379,"&nbsp;",92379,0,528.9,,,,
433,RPL36,"ribosomal protein L36",25873,3,529.1,11513.3 ,1526.7 ,,
434,DYRK1A,"dual-specificity tyrosine-(Y)-phosphorylation regulated kinase 1A",1859,3,530.5,3878.5 ,6430.6 ,330.1 ,4125.9 
435,FAM60A,"family with sequence similarity 60, member A",58516,2,530.6,3636.9 ,28.3 ,,130.9 
436,CHD1,"chromodomain helicase DNA binding protein 1",1105,3,532.9,402.6 ,1854.8 ,587.4 ,1956.0 
437,LOC644656,"uncharacterized LOC644656",644656,3,535.3,,2587.4 ,,
438,BMS1,"BMS1 ribosome biogenesis factor",9790,3,536.5,270.6 ,862.2 ,4949.0 ,719.1 
439,ATP5L,"ATP synthase, H+ transporting, mitochondrial Fo complex, subunit G",10632,3,538.1,465.6 ,1296.5 ,5321.0 ,3429.4 
440,ATXN10,"ataxin 10",25814,3,541.3,1892.9 ,683.9 ,,846.4 
441,GOLGA8A,"golgin A8 family, member A",23015,3,543.2,,3995.2 ,,
442,AKAP17A,"A kinase (PRKA) anchor protein 17A",8227,3,543.5,,5196.1 ,503.2 ,
443,GRSF1,"G-rich RNA sequence binding factor 1",2926,3,544.1,311.7 ,2025.5 ,955.6 ,9167.7 
444,ENOPH1,"enolase-phosphatase 1",58478,3,545.5,409.3 ,1423.4 ,4062.4 ,1260.9 
445,PNISR,"PNN-interacting serine/arginine-rich protein",25957,3,546.2,330.9 ,816.3 ,722.8 ,29.4 
446,TGIF2,"TGFB-induced factor homeobox 2",60436,3,548.6,1374.8 ,193.1 ,,844.1 
447,BMI1,"BMI1 proto-oncogene, polycomb ring finger",648,3,549.4,2298.7 ,3777.0 ,,
448,RNF138,"ring finger protein 138, E3 ubiquitin protein ligase",51444,3,550.1,530.6 ,197.9 ,,617.0 
449,NXF1,"nuclear RNA export factor 1",10482,3,550.5,1194.9 ,3746.8 ,2991.9 ,36.4 
450,IER3IP1,"immediate early response 3 interacting protein 1",51124,3,551.3,1440.5 ,2778.0 ,,
451,ZNF664,"zinc finger protein 664",144348,0,552.2,2025.0 ,1131.7 ,8728.9 ,
452,UBQLN1,"ubiquilin 1",29979,3,558.5,3023.4 ,2122.4 ,,2769.8 
453,RBM22,"RNA binding motif protein 22",55696,3,558.6,2581.1 ,414.3 ,2295.0 ,970.2 
454,EWSR1,"EWS RNA-binding protein 1",2130,3,558.6,55.5 ,111.1 ,,
455,SNRPA1,"small nuclear ribonucleoprotein polypeptide A'",6627,2,562.7,138.6 ,104.9 ,,
456,GPBP1,"GC-rich promoter binding protein 1",65056,3,563.7,625.3 ,1586.2 ,149.9 ,3057.5 
457,TCP1,"t-complex 1",6950,3,565.2,318.4 ,225.1 ,1845.2 ,1103.9 
458,RDH14,"retinol dehydrogenase 14 (all-trans/9-cis/11-cis)",57665,3,566.7,4137.9 ,5224.3 ,857.6 ,1242.5 
459,CSNK2A2,"casein kinase 2, alpha prime polypeptide",1459,2,566.7,3412.3 ,1718.8 ,8756.0 ,3450.8 
460,FXR1,"fragile X mental retardation, autosomal homolog 1",8087,3,566.7,195.2 ,652.0 ,,1220.9 
461,TRA2A,"transformer 2 alpha homolog (Drosophila)",29896,2,567.1,297.4 ,105.3 ,161.0 ,23.7 
462,CDK3,"cyclin-dependent kinase 3",1018,3,567.5,10883.0 ,4602.2 ,12807.2 ,
463,BRAP,"BRCA1 associated protein",8315,3,569.9,2009.1 ,3986.3 ,412.4 ,7795.5 
464,PSMA1,"proteasome (prosome, macropain) subunit, alpha type, 1",5682,3,570.0,836.5 ,824.2 ,2595.1 ,1330.1 
465,SLC12A2,"solute carrier family 12 (sodium/potassium/chloride transporter), member 2",6558,3,572.2,2436.2 ,7796.9 ,,4350.9 
466,GID8,"GID complex subunit 8",54994,3,572.9,1860.2 ,360.1 ,1676.0 ,4233.9 
467,VMA21,"VMA21 vacuolar H+-ATPase homolog (S. cerevisiae)",203547,2,575.6,2554.1 ,3267.8 ,,
468,RPS17P5,"ribosomal protein S17 pseudogene 5",442216,0,576.2,,,,
469,FAU,"Finkel-Biskis-Reilly murine sarcoma virus (FBR-MuSV) ubiquitously expressed",2197,3,576.3,2501.1 ,1380.5 ,8032.9 ,
470,IKBKAP,"inhibitor of kappa light polypeptide gene enhancer in B-cells, kinase complex-associated protein",8518,3,576.4,1526.5 ,2084.8 ,2333.1 ,1812.1 
471,NARS,"asparaginyl-tRNA synthetase",4677,3,577.2,489.7 ,1230.6 ,,1701.6 
472,FAM35A,"family with sequence similarity 35, member A",54537,3,578.8,1493.2 ,1080.7 ,4597.7 ,1748.2 
473,SRSF9,"serine/arginine-rich splicing factor 9",8683,3,579.0,250.8 ,446.6 ,,1520.2 
474,MRPL9,"mitochondrial ribosomal protein L9",65005,3,579.8,1361.2 ,1081.7 ,2336.9 ,1676.4 
475,TSPYL4,"TSPY-like 4",23270,3,581.2,14073.2 ,5183.5 ,,8042.5 
476,UQCRC2,"ubiquinol-cytochrome c reductase core protein II",7385,3,581.7,1177.9 ,1083.8 ,3707.8 ,2802.5 
477,QTRT1,"queuine tRNA-ribosyltransferase 1",81890,3,583.7,3043.5 ,4785.0 ,,1207.0 
478,HMGN4,"high mobility group nucleosomal binding domain 4",10473,3,583.8,2201.3 ,929.3 ,2376.6 ,
479,UPF3A,"UPF3 regulator of nonsense transcripts homolog A (yeast)",65110,2,584.0,4843.2 ,453.4 ,3531.6 ,2213.3 
480,PRKRIP1,"PRKR interacting protein 1 (IL11 inducible)",79706,3,586.5,3243.2 ,4663.7 ,,644.7 
481,ANP32E,"acidic (leucine-rich) nuclear phosphoprotein 32 family, member E",81611,3,589.6,81.7 ,116.7 ,49.2 ,
482,GUSBP4,"glucuronidase, beta pseudogene 4",375513,2,591.1,3323.4 ,8439.8 ,,
483,UBE2E1,"ubiquitin-conjugating enzyme E2E 1",7324,3,591.3,2568.0 ,694.8 ,,
484,UBA52,"ubiquitin A-52 residue ribosomal protein fusion product 1",7311,3,592.0,814.2 ,1684.3 ,,
485,R3HDM2,"R3H domain containing 2",22864,3,594.4,6984.1 ,15203.2 ,5830.6 ,1176.5 
486,IARS,"isoleucyl-tRNA synthetase",3376,3,594.9,528.0 ,919.8 ,,1843.3 
487,RPL8,"ribosomal protein L8",6132,3,595.6,1774.5 ,679.4 ,2595.7 ,
488,H2AFZ,"H2A histone family, member Z",3015,3,595.7,446.6 ,293.3 ,46.7 ,207.2 
489,ZNHIT6,"zinc finger, HIT-type containing 6",54680,3,595.8,530.8 ,1058.5 ,,696.9 
490,SNW1,"SNW domain containing 1",22938,3,596.9,313.9 ,339.5 ,1893.1 ,
491,WDR59,"WD repeat domain 59",79726,3,597.2,3785.8 ,1139.3 ,9463.1 ,
492,VCPKMT,"valosin containing protein lysine (K) methyltransferase",79609,3,598.8,562.3 ,7002.6 ,,
493,POLR1C,"polymerase (RNA) I polypeptide C, 30kDa",9533,3,599.3,664.0 ,1586.8 ,,812.0 
494,ZC3H11A,"zinc finger CCCH-type containing 11A",9877,3,600.1,1800.8 ,1613.5 ,2269.8 ,144.1 
