,Gene,Function,Entrez Gene ID,Supportability,Hsa MR for TBK1,Hsa2 MR for TBK1,Hsa3 MR for TBK1,Mcc MR for TBK1,Mmu MR for Tbk1,Mmu2 MR for Tbk1,Rno MR for Tbk1,Cfa MR for TBK1,Gga MR for TBK1,Dre MR for tbk1,Dme MR for ik2,Dme2 MR for ik2
164,MAPKAPK5-AS1,"MAPKAPK5 antisense RNA 1",51275,3,297.5,3190.1 ,4488.7 ,,,,,,,,,
165,CHMP2B,"charged multivesicular body protein 2B",25978,3,298.2,57.9 ,50.1 ,259.1 ,226.4 ,2523.8 ,90.1 ,1171.0 ,11346.9 ,3513.1 ,2508.3 ,6081.4 
166,RAB1A,"RAB1A, member RAS oncogene family",5861,3,301.2,219.1 ,609.8 ,648.5 ,429.8 ,3090.1 ,315.5 ,,2395.5 ,4446.9 ,6671.9 ,6066.7 
167,PRR22,"proline rich 22",163154,1,305.5,19750.5 ,17821.8 ,13811.2 ,,18453.0 ,,,,,,
168,R3HDML,"R3H domain containing-like",140902,0,307.6,18776.9 ,,15592.5 ,,11444.1 ,,15883.4 ,,,,
169,DIP2B,"DIP2 disco-interacting protein 2 homolog B (Drosophila)",57609,3,308.1,1483.0 ,2536.7 ,646.8 ,3035.3 ,4324.1 ,,930.8 ,518.8 ,4251.4 ,,
170,PIANP,"PILR alpha associated neural protein",196500,1,308.8,19124.7 ,19005.9 ,14919.6 ,17531.1 ,7741.6 ,13161.8 ,,12526.8 ,,,
171,BARHL1,"BarH-like homeobox 1",56751,1,311.2,19619.9 ,,,17895.6 ,7846.5 ,13442.7 ,15431.7 ,,,,
172,OBSL1,"obscurin-like 1",23363,1,313.0,18097.7 ,19147.0 ,9349.4 ,16390.8 ,16178.7 ,11519.3 ,,11268.9 ,,,
173,KLHL30-AS1,"KLHL30 antisense RNA 1",394261,1,313.6,18686.4 ,,,,,,,,,,
174,KIF5B,"kinesin family member 5B",3799,3,314.3,140.3 ,125.0 ,1167.5 ,261.3 ,1022.1 ,2400.2 ,,211.8 ,,2586.3 ,1854.1 
175,WNK2,"WNK lysine deficient protein kinase 2",65268,1,315.2,19318.8 ,18480.2 ,12887.4 ,14534.0 ,6652.6 ,12115.8 ,13781.7 ,12610.9 ,,,
176,GTF2B,"general transcription factor IIB",2959,3,317.7,113.5 ,392.9 ,887.0 ,288.3 ,568.1 ,820.5 ,151.5 ,3548.0 ,6251.3 ,2158.0 ,2278.9 
177,LOC100128653,"uncharacterized LOC100128653",100128653,0,318.9,18726.7 ,12513.7 ,,,,,,,,,
178,NUDT14,"nudix (nucleoside diphosphate linked moiety X)-type motif 14",256281,1,319.2,17706.8 ,19516.5 ,8455.3 ,11941.2 ,14840.5 ,11746.8 ,14685.6 ,3779.6 ,,7141.9 ,9633.7 
179,WAC,"WW domain containing adaptor with coiled-coil",51322,3,321.9,450.3 ,1600.0 ,,2940.2 ,3709.5 ,3168.6 ,,4843.2 ,7382.4 ,,
180,RICTOR,"RPTOR independent companion of MTOR, complex 2",253260,3,322.1,399.2 ,722.1 ,379.5 ,1072.7 ,1018.5 ,8374.3 ,1042.0 ,595.2 ,,1462.1 ,1879.1 
181,SLC8A3,"solute carrier family 8 (sodium/calcium exchanger), member 3",6547,0,323.8,16406.1 ,11659.4 ,13083.1 ,17226.8 ,6595.9 ,13246.1 ,13614.3 ,12979.3 ,,7242.9 ,10741.0 
182,CUL3,"cullin 3",8452,3,326.6,78.5 ,108.5 ,746.2 ,691.8 ,2200.0 ,265.2 ,176.5 ,1057.4 ,,6598.1 ,6768.8 
183,BLOC1S2,"biogenesis of lysosomal organelles complex-1, subunit 2",282991,3,326.9,172.4 ,850.8 ,2185.0 ,,15669.7 ,1763.7 ,3263.6 ,4198.4 ,,,
184,DGKQ,"diacylglycerol kinase, theta 110kDa",1609,1,327.2,19453.3 ,16538.3 ,,8688.5 ,4573.7 ,,13088.0 ,9263.1 ,,4622.0 ,10604.9 
185,BMP1,"bone morphogenetic protein 1",649,3,327.6,14855.8 ,17596.1 ,12575.6 ,12100.2 ,8519.0 ,11143.0 ,,,,,
186,ZBTB7A,"zinc finger and BTB domain containing 7A",51341,1,328.8,16622.0 ,10906.8 ,8681.9 ,7464.6 ,7297.2 ,4260.3 ,9059.0 ,12160.3 ,,,
187,100128003,"&nbsp;",100128003,1,330.1,19320.7 ,,,,,,,,,,
188,CACNG5,"calcium channel, voltage-dependent, gamma subunit 5",27091,1,330.8,18944.7 ,,,16930.4 ,13639.8 ,12464.8 ,13390.6 ,12824.0 ,,,
189,NLGN2,"neuroligin 2",57555,1,330.9,18482.9 ,18898.0 ,,15996.1 ,12768.9 ,9839.0 ,15725.9 ,,,10163.8 ,11733.4 
190,TSGA10IP,"testis specific, 10 interacting protein",254187,1,331.1,19359.2 ,,15209.5 ,,15638.0 ,,16028.7 ,,,,
191,IMPA1,"inositol(myo)-1(or 4)-monophosphatase 1",3612,3,331.6,237.2 ,362.8 ,123.2 ,806.8 ,2211.2 ,1039.6 ,769.8 ,2036.5 ,1579.0 ,4979.0 ,8734.3 
192,ZNF143,"zinc finger protein 143",7702,3,331.6,49.8 ,732.4 ,7250.4 ,899.5 ,2893.6 ,91.0 ,246.6 ,96.7 ,5902.4 ,,
193,PIKFYVE,"phosphoinositide kinase, FYVE finger containing",200576,3,334.2,870.0 ,4597.4 ,13789.2 ,602.0 ,812.0 ,9024.4 ,4540.2 ,2067.6 ,318.8 ,2004.7 ,7817.3 7828.4 
194,CSNK1G2-AS1,"CSNK1G2 antisense RNA 1",255193,1,334.8,19246.9 ,,,,,,,,,,
195,ROR2,"receptor tyrosine kinase-like orphan receptor 2",4920,0,334.9,15700.7 ,16412.2 ,7532.7 ,14835.7 ,18850.5 ,,15787.6 ,9755.2 ,8562.5 ,,
196,PLLP,"plasmolipin",51090,1,335.5,17810.1 ,14785.7 ,,18308.0 ,10337.2 ,11847.8 ,,12899.8 ,,,
197,ZNF451,"zinc finger protein 451",26036,3,335.6,312.9 ,3276.7 ,6943.5 ,701.4 ,5404.1 ,327.8 ,236.3 ,317.1 ,2470.6 ,,
198,RSPH6A,"radial spoke head 6 homolog A (Chlamydomonas)",81492,1,335.8,19205.3 ,,15140.6 ,20144.3 ,18213.1 ,13404.8 ,14540.4 ,,,,
199,MLN,"motilin",4295,1,337.2,19194.8 ,,14674.9 ,,,,14145.5 ,,,,
200,C19orf45,"chromosome 19 open reading frame 45",374877,1,337.4,19355.0 ,,,18846.8 ,,,,,,,
201,RNF31,"ring finger protein 31",55072,2,338.2,13346.2 ,16961.5 ,5349.0 ,4839.9 ,8216.5 ,3170.0 ,5583.2 ,,,,
202,MYO7B,"myosin VIIB",4648,0,339.0,17728.5 ,15877.0 ,13330.3 ,19571.5 ,13933.5 ,9037.2 ,15475.2 ,7885.5 ,,,
203,UBXN4,"UBX domain protein 4",23190,3,339.0,94.4 ,130.3 ,801.9 ,1015.1 ,2974.0 ,1464.9 ,4324.2 ,1312.8 ,709.4 ,9806.0 ,9588.4 
204,KIN,"Kin17 DNA and RNA binding protein",22944,3,340.8,99.7 ,12858.7 ,1095.1 ,295.6 ,1995.1 ,124.4 ,335.8 ,1201.6 ,,1470.9 ,3062.2 
205,P2RX6,"purinergic receptor P2X, ligand-gated ion channel, 6",9127,1,341.5,18158.4 ,16046.3 ,13766.6 ,19334.0 ,10067.8 ,12964.2 ,15822.5 ,,,,
206,SLC6A6,"solute carrier family 6 (neurotransmitter transporter), member 6",6533,1,342.3,2677.7 ,1928.4 ,9746.7 ,5417.1 ,10457.7 ,7284.9 ,2555.5 ,7094.1 ,,,
207,GBX1,"gastrulation brain homeobox 1",2636,1,343.2,17927.1 ,,14031.5 ,,,,,11813.4 ,5061.7 ,,
208,POM121L12,"POM121 transmembrane nucleoporin-like 12",285877,1,345.7,19453.6 ,,15107.8 ,,,,,,,,
209,650392,"&nbsp;",650392,0,347.0,,,,,,,,,,,
210,HOXB1,"homeobox B1",3211,1,348.4,19494.5 ,,15520.5 ,12696.1 ,15697.2 ,,15997.8 ,11172.5 ,6426.0 ,,
211,PIK3R3,"phosphoinositide-3-kinase, regulatory subunit 3 (gamma)",8503,3,350.5,1417.8 ,3292.8 ,6429.1 ,4623.2 ,7949.2 ,12479.5 ,,3859.4 ,6974.7 ,,
212,EAF1,"ELL associated factor 1",85403,3,352.6,1539.8 ,1811.6 ,,173.0 ,4332.8 ,1101.7 ,9498.2 ,1068.1 ,5312.4 ,,
213,MYOZ3,"myozenin 3",91977,0,352.8,18650.8 ,19409.9 ,13564.9 ,19914.1 ,13167.8 ,,14176.3 ,9170.6 ,,,
214,145758,"&nbsp;",145758,0,354.2,,,,,,,,,,,
215,PRDM4,"PR domain containing 4",11108,3,354.4,1128.7 ,3913.5 ,1593.0 ,2983.5 ,6191.9 ,5090.9 ,151.9 ,5565.9 ,,,
216,LOC730139,"uncharacterized LOC730139",730139,0,354.8,,,,,,,,,,,
217,PPTC7,"PTC7 protein phosphatase homolog (S. cerevisiae)",160760,3,355.4,859.5 ,2234.8 ,392.7 ,2845.5 ,6647.1 ,1360.5 ,,3659.2 ,,11574.9 ,7942.9 
218,CD300LG,"CD300 molecule-like family member g",146894,1,357.1,19188.5 ,17448.9 ,,17943.2 ,17532.6 ,,15804.0 ,,,,
219,FBXL18,"F-box and leucine-rich repeat protein 18",80028,0,358.7,18841.3 ,19246.5 ,11937.8 ,17730.7 ,2531.4 ,,15459.0 ,6197.2 ,,,
220,GALNT16,"polypeptide N-acetylgalactosaminyltransferase 16",57452,0,361.4,18187.6 ,17393.5 ,13900.8 ,18991.5 ,16843.6 ,12467.0 ,12950.0 ,4799.7 ,,,
221,TMEM30B,"transmembrane protein 30B",161291,2,361.5,15658.7 ,10871.3 ,,6982.7 ,7410.7 ,3041.8 ,,,6396.8 ,,
222,CHRNB2,"cholinergic receptor, nicotinic, beta 2 (neuronal)",1141,1,361.7,18920.0 ,15121.4 ,15620.9 ,18301.9 ,11586.5 ,13061.0 ,15973.1 ,13315.9 ,,2990.1 ,11476.0 
223,INSL3,"insulin-like 3 (Leydig cell)",3640,1,363.4,17932.0 ,14855.0 ,,,17278.5 ,11966.9 ,15942.0 ,,,,
224,AVPR1B,"arginine vasopressin receptor 1B",553,1,365.1,18425.0 ,,14691.8 ,19730.5 ,,13268.3 ,12843.7 ,12608.1 ,,,
225,SYN1,"synapsin I",6853,1,366.0,18924.8 ,17703.8 ,,17317.9 ,6698.1 ,13114.5 ,,,3822.8 ,,
226,TRPM7,"transient receptor potential cation channel, subfamily M, member 7",54822,3,366.3,123.2 ,2909.2 ,,147.6 ,172.7 ,379.5 ,1084.3 ,1062.2 ,3602.2 ,,
227,C9orf89,"chromosome 9 open reading frame 89",84270,1,369.0,14515.5 ,10499.1 ,11782.4 ,6555.4 ,8739.6 ,7907.7 ,,5629.0 ,44.5 ,,
228,RAP2C,"RAP2C, member of RAS oncogene family",57826,3,370.9,629.7 ,138.4 ,,,275.7 ,341.0 ,304.9 ,,6431.5 ,,
229,RANBP2,"RAN binding protein 2",5903,3,371.4,115.2 ,250.8 ,83.9 ,,,,7.5 ,,,,
230,GRM2,"glutamate receptor, metabotropic 2",2912,1,372.2,18959.0 ,17951.1 ,,19002.3 ,7251.2 ,12955.7 ,14862.8 ,11317.2 ,,,
231,LZTS1,"leucine zipper, putative tumor suppressor 1",11178,1,373.2,18643.0 ,18996.5 ,13057.3 ,,6667.7 ,12273.9 ,13683.2 ,11610.9 ,,,
232,ZDHHC17,"zinc finger, DHHC-type containing 17",23390,3,373.6,258.1 ,965.6 ,,2249.5 ,991.5 ,,1643.9 ,1794.4 ,,,2471.9 
233,MDGA1,"MAM domain containing glycosylphosphatidylinositol anchor 1",266727,0,373.8,14801.6 ,15166.3 ,14387.6 ,18713.4 ,15061.5 ,13437.1 ,12077.8 ,12694.9 ,,,
234,ADAM17,"ADAM metallopeptidase domain 17",6868,3,375.2,89.6 ,1368.1 ,,882.1 ,3531.9 ,417.6 ,,4815.2 ,2926.7 ,10034.6 ,9730.3 
235,NKX6-2,"NK6 homeobox 2",84504,1,375.9,19359.4 ,16594.7 ,,18414.2 ,14604.2 ,12401.5 ,,13316.1 ,,8894.9 ,9332.6 
236,ODF3,"outer dense fiber of sperm tails 3",113746,1,378.3,19227.9 ,18334.1 ,15248.0 ,16850.0 ,18437.3 ,13550.7 ,15062.7 ,,2345.6 ,,
237,SEC24B,"SEC24 family member B",10427,2,378.4,996.5 ,1659.2 ,1029.1 ,,3713.2 ,401.1 ,105.1 ,2168.9 ,1315.3 ,3246.3 ,5123.0 
238,HEYL,"hes-related family bHLH transcription factor with YRPW motif-like",26508,0,378.4,17765.6 ,18472.2 ,14027.8 ,18243.2 ,15865.0 ,13530.2 ,15819.7 ,,2042.5 ,,
239,ZFAND6,"zinc finger, AN1-type domain 6",54469,1,379.5,546.6 ,120.7 ,,2543.7 ,2551.2 ,523.0 ,537.4 ,5445.5 ,9514.8 ,2864.9 ,2273.5 
240,650656,"&nbsp;",650656,0,380.3,,,,,,,,,,,
241,CHD1,"chromodomain helicase DNA binding protein 1",1105,3,381.7,139.2 ,531.6 ,2626.8 ,1227.6 ,3336.9 ,256.4 ,106.0 ,2438.6 ,3331.4 ,,
242,HDAC11,"histone deacetylase 11",79885,1,382.1,15724.0 ,15292.5 ,8795.9 ,16631.3 ,15001.4 ,11632.1 ,15474.0 ,7295.0 ,1374.5 ,6665.6 ,1873.1 
243,LINC01134,"long intergenic non-protein coding RNA 1134",100133612,0,382.2,,18098.7 ,,,,,,,,,
244,SNX4,"sorting nexin 4",8723,3,382.6,176.0 ,3.5 ,,88.0 ,374.6 ,661.0 ,1509.6 ,783.3 ,7606.1 ,,
245,PSMC2,"proteasome (prosome, macropain) 26S subunit, ATPase, 2",5701,3,384.2,466.9 ,505.0 ,,2149.6 ,6542.0 ,1685.3 ,2669.1 ,3331.4 ,7483.5 ,2480.9 ,1241.9 
246,SSPO,"SCO-spondin",23145,1,385.7,19543.9 ,18318.0 ,15300.2 ,19948.0 ,,,12439.6 ,11005.1 ,,,
247,SLC25A42,"solute carrier family 25, member 42",284439,1,388.0,19214.3 ,16371.7 ,14979.1 ,18243.8 ,13918.0 ,10594.5 ,15844.7 ,8895.4 ,,,11933.2 12427.1 
248,CYB5R4,"cytochrome b5 reductase 4",51167,3,389.3,13.3 ,19.3 ,830.3 ,446.2 ,1519.0 ,1473.9 ,182.9 ,3285.2 ,,3540.8 ,1334.9 
249,USP16,"ubiquitin specific peptidase 16",10600,3,393.5,30.6 ,15.9 ,4396.5 ,515.1 ,1278.6 ,,139.9 ,1955.9 ,7549.3 ,,
250,SLC25A18,"solute carrier family 25 (glutamate carrier), member 18",83733,0,396.5,17961.1 ,11840.2 ,,17382.8 ,5504.6 ,12883.5 ,,,,,
251,CAB39,"calcium binding protein 39",51719,3,398.9,185.8 ,68.4 ,104.6 ,296.4 ,3397.1 ,,45.5 ,2422.0 ,,3719.7 ,941.2 
252,TMC6,"transmembrane channel-like 6",11322,1,401.5,17645.3 ,14209.2 ,,4043.5 ,8214.5 ,,6386.1 ,,1518.2 ,,
253,ALX4,"ALX homeobox 4",60529,1,404.2,19580.6 ,12464.9 ,15645.2 ,18399.0 ,13935.0 ,,16142.4 ,11682.6 ,,,
254,WNT1,"wingless-type MMTV integration site family, member 1",7471,1,404.5,19504.9 ,,15280.6 ,19849.6 ,,13388.8 ,15780.6 ,,1452.6 ,6278.8 ,1973.1 
255,NOBOX,"NOBOX oogenesis homeobox",135935,1,404.6,18430.1 ,,15034.0 ,18178.6 ,6332.3 ,,,,,,
256,HCRT,"hypocretin (orexin) neuropeptide precursor",3060,1,404.7,19497.9 ,,15514.5 ,18495.0 ,,13595.5 ,16163.0 ,11918.8 ,,,
257,MTHFR,"methylenetetrahydrofolate reductase (NAD(P)H)",4524,0,405.0,9488.4 ,17987.9 ,12771.4 ,6461.2 ,11630.0 ,12883.3 ,15277.2 ,4375.2 ,,,
258,CNTD2,"cyclin N-terminal domain containing 2",79935,0,406.0,19303.9 ,,,,,,,,5502.6 ,,
259,ZBTB12,"zinc finger and BTB domain containing 12",221527,0,406.5,,19308.0 ,14750.1 ,16700.6 ,17177.5 ,10420.6 ,11071.6 ,,,,
260,CLUH,"clustered mitochondria (cluA/CLU1) homolog",23277,3,406.7,14232.3 ,16643.1 ,8216.9 ,11383.2 ,10420.1 ,11749.7 ,14491.1 ,4559.0 ,7590.9 ,5033.0 ,2813.4 
261,VPS4B,"vacuolar protein sorting 4 homolog B (S. cerevisiae)",9525,3,407.2,316.2 ,1389.0 ,175.5 ,22.2 ,514.4 ,165.9 ,77.4 ,178.3 ,3322.5 ,,
262,RNF111,"ring finger protein 111",54778,3,407.5,633.9 ,1416.3 ,517.8 ,221.9 ,959.0 ,33.8 ,843.1 ,5010.5 ,,,
263,DPP8,"dipeptidyl-peptidase 8",54878,3,407.8,119.0 ,586.9 ,3335.5 ,4018.6 ,2153.7 ,,2584.0 ,2540.0 ,,,
264,ABTB2,"ankyrin repeat and BTB (POZ) domain containing 2",25841,0,408.7,12255.9 ,14142.6 ,,1195.2 ,5980.9 ,4188.4 ,14511.2 ,2486.8 ,,11055.0 ,2790.6 
265,SUN5,"Sad1 and UNC84 domain containing 5",140732,1,411.1,18971.7 ,,14297.0 ,,,,16005.3 ,,,,
266,C19orf73,"chromosome 19 open reading frame 73",55150,2,411.8,19089.0 ,,,,,,,,,,
267,UBA6,"ubiquitin-like modifier activating enzyme 6",55236,3,415.4,84.4 ,97.8 ,2507.1 ,1554.9 ,799.5 ,683.6 ,541.2 ,1252.4 ,,,
268,RPS6KB1,"ribosomal protein S6 kinase, 70kDa, polypeptide 1",6198,3,416.6,416.2 ,25.6 ,,969.8 ,1567.2 ,1371.0 ,518.9 ,569.8 ,9772.5 ,5037.7 ,3439.0 
269,MIR1-1HG,"MIR1-1 host gene",128826,2,417.0,19606.4 ,,,,,,,,,,
270,USH1G,"Usher syndrome 1G (autosomal recessive)",124590,1,418.0,19703.4 ,,,,,,16100.4 ,12545.2 ,,7933.6 ,2583.1 
271,RNF6,"ring finger protein (C3H2C3 type) 6",6049,3,418.8,24.5 ,76.2 ,,133.2 ,3572.0 ,1645.2 ,412.6 ,969.0 ,,,
272,GPR31,"G protein-coupled receptor 31",2853,1,419.0,17718.1 ,,,,,,16005.6 ,,,,
273,RASAL1,"RAS protein activator like 1 (GAP1 like)",8437,1,424.8,17476.1 ,15083.0 ,10523.8 ,15703.2 ,13783.9 ,12784.4 ,11621.4 ,11175.8 ,,,
274,SCRT1,"scratch family zinc finger 1",83482,2,425.3,18566.7 ,17012.3 ,14671.6 ,19242.6 ,11342.1 ,13181.1 ,,,,,
275,PIWIL2,"piwi-like RNA-mediated gene silencing 2",55124,0,426.4,14743.5 ,17896.6 ,13953.6 ,11216.9 ,10943.0 ,9368.0 ,15104.4 ,,3670.8 ,,2320.6 
276,FRMD8,"FERM domain containing 8",83786,0,426.6,13932.5 ,15525.0 ,10996.8 ,4867.8 ,12037.6 ,5722.1 ,11443.6 ,,8010.6 ,5134.9 ,6988.6 
277,PPM1F,"protein phosphatase, Mg2+/Mn2+ dependent, 1F",9647,0,426.9,15759.0 ,16387.5 ,11153.8 ,14070.1 ,10888.3 ,10390.4 ,15769.2 ,10566.9 ,,4148.8 ,891.6 
278,FAR1,"fatty acyl CoA reductase 1",84188,2,427.0,181.6 ,88.1 ,122.4 ,606.9 ,1972.8 ,3324.8 ,743.2 ,3689.4 ,,10158.6 ,10411.0 
279,RSRC2,"arginine/serine-rich coiled-coil 2",65117,3,428.9,315.5 ,261.9 ,,,,,,,,2474.5 ,3648.1 
280,AIM1L,"absent in melanoma 1-like",55057,2,429.0,18339.1 ,13789.5 ,,13696.4 ,15080.7 ,5291.9 ,10677.8 ,8377.6 ,,,
281,SARDH,"sarcosine dehydrogenase",1757,0,429.2,19349.4 ,19704.9 ,14647.9 ,19211.8 ,15825.0 ,11942.1 ,14766.1 ,11618.2 ,5444.1 ,10390.3 ,8226.9 
282,GCC2,"GRIP and coiled-coil domain containing 2",9648,3,431.0,230.1 ,330.9 ,17.4 ,251.6 ,521.2 ,447.4 ,138.1 ,45.3 ,,3429.7 ,3044.6 
283,LOC399884,"uncharacterized LOC399884",399884,0,431.2,,,,,,,,,,,
284,728011,"&nbsp;",728011,0,431.3,,,,,,,,,,,
285,CDX4,"caudal type homeobox 4",1046,1,432.0,17642.4 ,,13980.4 ,15225.4 ,,,13802.6 ,,,,
286,OVOL3,"ovo-like zinc finger 3",728361,0,432.7,18747.2 ,,,,,,,,,,
287,CENPC,"centromere protein C",1060,3,432.9,1412.7 ,648.2 ,3371.5 ,412.0 ,3463.9 ,,194.7 ,1551.3 ,,,
288,CXorf51A,"chromosome X open reading frame 51A",100129239,0,433.1,,,,,,,,,,,
289,USP9X,"ubiquitin specific peptidase 9, X-linked",8239,3,434.1,540.4 ,1574.9 ,,498.4 ,315.6 ,1653.6 ,,380.9 ,,322.9 ,4448.5 
290,APC2,"adenomatosis polyposis coli 2",10297,2,437.8,19451.6 ,19406.7 ,12974.2 ,17530.4 ,12263.9 ,9695.5 ,15724.2 ,,,,
291,SUSD3,"sushi domain containing 3",203328,0,437.8,15696.6 ,7542.3 ,9225.3 ,13301.2 ,11547.2 ,9656.9 ,,12511.5 ,,,
292,OMP,"olfactory marker protein",4975,1,440.7,19236.7 ,,15271.3 ,19690.8 ,15229.5 ,13539.3 ,,,1777.0 ,,
293,BTBD10,"BTB (POZ) domain containing 10",84280,3,443.4,219.2 ,390.1 ,817.1 ,,7776.0 ,3562.4 ,661.6 ,6939.2 ,3470.2 ,,
294,BSND,"barttin CLCNK-type chloride channel accessory beta subunit",7809,1,445.2,18782.9 ,,15627.9 ,19120.7 ,,13232.0 ,,12673.8 ,,,
295,SF3B1,"splicing factor 3b, subunit 1, 155kDa",23451,3,445.9,426.6 ,371.2 ,,308.7 ,349.0 ,123.6 ,14.1 ,403.5 ,1064.7 ,4510.5 ,407.0 
296,GRID2,"glutamate receptor, ionotropic, delta 2",2895,0,446.9,15170.3 ,16214.1 ,15029.0 ,14584.7 ,8479.6 ,12534.4 ,14404.3 ,11416.0 ,,,
297,KIAA1652,"KIAA1652 protein",85367,0,447.1,,,,,,,,,,,
298,COQ10B,"coenzyme Q10 homolog B (S. cerevisiae)",80219,3,448.7,91.9 ,2207.6 ,699.8 ,1058.7 ,2604.2 ,1275.2 ,236.0 ,5739.5 ,7524.8 ,3995.9 10411.8 ,3569.8 11876.6 
299,FBXL12,"F-box and leucine-rich repeat protein 12",54850,0,449.9,15474.8 ,14089.9 ,,2523.1 ,2796.2 ,3099.3 ,,,,,
300,NKPD1,"NTPase, KAP family P-loop domain containing 1",284353,1,450.4,19347.0 ,18979.2 ,,19431.8 ,18673.0 ,,16006.5 ,,,,
301,TMF1,"TATA element modulatory factor 1",7110,3,451.8,102.5 ,371.2 ,2567.2 ,,3292.2 ,163.8 ,291.5 ,2962.9 ,1714.0 ,,
302,PP12613,"uncharacterized LOC100192379",100192379,0,451.8,,,,,,,,,,,
303,LINC00908,"long intergenic non-protein coding RNA 908",284276,0,452.8,,18257.9 ,,,,,,,,,
304,PLA2G2E,"phospholipase A2, group IIE",30814,1,453.3,19403.5 ,,14299.2 ,16697.3 ,,,16079.0 ,7925.2 ,,,
305,EPG5,"ectopic P-granules autophagy protein 5 homolog (C. elegans)",57724,2,454.0,1529.8 ,3835.4 ,418.1 ,,3851.7 ,,,3267.2 ,,2815.4 ,2167.9 
306,HCN1,"hyperpolarization activated cyclic nucleotide-gated potassium channel 1",348980,1,454.9,16249.8 ,16900.9 ,,15279.6 ,5080.3 ,12267.0 ,13314.6 ,12020.0 ,,,
307,PRR34,"proline rich 34",55267,1,458.1,19043.4 ,,,,,,,,,,
308,BNIP2,"BCL2/adenovirus E1B 19kDa interacting protein 2",663,3,458.8,27.9 ,336.8 ,2238.2 ,1815.2 ,1437.5 ,924.4 ,609.0 ,1388.5 ,2506.6 ,,
309,HHLA1,"HERV-H LTR-associating 1",10086,1,459.2,17080.8 ,,,,,,,,,,
310,MAP2K1,"mitogen-activated protein kinase kinase 1",5604,3,459.4,1795.2 ,1676.6 ,1678.0 ,93.4 ,382.7 ,708.8 ,1959.3 ,2879.5 ,1514.2 ,1371.5 ,1018.9 
311,SLC35F6,"solute carrier family 35, member F6",54978,0,459.7,7659.1 ,17212.0 ,9318.2 ,6885.0 ,7835.5 ,2863.0 ,12905.8 ,9281.9 ,6399.3 ,,
312,RAB5A,"RAB5A, member RAS oncogene family",5868,3,459.9,152.7 ,651.4 ,3699.5 ,203.1 ,3691.6 ,59.8 ,385.6 ,3257.3 ,757.3 3019.4 ,,
313,METTL14,"methyltransferase like 14",57721,3,459.9,64.3 ,79.7 ,2462.9 ,235.8 ,3478.8 ,74.3 ,71.8 ,4230.8 ,,960.1 ,291.4 
314,JMJD4,"jumonji domain containing 4",65094,3,460.1,18471.3 ,15335.9 ,11342.8 ,14204.5 ,11216.9 ,,14485.9 ,11427.6 ,,2739.1 ,2122.7 
315,CAPZA1,"capping protein (actin filament) muscle Z-line, alpha 1",829,3,460.6,243.3 ,38.7 ,,668.7 ,352.4 ,736.0 ,108.2 ,2333.9 ,3326.5 4510.3 ,2420.0 ,762.4 
316,SLC22A14,"solute carrier family 22, member 14",9389,0,461.9,18018.3 ,,,20003.1 ,18532.7 ,,14400.1 ,,,,
317,TDP2,"tyrosyl-DNA phosphodiesterase 2",51567,3,462.1,115.7 ,278.9 ,372.6 ,2247.8 ,8949.5 ,14.7 ,2035.1 ,2726.4 ,6371.6 ,,
318,TDG,"thymine-DNA glycosylase",6996,3,464.5,768.1 ,50.7 ,,,3052.7 1271.5 3334.5 ,2039.2 ,1734.6 ,4178.4 ,,,
319,PTCHD2,"patched domain containing 2",57540,1,464.8,17896.5 ,19120.2 ,15190.0 ,20227.9 ,5881.1 ,13407.4 ,11594.9 ,12930.7 ,,,
320,B3GNT4,"UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 4",79369,1,465.2,19030.5 ,15319.6 ,15187.7 ,20219.9 ,13066.9 ,,6450.7 ,,,2068.6 11828.1 12143.5 ,752.0 10896.3 
321,TAB3,"TGF-beta activated kinase 1/MAP3K7 binding protein 3",257397,3,465.4,1398.9 ,1161.5 ,,400.5 ,504.4 ,,1568.3 ,3988.5 ,1918.3 ,,
322,PRSS47,"protease, serine, 47",138652,0,466.1,,,,,,,,,,,
323,LOC220077,"dedicator of cytokinesis 1 pseudogene",220077,0,467.4,16986.3 ,,,,,,,,,,
324,ANKRD12,"ankyrin repeat domain 12",23253,3,468.4,212.2 ,3963.9 ,,4424.2 ,1791.4 ,956.8 ,91.5 ,1074.6 ,,,
325,IRGC,"immunity-related GTPase family, cinema",56269,1,468.4,18729.1 ,,14678.7 ,20195.5 ,16378.0 ,,15239.7 ,,,,
326,AQP6,"aquaporin 6, kidney specific",363,1,468.9,19634.4 ,18841.3 ,,17135.9 ,,13510.0 ,15913.0 ,,,,
327,KRAS,"Kirsten rat sarcoma viral oncogene homolog",3845,2,469.2,137.9 ,1704.5 ,,596.9 ,562.6 ,1465.6 ,1087.2 ,2045.8 ,1923.4 ,3867.2 ,329.9 
328,TBC1D12,"TBC1 domain family, member 12",23232,3,469.9,779.7 ,1312.6 ,134.0 ,3644.4 ,5542.9 ,,929.4 ,,,,
329,SLC6A17,"solute carrier family 6 (neutral amino acid transporter), member 17",388662,1,473.4,15908.0 ,15249.8 ,11684.2 ,17955.0 ,11425.5 ,8593.3 ,14746.4 ,11510.4 ,2063.2 ,4993.7 ,10871.6 
