GeneMANIA Results
Plugin Version	3.4.1 (20160523-2245)
Data Version	2014-08-12
Report Generated	Tue Nov 15 13:38:49 GMT 2016

Gene	Score	Description
	Stirewalt-Radich-2008	0.31	Identification of genes with abnormal expression changes in acute myeloid leukemia.	Stirewalt, Meshinchi, Kopecky, Fan, Pogosova-Agadjanyan, Engel, Cronk, Dorcy, McQuary, Hockenbery, Wood, Heimfeld, Radich	2008	Genes Chromosomes Cancer	17910043	http://www.ncbi.nlm.nih.gov/pubmed/17910043	Pearson correlation	495200	GEO	http://www.ncbi.nlm.nih.gov/projects/geo/query/acc.cgi?acc=GSE1159	Transcription Factors,Cultured Cells,Cancer
	Berchtold-Cotman-2008	0.31	Gene expression changes in the course of normal brain aging are sexually dimorphic.	Berchtold, Cribbs, Coleman, Rogers, Head, Kim, Beach, Miller, Troncoso, Trojanowski, Zielke, Cotman	2008	Proc Natl Acad Sci U S A	18832152	http://www.ncbi.nlm.nih.gov/pubmed/18832152	Pearson correlation	607098	GEO	http://www.ncbi.nlm.nih.gov/projects/geo/query/acc.cgi?acc=GSE11882	Aging,Brain
	Noble-Diehl-2008	0.30	Regional variation in gene expression in the healthy colon is dysregulated in ulcerative colitis.	Noble, Abbas, Cornelius, Lees, Ho, Toy, Modrusan, Pal, Zhong, Chalasani, Clark, Arnott, Penman, Satsangi, Diehl	2008	Gut	18523026	http://www.ncbi.nlm.nih.gov/pubmed/18523026	Pearson correlation	651777	GEO	http://www.ncbi.nlm.nih.gov/projects/geo/query/acc.cgi?acc=GSE11223	
	Shea-Musser-2010	0.30	Interactome analysis of longitudinal pharyngeal infection of cynomolgus macaques by group A Streptococcus.	Shea, Virtaneva, Kupko, Porcella, Barry, Wright, Kobayashi, Carmody, Ireland, Sturdevant, Ricklefs, Babar, Johnson, Graham, Gardner, Bailey, Parnell, Deleo, Musser	2010	Proc Natl Acad Sci U S A	20179180	http://www.ncbi.nlm.nih.gov/pubmed/20179180	Pearson correlation	381512	GEO	http://www.ncbi.nlm.nih.gov/projects/geo/query/acc.cgi?acc=GSE20262	Cell Signalling
	Gobble-Singer-2011	0.30	Expression profiling of liposarcoma yields a multigene predictor of patient outcome and identifies genes that contribute to liposarcomagenesis.	Gobble, Qin, Brill, Angeles, Ugras, O'Connor, Moraco, Decarolis, Antonescu, Singer	2011	Cancer Res	21335544	http://www.ncbi.nlm.nih.gov/pubmed/21335544	Pearson correlation	483909	GEO	http://www.ncbi.nlm.nih.gov/projects/geo/query/acc.cgi?acc=GSE30929	Apoptosis,Cell Line,Cultured Cells,Cancer,Transcription Factors
	Burczynski-Dorner-2006	0.29	Molecular classification of Crohn's disease and ulcerative colitis patients using transcriptional profiles in peripheral blood mononuclear cells.	Burczynski, Peterson, Twine, Zuberek, Brodeur, Casciotti, Maganti, Reddy, Strahs, Immermann, Spinelli, Schwertschlag, Slager, Cotreau, Dorner	2006	J Mol Diagn	16436634	http://www.ncbi.nlm.nih.gov/pubmed/16436634	Pearson correlation	480194	GEO	http://www.ncbi.nlm.nih.gov/projects/geo/query/acc.cgi?acc=GSE3365	
	Kobayashi-DeLeo-2010	0.29	Rapid neutrophil destruction following phagocytosis of Staphylococcus aureus.	Kobayashi, Braughton, Palazzolo-Ballance, Kennedy, Sampaio, Kristosturyan, Whitney, Sturdevant, Dorward, Holland, Kreiswirth, Musser, DeLeo	2010	J Innate Immun	20587998	http://www.ncbi.nlm.nih.gov/pubmed/20587998	Pearson correlation	580819	GEO	http://www.ncbi.nlm.nih.gov/projects/geo/query/acc.cgi?acc=GSE16837	Apoptosis,Immune System
	Yu-Tan-2008	0.29	A precisely regulated gene expression cassette potently modulates metastasis and survival in multiple solid cancers.	Yu, Ganesan, Tan, Laban, Wu, Zhao, Li, Leung, Zhu, Wei, Hooi, Miller, Tan	2008	PLoS Genet	18636107	http://www.ncbi.nlm.nih.gov/pubmed/18636107	Pearson correlation	484487	GEO	http://www.ncbi.nlm.nih.gov/projects/geo/query/acc.cgi?acc=GSE5364	Transcription Factors,Cancer
	Iwamoto-Kato-2005	0.28	Altered expression of mitochondria-related genes in postmortem brains of patients with bipolar disorder or schizophrenia, as revealed by large-scale DNA microarray analysis.	Iwamoto, Bundo, Kato	2005	Hum Mol Genet	15563509	http://www.ncbi.nlm.nih.gov/pubmed/15563509	Pearson correlation	437260	GEO	http://www.ncbi.nlm.nih.gov/projects/geo/query/acc.cgi?acc=GSE12649	Brain
	Sørlie-Børresen-Dale-2001	0.27	Gene expression patterns of breast carcinomas distinguish tumor subclasses with clinical implications.	Sørlie, Perou, Tibshirani, Aas, Geisler, Johnsen, Hastie, Eisen, van de Rijn, Jeffrey, Thorsen, Quist, Matese, Brown, Botstein, Lønning, Børresen-Dale	2001	Proc Natl Acad Sci U S A	11553815	http://www.ncbi.nlm.nih.gov/pubmed/11553815	Pearson correlation	151617	SUPPLEMENTARY_MATERIAL		Transcription Factors,Breast Cancer,Cancer
	Peng-Katze-2009	0.27	Computational identification of hepatitis C virus associated microRNA-mRNA regulatory modules in human livers.	Peng, Li, Walters, Rosenzweig, Lederer, Aicher, Proll, Katze	2009	BMC Genomics	19671175	http://www.ncbi.nlm.nih.gov/pubmed/19671175	Pearson correlation	433154	GEO	http://www.ncbi.nlm.nih.gov/projects/geo/query/acc.cgi?acc=GSE15331	Liver
	Minn-Massagué-2005	0.26	Genes that mediate breast cancer metastasis to lung.	Minn, Gupta, Siegel, Bos, Shu, Giri, Viale, Olshen, Gerald, Massagué	2005	Nature	16049480	http://www.ncbi.nlm.nih.gov/pubmed/16049480	Pearson correlation	447020	GEO	http://www.ncbi.nlm.nih.gov/projects/geo/query/acc.cgi?acc=GSE2603	Transcription Factors,Cell Line,Cultured Cells,Breast Cancer,Cancer
	Jones-Libermann-2005	0.25	Gene signatures of progression and metastasis in renal cell cancer.	Jones, Otu, Spentzos, Kolia, Inan, Beecken, Fellbaum, Gu, Joseph, Pantuck, Jonas, Libermann	2005	Clin Cancer Res	16115910	http://www.ncbi.nlm.nih.gov/pubmed/16115910	Pearson correlation	418800	GEO	http://www.ncbi.nlm.nih.gov/projects/geo/query/acc.cgi?acc=GSE15641	Transcription Factors,Disease,Cancer
	Ross-Perou-2001	0.25	A comparison of gene expression signatures from breast tumors and breast tissue derived cell lines.	Ross, Perou	2001	Dis Markers	11673656	http://www.ncbi.nlm.nih.gov/pubmed/11673656	Pearson correlation	138942	SUPPLEMENTARY_MATERIAL		Cell Line,Cultured Cells,Breast Cancer,Breast,Cancer
	Tabchy-Pusztai-2010	0.25	Evaluation of a 30-gene paclitaxel, fluorouracil, doxorubicin, and cyclophosphamide chemotherapy response predictor in a multicenter randomized trial in breast cancer.	Tabchy, Valero, Vidaurre, Lluch, Gomez, Martin, Qi, Barajas-Figueroa, Souchon, Coutant, Doimi, Ibrahim, Gong, Hortobagyi, Hess, Symmans, Pusztai	2010	Clin Cancer Res	20829329	http://www.ncbi.nlm.nih.gov/pubmed/20829329	Pearson correlation	449481	GEO	http://www.ncbi.nlm.nih.gov/projects/geo/query/acc.cgi?acc=GSE20271	Transcription Factors,Breast Cancer,Cancer,Chemotherapy
	Kabbarah-Chin-2010	0.25	Integrative genome comparison of primary and metastatic melanomas.	Kabbarah, Nogueira, Feng, Nazarian, Bosenberg, Wu, Scott, Kwong, Xiao, Cordon-Cardo, Granter, Ramaswamy, Golub, Duncan, Wagner, Brennan, Chin	2010	PLoS One	20520718	http://www.ncbi.nlm.nih.gov/pubmed/20520718	Pearson correlation	428772	GEO	http://www.ncbi.nlm.nih.gov/projects/geo/query/acc.cgi?acc=GSE46517	Transcription Factors,Nervous System,Disease,Cancer
	Raue-Trappe-2012	0.25	Transcriptome signature of resistance exercise adaptations: mixed muscle and fiber type specific profiles in young and old adults.	Raue, Trappe, Estrem, Qian, Helvering, Smith, Trappe	2012	J Appl Physiol (1985)	22302958	http://www.ncbi.nlm.nih.gov/pubmed/22302958	Pearson correlation	587864	GEO	http://www.ncbi.nlm.nih.gov/projects/geo/query/acc.cgi?acc=GSE28422	Aging,Muscle,Time Series
	Newman-Radeke-2012	0.25	Systems-level analysis of age-related macular degeneration reveals global biomarkers and phenotype-specific functional networks.	Newman, Gallo, Hancox, Miller, Radeke, Maloney, Cooper, Hageman, Anderson, Johnson, Radeke	2012	Genome Med	22364233	http://www.ncbi.nlm.nih.gov/pubmed/22364233	Pearson correlation	545106	GEO	http://www.ncbi.nlm.nih.gov/projects/geo/query/acc.cgi?acc=GSE29801	
	Beane-Spira-2007	0.25	Reversible and permanent effects of tobacco smoke exposure on airway epithelial gene expression.	Beane, Sebastiani, Liu, Brody, Lenburg, Spira	2007	Genome Biol	17894889	http://www.ncbi.nlm.nih.gov/pubmed/17894889	Pearson correlation	456665	GEO	http://www.ncbi.nlm.nih.gov/projects/geo/query/acc.cgi?acc=GSE7895	
	Xu-Shannon-2013	0.25	Dominant role of oncogene dosage and absence of tumor suppressor activity in Nras-driven hematopoietic transformation.	Xu, Haigis, Firestone, McNerney, Li, Davis, Chen, Nakitandwe, Downing, Jacks, Le Beau, Shannon	2013	Cancer Discov	23733505	http://www.ncbi.nlm.nih.gov/pubmed/23733505	Pearson correlation	501519	GEO	http://www.ncbi.nlm.nih.gov/projects/geo/query/acc.cgi?acc=GSE43176	Cultured Cells,Signal Transduction,Cancer,C57BL,Cell Line,Cell Proliferation,Stem Cells
	Finak-Park-2008	0.25	Stromal gene expression predicts clinical outcome in breast cancer.	Finak, Bertos, Pepin, Sadekova, Souleimanova, Zhao, Chen, Omeroglu, Meterissian, Omeroglu, Hallett, Park	2008	Nat Med	18438415	http://www.ncbi.nlm.nih.gov/pubmed/18438415	Pearson correlation	572195	GEO	http://www.ncbi.nlm.nih.gov/projects/geo/query/acc.cgi?acc=GSE9014	Stromal Cells,Transcription Factors,Breast Cancer,Cancer
	Chowdary-Mazumder-2006	0.24	Prognostic gene expression signatures can be measured in tissues collected in RNAlater preservative.	Chowdary, Lathrop, Skelton, Curtin, Briggs, Zhang, Yu, Wang, Mazumder	2006	J Mol Diagn	16436632	http://www.ncbi.nlm.nih.gov/pubmed/16436632	Pearson correlation	423214	GEO	http://www.ncbi.nlm.nih.gov/projects/geo/query/acc.cgi?acc=GSE3726	Breast Cancer,Cancer
	Noble-Diehl-2010	0.23	Characterization of intestinal gene expression profiles in Crohn's disease by genome-wide microarray analysis.	Noble, Abbas, Lees, Cornelius, Toy, Modrusan, Clark, Arnott, Penman, Satsangi, Diehl	2010	Inflamm Bowel Dis	20848455	http://www.ncbi.nlm.nih.gov/pubmed/20848455	Pearson correlation	643376	GEO	http://www.ncbi.nlm.nih.gov/projects/geo/query/acc.cgi?acc=GSE20881	
	Tian-Shaughnessy-2003 A	0.23	The role of the Wnt-signaling antagonist DKK1 in the development of osteolytic lesions in multiple myeloma.	Tian, Zhan, Walker, Rasmussen, Ma, Barlogie, Shaughnessy	2003	N Engl J Med	14695408	http://www.ncbi.nlm.nih.gov/pubmed/14695408	Pearson correlation	320383	GEO	http://www.ncbi.nlm.nih.gov/projects/geo/query/acc.cgi?acc=GSE754	Transcription Factors,Signal Transduction,Cancer
	Freedman-Nevins-2011	0.23	A methodology for utilization of predictive genomic signatures in FFPE samples.	Freedman, Augustine, Selim, Holshausen, Wei, Tsamis, Hsu, Dressman, Barry, Tyler, Nevins	2011	BMC Med Genomics	21745407	http://www.ncbi.nlm.nih.gov/pubmed/21745407	Pearson correlation	390960	GEO	http://www.ncbi.nlm.nih.gov/projects/geo/query/acc.cgi?acc=GSE29598	Cancer
	Lugthart-Evans-2005	0.22	Identification of genes associated with chemotherapy crossresistance and treatment response in childhood acute lymphoblastic leukemia.	Lugthart, Cheok, den Boer, Yang, Holleman, Cheng, Pui, Relling, Janka-Schaub, Pieters, Evans	2005	Cancer Cell	15837626	http://www.ncbi.nlm.nih.gov/pubmed/15837626	Pearson correlation	473895	GEO	http://www.ncbi.nlm.nih.gov/projects/geo/query/acc.cgi?acc=GSE2351	Cultured Cells,Cancer,Cell Proliferation,Chemotherapy,Transcription Factors,Lymphoma
	Chng-Fonseca-2007	0.22	Molecular dissection of hyperdiploid multiple myeloma by gene expression profiling.	Chng, Kumar, Vanwier, Ahmann, Price-Troska, Henderson, Chung, Kim, Mulligan, Bryant, Carpten, Gertz, Rajkumar, Lacy, Dispenzieri, Kyle, Greipp, Bergsagel, Fonseca	2007	Cancer Res	17409404	http://www.ncbi.nlm.nih.gov/pubmed/17409404	Pearson correlation	445047	GEO	http://www.ncbi.nlm.nih.gov/projects/geo/query/acc.cgi?acc=GSE6477	Cancer,Localization
	Den Boer-Pieters-2009 B	0.22	A subtype of childhood acute lymphoblastic leukaemia with poor treatment outcome: a genome-wide classification study.	Den Boer, van Slegtenhorst, De Menezes, Cheok, Buijs-Gladdines, Peters, Van Zutven, Beverloo, Van der Spek, Escherich, Horstmann, Janka-Schaub, Kamps, Evans, Pieters	2009	Lancet Oncol	19138562	http://www.ncbi.nlm.nih.gov/pubmed/19138562	Pearson correlation	447660	GEO	http://www.ncbi.nlm.nih.gov/projects/geo/query/acc.cgi?acc=GSE13425	Lymphoma,Cancer
	Gómez-Abad-Piris-2011	0.22	PIM2 inhibition as a rational therapeutic approach in B-cell lymphoma.	Gómez-Abad, Pisonero, Blanco-Aparicio, Roncador, González-Menchén, Martinez-Climent, Mata, Rodríguez, Muñoz-González, Sánchez-Beato, Leal, Bischoff, Piris	2011	Blood	21937691	http://www.ncbi.nlm.nih.gov/pubmed/21937691	Pearson correlation	599947	GEO	http://www.ncbi.nlm.nih.gov/projects/geo/query/acc.cgi?acc=GSE32018	Apoptosis,Cell Line,Transcription Factors,Cancer,Cultured Cells
	Bonome-Birrer-2008	0.22	A gene signature predicting for survival in suboptimally debulked patients with ovarian cancer.	Bonome, Levine, Shih, Randonovich, Pise-Masison, Bogomolniy, Ozbun, Brady, Barrett, Boyd, Birrer	2008	Cancer Res	18593951	http://www.ncbi.nlm.nih.gov/pubmed/18593951	Pearson correlation	509198	GEO	http://www.ncbi.nlm.nih.gov/projects/geo/query/acc.cgi?acc=GSE26712	Transcription Factors,Cancer
	Sorich-Evans-2008	0.21	In vivo response to methotrexate forecasts outcome of acute lymphoblastic leukemia and has a distinct gene expression profile.	Sorich, Pottier, Pei, Yang, Kager, Stocco, Cheng, Panetta, Pui, Relling, Cheok, Evans	2008	PLoS Med	18416598	http://www.ncbi.nlm.nih.gov/pubmed/18416598	Pearson correlation	498244	GEO	http://www.ncbi.nlm.nih.gov/projects/geo/query/acc.cgi?acc=GSE10255	Chemotherapy,Lymphoma,Cancer
	Nakayama-Hasegawa-2007	0.21	Gene expression analysis of soft tissue sarcomas: characterization and reclassification of malignant fibrous histiocytoma.	Nakayama, Nemoto, Takahashi, Ohta, Kawai, Seki, Yoshida, Toyama, Ichikawa, Hasegawa	2007	Mod Pathol	17464315	http://www.ncbi.nlm.nih.gov/pubmed/17464315	Pearson correlation	409600	GEO	http://www.ncbi.nlm.nih.gov/projects/geo/query/acc.cgi?acc=GSE6481	Transcription Factors,Cancer
	Hatzis-Symmans-2011 B	0.21	A genomic predictor of response and survival following taxane-anthracycline chemotherapy for invasive breast cancer.	Hatzis, Pusztai, Valero, Booser, Esserman, Lluch, Vidaurre, Holmes, Souchon, Wang, Martin, Cotrina, Gomez, Hubbard, Chacón, Ferrer-Lozano, Dyer, Buxton, Gong, Wu, Ibrahim, Andreopoulou, Ueno, Hunt, Yang, Nazario, DeMichele, O'Shaughnessy, Hortobagyi, Symmans	2011	JAMA	21558518	http://www.ncbi.nlm.nih.gov/pubmed/21558518	Pearson correlation	496776	GEO	http://www.ncbi.nlm.nih.gov/projects/geo/query/acc.cgi?acc=GSE25065	Transcription Factors,Breast Cancer,Cancer,Chemotherapy
	Yu-Lee-2012	0.21	PRC2/EED-EZH2 complex is up-regulated in breast cancer lymph node metastasis compared to primary tumor and correlates with tumor proliferation in situ.	Yu, Simons, Segall, Carcamo-Cavazos, Schwartz, Yan, Zuckerman, Dirbas, Johnson, Holmes, Lee	2012	PLoS One	23251464	http://www.ncbi.nlm.nih.gov/pubmed/23251464	Pearson correlation	583647	GEO	http://www.ncbi.nlm.nih.gov/projects/geo/query/acc.cgi?acc=GSE41986	Cell Proliferation,Breast Cancer,Cancer,Immune System
	Ross-Brown-2000	0.21	Systematic variation in gene expression patterns in human cancer cell lines.	Ross, Scherf, Eisen, Perou, Rees, Spellman, Iyer, Jeffrey, Van de Rijn, Waltham, Pergamenschikov, Lee, Lashkari, Shalon, Myers, Weinstein, Botstein, Brown	2000	Nat Genet	10700174	http://www.ncbi.nlm.nih.gov/pubmed/10700174	Pearson correlation	146214	SUPPLEMENTARY_MATERIAL		Transcription Factors,Cultured Cells,Breast Cancer,Breast,Cancer
	Holleman-Evans-2004	0.20	Gene-expression patterns in drug-resistant acute lymphoblastic leukemia cells and response to treatment.	Holleman, Cheok, den Boer, Yang, Veerman, Kazemier, Pei, Cheng, Pui, Relling, Janka-Schaub, Pieters, Evans	2004	N Engl J Med	15295046	http://www.ncbi.nlm.nih.gov/pubmed/15295046	Pearson correlation	500002	GEO	http://www.ncbi.nlm.nih.gov/projects/geo/query/acc.cgi?acc=GSE635	Chemotherapy,Lymphoma,Cancer
	Scatolini-Chiorino-2010	0.20	Altered molecular pathways in melanocytic lesions.	Scatolini, Grand, Grosso, Venesio, Pisacane, Balsamo, Sirovich, Risio, Chiorino	2010	Int J Cancer	19795447	http://www.ncbi.nlm.nih.gov/pubmed/19795447	Pearson correlation	536124	GEO	http://www.ncbi.nlm.nih.gov/projects/geo/query/acc.cgi?acc=GSE12391	Apoptosis,Cancer
	Hummel-Siebert-2006	0.20	A biologic definition of Burkitt's lymphoma from transcriptional and genomic profiling.	Hummel, Bentink, Berger, Klapper, Wessendorf, Barth, Bernd, Cogliatti, Dierlamm, Feller, Hansmann, Haralambieva, Harder, Hasenclever, Kühn, Lenze, Lichter, Martin-Subero, Möller, Müller-Hermelink, Ott, Parwaresch, Pott, Rosenwald, Rosolowski, Schwaenen, Stürzenhofecker, Szczepanowski, Trautmann, Wacker, Spang, Loeffler, Trümper, Stein, Siebert	2006	N Engl J Med	16760442	http://www.ncbi.nlm.nih.gov/pubmed/16760442	Pearson correlation	506767	GEO	http://www.ncbi.nlm.nih.gov/projects/geo/query/acc.cgi?acc=GSE4475	Cancer
	Hochstenbach-van Delft-2012	0.20	Global gene expression analysis in cord blood reveals gender-specific differences in response to carcinogenic exposure in utero.	Hochstenbach, van Leeuwen, Gmuender, Gottschalk, Løvik, Granum, Nygaard, Namork, Kirsch-Volders, Decordier, Vande Loock, Besselink, Törnqvist, von Stedingk, Rydberg, Kleinjans, van Loveren, van Delft	2012	Cancer Epidemiol Biomarkers Prev	22879202	http://www.ncbi.nlm.nih.gov/pubmed/22879202	Pearson correlation	317430	GEO	http://www.ncbi.nlm.nih.gov/projects/geo/query/acc.cgi?acc=GSE31836	Pregnancy,Transcription Factors,Signal Transduction
	de Sousa E Melo-Medema-2011	0.20	Methylation of cancer-stem-cell-associated Wnt target genes predicts poor prognosis in colorectal cancer patients.	de Sousa E Melo, Colak, Buikhuisen, Koster, Cameron, de Jong, Tuynman, Prasetyanti, Fessler, van den Bergh, Rodermond, Dekker, van der Loos, Pals, van de Vijver, Versteeg, Richel, Vermeulen, Medema	2011	Cell Stem Cell	22056143	http://www.ncbi.nlm.nih.gov/pubmed/22056143	Pearson correlation	629658	GEO	http://www.ncbi.nlm.nih.gov/projects/geo/query/acc.cgi?acc=GSE33114	Transcription Factors,Cancer,Stem Cells,Disease
	Vallat-Bahram-2013	0.20	Reverse-engineering the genetic circuitry of a cancer cell with predicted intervention in chronic lymphocytic leukemia.	Vallat, Kemper, Jung, Maumy-Bertrand, Bertrand, Meyer, Pocheville, Fisher, Gribben, Bahram	2013	Proc Natl Acad Sci U S A	23267079	http://www.ncbi.nlm.nih.gov/pubmed/23267079	Pearson correlation	582973	GEO	http://www.ncbi.nlm.nih.gov/projects/geo/query/acc.cgi?acc=GSE39411	Transcription Factors,Cancer
	Postel-Vinay-Delattre-2012	0.20	Common variants near TARDBP and EGR2 are associated with susceptibility to Ewing sarcoma.	Postel-Vinay, Véron, Tirode, Pierron, Reynaud, Kovar, Oberlin, Lapouble, Ballet, Lucchesi, Kontny, González-Neira, Picci, Alonso, Patino-Garcia, de Paillerets, Laud, Dina, Froguel, Clavel-Chapelon, Doz, Michon, Chanock, Thomas, Cox, Delattre	2012	Nat Genet	22327514	http://www.ncbi.nlm.nih.gov/pubmed/22327514	Pearson correlation	630435	GEO	http://www.ncbi.nlm.nih.gov/projects/geo/query/acc.cgi?acc=GSE34620	Transcription Factors
	Sun-Fine-2006	0.20	Neuronal and glioma-derived stem cell factor induces angiogenesis within the brain.	Sun, Hui, Su, Vortmeyer, Kotliarov, Pastorino, Passaniti, Menon, Walling, Bailey, Rosenblum, Mikkelsen, Fine	2006	Cancer Cell	16616334	http://www.ncbi.nlm.nih.gov/pubmed/16616334	Pearson correlation	638262	GEO	http://www.ncbi.nlm.nih.gov/projects/geo/query/acc.cgi?acc=GSE4290	Cell Signalling,Nervous System,Cancer,Epithelial Cells,Signal Transduction,Brain,Cultured Cells,Transcription Factors,Endothelial Cells
	Garber-Petersen-2001	0.20	Diversity of gene expression in adenocarcinoma of the lung.	Garber, Troyanskaya, Schluens, Petersen, Thaesler, Pacyna-Gengelbach, van de Rijn, Rosen, Perou, Whyte, Altman, Brown, Botstein, Petersen	2001	Proc Natl Acad Sci U S A	11707590	http://www.ncbi.nlm.nih.gov/pubmed/11707590	Pearson correlation	249204	SUPPLEMENTARY_MATERIAL		Cancer
	Tomasson-Ley-2008	0.19	Somatic mutations and germline sequence variants in the expressed tyrosine kinase genes of patients with de novo acute myeloid leukemia.	Tomasson, Xiang, Walgren, Zhao, Kasai, Miner, Ries, Lubman, Fremont, McLellan, Payton, Westervelt, DiPersio, Link, Walter, Graubert, Watson, Baty, Heath, Shannon, Nagarajan, Bloomfield, Mardis, Wilson, Ley	2008	Blood	18270328	http://www.ncbi.nlm.nih.gov/pubmed/18270328	Pearson correlation	700242	GEO	http://www.ncbi.nlm.nih.gov/projects/geo/query/acc.cgi?acc=GSE10358	Cancer
	Sears-Subramaniam-2009	0.19	Mechanisms of human insulin resistance and thiazolidinedione-mediated insulin sensitization.	Sears, Hsiao, Hsiao, Yu, Courtney, Ofrecio, Chapman, Subramaniam	2009	Proc Natl Acad Sci U S A	19841271	http://www.ncbi.nlm.nih.gov/pubmed/19841271	Pearson correlation	661930	GEO	http://www.ncbi.nlm.nih.gov/projects/geo/query/acc.cgi?acc=GSE13070	Muscle,Immune System
	Iwamoto-Pusztai-2011	0.19	Gene pathways associated with prognosis and chemotherapy sensitivity in molecular subtypes of breast cancer.	Iwamoto, Bianchini, Booser, Qi, Coutant, Shiang, Santarpia, Matsuoka, Hortobagyi, Symmans, Holmes, O'Shaughnessy, Hellerstedt, Pippen, Andre, Simon, Pusztai	2011	J Natl Cancer Inst	21191116	http://www.ncbi.nlm.nih.gov/pubmed/21191116	Pearson correlation	487487	GEO	http://www.ncbi.nlm.nih.gov/projects/geo/query/acc.cgi?acc=GSE22093	Transcription Factors,Signal Transduction,Breast Cancer,Cancer,Chemotherapy
	Ooi-Tan-2009	0.19	Oncogenic pathway combinations predict clinical prognosis in gastric cancer.	Ooi, Ivanova, Wu, Lee, Tan, Tao, Ward, Koo, Gopalakrishnan, Zhu, Cheng, Lee, Rha, Chung, Ganesan, So, Soo, Lim, Chan, Wong, Bowtell, Yeoh, Grabsch, Boussioutas, Tan	2009	PLoS Genet	19798449	http://www.ncbi.nlm.nih.gov/pubmed/19798449	Pearson correlation	652996	GEO	http://www.ncbi.nlm.nih.gov/projects/geo/query/acc.cgi?acc=GSE15459	Transcription Factors,Cell Line,Cultured Cells,Signal Transduction,Cancer
	Einecke-Halloran-2010	0.19	A molecular classifier for predicting future graft loss in late kidney transplant biopsies.	Einecke, Reeve, Sis, Mengel, Hidalgo, Famulski, Matas, Kasiske, Kaplan, Halloran	2010	J Clin Invest	20501945	http://www.ncbi.nlm.nih.gov/pubmed/20501945	Pearson correlation	774809	GEO	http://www.ncbi.nlm.nih.gov/projects/geo/query/acc.cgi?acc=GSE21374	Cell Signalling,Disease,Kidney
	Den Boer-Pieters-2009 A	0.18	A subtype of childhood acute lymphoblastic leukaemia with poor treatment outcome: a genome-wide classification study.	Den Boer, van Slegtenhorst, De Menezes, Cheok, Buijs-Gladdines, Peters, Van Zutven, Beverloo, Van der Spek, Escherich, Horstmann, Janka-Schaub, Kamps, Evans, Pieters	2009	Lancet Oncol	19138562	http://www.ncbi.nlm.nih.gov/pubmed/19138562	Pearson correlation	595892	GEO	http://www.ncbi.nlm.nih.gov/projects/geo/query/acc.cgi?acc=GSE13351	Lymphoma,Cancer
	Sun-Troester-2013	0.18	Relationship of mammographic density and gene expression: analysis of normal breast tissue surrounding breast cancer.	Sun, Gierach, Sandhu, Williams, Midkiff, Lissowska, Wesolowska, Boyd, Johnson, Figueroa, Sherman, Troester	2013	Clin Cancer Res	23918601	http://www.ncbi.nlm.nih.gov/pubmed/23918601	Pearson correlation	576771	GEO	http://www.ncbi.nlm.nih.gov/projects/geo/query/acc.cgi?acc=GSE49175	
	Haugen-Van Houten-2010	0.18	Altered gene expression and DNA damage in peripheral blood cells from Friedreich's ataxia patients: cellular model of pathology.	Haugen, Di Prospero, Parker, Fannin, Chou, Meyer, Halweg, Collins, Durr, Fischbeck, Van Houten	2010	PLoS Genet	20090835	http://www.ncbi.nlm.nih.gov/pubmed/20090835	Pearson correlation	466273	GEO	http://www.ncbi.nlm.nih.gov/projects/geo/query/acc.cgi?acc=GSE11204	Cultured Cells
	Kim-Paik-2011	0.18	Estrogen receptor (ESR1) mRNA expression and benefit from tamoxifen in the treatment and prevention of estrogen receptor-positive breast cancer.	Kim, Tang, Pogue-Geile, Costantino, Baehner, Baker, Cronin, Watson, Shak, Bohn, Fumagalli, Taniyama, Lee, Reilly, Vogel, McCaskill-Stevens, Ford, Geyer, Wickerham, Wolmark, Paik	2011	J Clin Oncol	21947828	http://www.ncbi.nlm.nih.gov/pubmed/21947828	Pearson correlation	493232	GEO	http://www.ncbi.nlm.nih.gov/projects/geo/query/acc.cgi?acc=GSE12665	Transcription Factors,Breast Cancer,Cancer
	Radtke-Downing-2009	0.17	Genomic analysis reveals few genetic alterations in pediatric acute myeloid leukemia.	Radtke, Mullighan, Ishii, Su, Cheng, Ma, Ganti, Cai, Goorha, Pounds, Cao, Obert, Armstrong, Zhang, Song, Ribeiro, Rubnitz, Raimondi, Shurtleff, Downing	2009	Proc Natl Acad Sci U S A	19651601	http://www.ncbi.nlm.nih.gov/pubmed/19651601	Pearson correlation	502548	GEO	http://www.ncbi.nlm.nih.gov/projects/geo/query/acc.cgi?acc=GSE14471	Transcription Factors,Nervous System,Cancer
	Liu-Hsieh-2012	0.17	Major Functional Transcriptome of an Inferred Center Regulator of an ER(-) Breast Cancer Model System.	Liu, Chang, Kuo, Hwa, Lin, Huang, Chen, Chang, Hsieh	2012	Cancer Inform	22553414	http://www.ncbi.nlm.nih.gov/pubmed/22553414	Pearson correlation	505925	GEO	http://www.ncbi.nlm.nih.gov/projects/geo/query/acc.cgi?acc=GSE32641	
