GeneMANIA Results
Plugin Version	3.4.1 (20160523-2245)
Data Version	2014-08-12
Report Generated	Tue Nov 15 12:37:14 GMT 2016

Gene	Score	Description
FASLG	TNFRSF10B	0.010032236791569461	Physical interactions	BIOGRID-SMALL-SCALE-STUDIES
FBXW7	CREB3L2	0.0267839027033727	Physical interactions	BIOGRID-SMALL-SCALE-STUDIES
FBXW7	JAG1	0.020059574472146558	Physical interactions	BIOGRID-SMALL-SCALE-STUDIES
HSP90AB1	ACTN1	0.005092724584911373	Physical interactions	BIOGRID-SMALL-SCALE-STUDIES
HSP90AB1	AKT1	0.0017269832843585038	Physical interactions	BIOGRID-SMALL-SCALE-STUDIES
HSP90AB1	CTNNB1	0.00152824040315602	Physical interactions	BIOGRID-SMALL-SCALE-STUDIES
HSP90AB1	RPSA	0.011478983524038543	Physical interactions	BIOGRID-SMALL-SCALE-STUDIES
IKBKB	BCL2	0.002909298997697977	Physical interactions	BIOGRID-SMALL-SCALE-STUDIES
IKBKB	CASP8	0.0035224179731614806	Physical interactions	BIOGRID-SMALL-SCALE-STUDIES
IKBKB	CSF2RB	0.014031680169590655	Physical interactions	BIOGRID-SMALL-SCALE-STUDIES
IKBKB	IRAK1	0.004177581600222826	Physical interactions	BIOGRID-SMALL-SCALE-STUDIES
IKBKB	NFKBIA	0.0034440968682717637	Physical interactions	BIOGRID-SMALL-SCALE-STUDIES
IKBKB	RIPK1	0.0043256492311868865	Physical interactions	BIOGRID-SMALL-SCALE-STUDIES
IKBKB	TAB2	0.004654914475920644	Physical interactions	BIOGRID-SMALL-SCALE-STUDIES
IKBKB	TNF	0.006496693160628245	Physical interactions	BIOGRID-SMALL-SCALE-STUDIES
IKBKB	TNFRSF1A	0.003399797525076058	Physical interactions	BIOGRID-SMALL-SCALE-STUDIES
IKBKG	AKT1	0.00140524497679756	Physical interactions	BIOGRID-SMALL-SCALE-STUDIES
IKBKG	ANXA1	0.011434621495367543	Physical interactions	BIOGRID-SMALL-SCALE-STUDIES
IKBKG	ATM	0.0023874078112074166	Physical interactions	BIOGRID-SMALL-SCALE-STUDIES
IKBKG	BCL2	0.002504013006466586	Physical interactions	BIOGRID-SMALL-SCALE-STUDIES
IKBKG	BIRC2	0.002984514193291354	Physical interactions	BIOGRID-SMALL-SCALE-STUDIES
IKBKG	BIRC3	0.003919966421041744	Physical interactions	BIOGRID-SMALL-SCALE-STUDIES
IKBKG	CHUK	0.0026691336395133144	Physical interactions	BIOGRID-SMALL-SCALE-STUDIES
IKBKG	FADD	0.004386066399940144	Physical interactions	BIOGRID-SMALL-SCALE-STUDIES
IKBKG	IKBKB	0.0024206708233701297	Physical interactions	BIOGRID-SMALL-SCALE-STUDIES
IKBKG	IRAK1	0.0035956150368239488	Physical interactions	BIOGRID-SMALL-SCALE-STUDIES
IKBKG	IRAK4	0.007163711433637646	Physical interactions	BIOGRID-SMALL-SCALE-STUDIES
IKBKG	MYD88	0.004204794471263082	Physical interactions	BIOGRID-SMALL-SCALE-STUDIES
IKBKG	NFKB1	0.002392371025898498	Physical interactions	BIOGRID-SMALL-SCALE-STUDIES
IKBKG	NFKBIA	0.002964309898762811	Physical interactions	BIOGRID-SMALL-SCALE-STUDIES
IKBKG	NSFL1C	0.010007448515293142	Physical interactions	BIOGRID-SMALL-SCALE-STUDIES
IKBKG	PPP2CA	0.003066285268479827	Physical interactions	BIOGRID-SMALL-SCALE-STUDIES
IKBKG	RIPK1	0.0037230557426794157	Physical interactions	BIOGRID-SMALL-SCALE-STUDIES
IKBKG	RNF7	0.005445906465805681	Physical interactions	BIOGRID-SMALL-SCALE-STUDIES
IKBKG	TAB2	0.004006451670888222	Physical interactions	BIOGRID-SMALL-SCALE-STUDIES
IKBKG	TNF	0.005591657286985951	Physical interactions	BIOGRID-SMALL-SCALE-STUDIES
IKBKG	TNFRSF1A	0.002926181529325202	Physical interactions	BIOGRID-SMALL-SCALE-STUDIES
IKBKG	TRAF2	0.0017660971772527462	Physical interactions	BIOGRID-SMALL-SCALE-STUDIES
IL1R1	IL1B	0.06582457782789036	Physical interactions	BIOGRID-SMALL-SCALE-STUDIES
IL1R1	IL1RAP	0.04228609449168673	Physical interactions	BIOGRID-SMALL-SCALE-STUDIES
IL3RA	IL3	0.36681417119472653	Physical interactions	BIOGRID-SMALL-SCALE-STUDIES
IRAK1	IL1R1	0.013699509552352569	Physical interactions	BIOGRID-SMALL-SCALE-STUDIES
IRAK1	IL1RAP	0.019153799420456204	Physical interactions	BIOGRID-SMALL-SCALE-STUDIES
IRAK1	IRAK2	0.018775444641093264	Physical interactions	BIOGRID-SMALL-SCALE-STUDIES
IRAK1	IRAK3	0.07776881011312882	Physical interactions	BIOGRID-SMALL-SCALE-STUDIES
IRAK1	IRAK4	0.012363098333034318	Physical interactions	BIOGRID-SMALL-SCALE-STUDIES
IRAK1	MYD88	0.007256613577183767	Physical interactions	BIOGRID-SMALL-SCALE-STUDIES
IRAK1	TAB2	0.006914314575548083	Physical interactions	BIOGRID-SMALL-SCALE-STUDIES
IRAK2	IL1R1	0.041450790394595184	Physical interactions	BIOGRID-SMALL-SCALE-STUDIES
IRAK2	MYD88	0.02195643355086672	Physical interactions	BIOGRID-SMALL-SCALE-STUDIES
IRAK4	IL1R1	0.027294170414333154	Physical interactions	BIOGRID-SMALL-SCALE-STUDIES
IRAK4	MYD88	0.014457689525123402	Physical interactions	BIOGRID-SMALL-SCALE-STUDIES
MYD88	IL1R1	0.016020520681210737	Physical interactions	BIOGRID-SMALL-SCALE-STUDIES
MYD88	IL1RAP	0.022398894298106105	Physical interactions	BIOGRID-SMALL-SCALE-STUDIES
MYD88	IRAK3	0.09094462761888833	Physical interactions	BIOGRID-SMALL-SCALE-STUDIES
NACA	FADD	0.038370567960892984	Physical interactions	BIOGRID-SMALL-SCALE-STUDIES
NFKB1	IKBKB	0.0027795874324976245	Physical interactions	BIOGRID-SMALL-SCALE-STUDIES
NFKB1	NFKBIA	0.0034038323707144534	Physical interactions	BIOGRID-SMALL-SCALE-STUDIES
NFKB1	TAB2	0.00460049469037851	Physical interactions	BIOGRID-SMALL-SCALE-STUDIES
NFKB1	ZFP36	0.009247066325191096	Physical interactions	BIOGRID-SMALL-SCALE-STUDIES
NFKBIA	PTPN13	0.020820007718291834	Physical interactions	BIOGRID-SMALL-SCALE-STUDIES
NFKBIA	RNF7	0.007748360992108129	Physical interactions	BIOGRID-SMALL-SCALE-STUDIES
NFKBIA	TNF	0.00795573362101714	Physical interactions	BIOGRID-SMALL-SCALE-STUDIES
NFKBIA	UBE2L3	0.005397830960923933	Physical interactions	BIOGRID-SMALL-SCALE-STUDIES
NTRK1	NGF	0.06767257513866307	Physical interactions	BIOGRID-SMALL-SCALE-STUDIES
OTUB1	BIRC2	0.008748763314316323	Physical interactions	BIOGRID-SMALL-SCALE-STUDIES
OTUB1	BIRC3	0.011490935176468733	Physical interactions	BIOGRID-SMALL-SCALE-STUDIES
PABPC1	HBB	0.013988136172190033	Physical interactions	BIOGRID-SMALL-SCALE-STUDIES
PABPC1	ZFP36	0.011496653453310211	Physical interactions	BIOGRID-SMALL-SCALE-STUDIES
PFDN5	PFDN1	0.09738831779917399	Physical interactions	BIOGRID-SMALL-SCALE-STUDIES
PIK3CG	PIK3CD	0.08450022946146989	Physical interactions	BIOGRID-SMALL-SCALE-STUDIES
PIK3CG	PIK3R5	0.3065581648129428	Physical interactions	BIOGRID-SMALL-SCALE-STUDIES
PIK3R1	IL1R1	0.008693689160486824	Physical interactions	BIOGRID-SMALL-SCALE-STUDIES
PIK3R1	NFKBIA	0.0032464742417510966	Physical interactions	BIOGRID-SMALL-SCALE-STUDIES
PIK3R1	PIK3CA	0.006038140683142293	Physical interactions	BIOGRID-SMALL-SCALE-STUDIES
PIK3R1	PIK3CB	0.021108472093369704	Physical interactions	BIOGRID-SMALL-SCALE-STUDIES
PIK3R1	PIK3CD	0.019585095912909842	Physical interactions	BIOGRID-SMALL-SCALE-STUDIES
PIK3R1	TNFRSF1A	0.0032047166385740663	Physical interactions	BIOGRID-SMALL-SCALE-STUDIES
PIK3R2	PIK3CA	0.017490238094817236	Physical interactions	BIOGRID-SMALL-SCALE-STUDIES
PIK3R2	PIK3CD	0.05673070686227147	Physical interactions	BIOGRID-SMALL-SCALE-STUDIES
PIK3R3	PIK3CA	0.06161680650566242	Physical interactions	BIOGRID-SMALL-SCALE-STUDIES
PPP2CA	AKT1	0.002068143310763187	Physical interactions	BIOGRID-SMALL-SCALE-STUDIES
PPP2CA	AKT3	0.026685192083975396	Physical interactions	BIOGRID-SMALL-SCALE-STUDIES
PPP2CA	BCL2	0.00368523484407991	Physical interactions	BIOGRID-SMALL-SCALE-STUDIES
PPP2CA	CHUK	0.003928247994897928	Physical interactions	BIOGRID-SMALL-SCALE-STUDIES
PPP2CA	IKBKB	0.003562577238540805	Physical interactions	BIOGRID-SMALL-SCALE-STUDIES
PPP2CA	IRAK1	0.0052917796170892555	Physical interactions	BIOGRID-SMALL-SCALE-STUDIES
PPP2CA	PABPC1	0.00437748444636297	Physical interactions	BIOGRID-SMALL-SCALE-STUDIES
PPP2CA	RELA	0.0022141328189455457	Physical interactions	BIOGRID-SMALL-SCALE-STUDIES
PRKACA	BAD	0.010366288540355796	Physical interactions	BIOGRID-SMALL-SCALE-STUDIES
PRKACA	RELA	0.0021131882140123567	Physical interactions	BIOGRID-SMALL-SCALE-STUDIES
PRKACB	ERH	0.08109084758250129	Physical interactions	BIOGRID-SMALL-SCALE-STUDIES
PRKACB	PRKAR2B	0.06741907394198739	Physical interactions	BIOGRID-SMALL-SCALE-STUDIES
PRKAR1A	PRKACB	0.030504660640462193	Physical interactions	BIOGRID-SMALL-SCALE-STUDIES
PRKAR1A	PRKAR1B	0.10402461406608857	Physical interactions	BIOGRID-SMALL-SCALE-STUDIES
PRKAR1A	PRKX	0.2295191248209755	Physical interactions	BIOGRID-SMALL-SCALE-STUDIES
PRKAR2A	PPP3CC	0.09902903665107297	Physical interactions	BIOGRID-SMALL-SCALE-STUDIES
PTPN13	ARHGAP29	0.16004440296751551	Physical interactions	BIOGRID-SMALL-SCALE-STUDIES
RELA	ANXA1	0.008256821886427696	Physical interactions	BIOGRID-SMALL-SCALE-STUDIES
RELA	CHUK	0.001927353860583549	Physical interactions	BIOGRID-SMALL-SCALE-STUDIES
RELA	IKBKB	0.0017479413646363639	Physical interactions	BIOGRID-SMALL-SCALE-STUDIES
RELA	NFKB1	0.0017275064669792432	Physical interactions	BIOGRID-SMALL-SCALE-STUDIES
RELA	NFKBIA	0.002140497524245375	Physical interactions	BIOGRID-SMALL-SCALE-STUDIES
RELA	PIAS3	0.003697817322288642	Physical interactions	BIOGRID-SMALL-SCALE-STUDIES
RELA	PPP2CB	0.010968980169924137	Physical interactions	BIOGRID-SMALL-SCALE-STUDIES
RELA	STAT3	0.0015714253063859435	Physical interactions	BIOGRID-SMALL-SCALE-STUDIES
RELA	UBE2L3	0.0027394965254872875	Physical interactions	BIOGRID-SMALL-SCALE-STUDIES
RIPK1	ANXA1	0.02043324571047743	Physical interactions	BIOGRID-SMALL-SCALE-STUDIES
RIPK1	BIRC3	0.007004835238322326	Physical interactions	BIOGRID-SMALL-SCALE-STUDIES
RIPK1	CASP10	0.010474021329880765	Physical interactions	BIOGRID-SMALL-SCALE-STUDIES
RIPK1	CFLAR	0.012710753680893935	Physical interactions	BIOGRID-SMALL-SCALE-STUDIES
RIPK1	FADD	0.007837739134092815	Physical interactions	BIOGRID-SMALL-SCALE-STUDIES
RIPK1	FAS	0.00870445177439918	Physical interactions	BIOGRID-SMALL-SCALE-STUDIES
RIPK1	TNF	0.009992086319175359	Physical interactions	BIOGRID-SMALL-SCALE-STUDIES
RIPK1	TNFRSF10B	0.014972791676088129	Physical interactions	BIOGRID-SMALL-SCALE-STUDIES
RIPK1	TNFSF10	0.02190682976842436	Physical interactions	BIOGRID-SMALL-SCALE-STUDIES
RIPK1	TRADD	0.010057804523439053	Physical interactions	BIOGRID-SMALL-SCALE-STUDIES
RUVBL2	CTNNB1	0.002123649880914355	Physical interactions	BIOGRID-SMALL-SCALE-STUDIES
RUVBL2	NFKB1	0.004085600450967593	Physical interactions	BIOGRID-SMALL-SCALE-STUDIES
SERBP1	PIAS3	0.023051839823733898	Physical interactions	BIOGRID-SMALL-SCALE-STUDIES
STAT3	CAPN1	0.004366864222082282	Physical interactions	BIOGRID-SMALL-SCALE-STUDIES
STAT3	IL1RAP	0.011592694408936085	Physical interactions	BIOGRID-SMALL-SCALE-STUDIES
STAT3	IRAK1	0.0037557080678361915	Physical interactions	BIOGRID-SMALL-SCALE-STUDIES
STAT3	NFKB1	0.0024988900998180763	Physical interactions	BIOGRID-SMALL-SCALE-STUDIES
STAT3	PIAS3	0.005349004364917371	Physical interactions	BIOGRID-SMALL-SCALE-STUDIES
TAB2	RIPK1	0.007159382448461323	Physical interactions	BIOGRID-SMALL-SCALE-STUDIES
TAB2	TNF	0.010752676137186529	Physical interactions	BIOGRID-SMALL-SCALE-STUDIES
TARDBP	PABPC1	0.015238382943800083	Physical interactions	BIOGRID-SMALL-SCALE-STUDIES
TCF4	ID2	0.020383945995136963	Physical interactions	BIOGRID-SMALL-SCALE-STUDIES
TNF	DCN	0.025073897397077792	Physical interactions	BIOGRID-SMALL-SCALE-STUDIES
TNF	FAS	0.013073216415868262	Physical interactions	BIOGRID-SMALL-SCALE-STUDIES
TNF	TRADD	0.015105817629427998	Physical interactions	BIOGRID-SMALL-SCALE-STUDIES
TNFRSF10A	TNFRSF10B	0.05126915342108466	Physical interactions	BIOGRID-SMALL-SCALE-STUDIES
TNFRSF10A	TNFSF10	0.07501236922147306	Physical interactions	BIOGRID-SMALL-SCALE-STUDIES
TNFRSF10D	TNFSF10	0.3817441381963342	Physical interactions	BIOGRID-SMALL-SCALE-STUDIES
TNFRSF1A	BID	0.010105769974183177	Physical interactions	BIOGRID-SMALL-SCALE-STUDIES
TNFRSF1A	BIRC2	0.0041917073891604515	Physical interactions	BIOGRID-SMALL-SCALE-STUDIES
TNFRSF1A	BIRC3	0.005505537087848549	Physical interactions	BIOGRID-SMALL-SCALE-STUDIES
TNFRSF1A	CASP10	0.00823218734557043	Physical interactions	BIOGRID-SMALL-SCALE-STUDIES
TNFRSF1A	CASP8	0.004258007915961624	Physical interactions	BIOGRID-SMALL-SCALE-STUDIES
TNFRSF1A	FADD	0.006160167462902853	Physical interactions	BIOGRID-SMALL-SCALE-STUDIES
TNFRSF1A	FAS	0.006841371941167698	Physical interactions	BIOGRID-SMALL-SCALE-STUDIES
TNFRSF1A	FASLG	0.0035035785768552192	Physical interactions	BIOGRID-SMALL-SCALE-STUDIES
TNFRSF1A	PIK3CA	0.007743409690493801	Physical interactions	BIOGRID-SMALL-SCALE-STUDIES
TNFRSF1A	RIPK1	0.005228978982051329	Physical interactions	BIOGRID-SMALL-SCALE-STUDIES
TNFRSF1A	TNF	0.007853403695444378	Physical interactions	BIOGRID-SMALL-SCALE-STUDIES
TNFRSF1A	TNFRSF10B	0.011768050360426502	Physical interactions	BIOGRID-SMALL-SCALE-STUDIES
TNFRSF1A	TRADD	0.007905055959798898	Physical interactions	BIOGRID-SMALL-SCALE-STUDIES
TNFSF10	TNFRSF10B	0.049302297641678344	Physical interactions	BIOGRID-SMALL-SCALE-STUDIES
TP53	ATM	8.28935068432433E-4	Physical interactions	BIOGRID-SMALL-SCALE-STUDIES
TP53	BAX	0.0016273338010551854	Physical interactions	BIOGRID-SMALL-SCALE-STUDIES
TP53	BCL2	8.694216597777833E-4	Physical interactions	BIOGRID-SMALL-SCALE-STUDIES
TP53	CASP8	0.001052647545775864	Physical interactions	BIOGRID-SMALL-SCALE-STUDIES
TP53	CFLAR	0.0024697305753074304	Physical interactions	BIOGRID-SMALL-SCALE-STUDIES
TP53	IKBKB	8.404842999663483E-4	Physical interactions	BIOGRID-SMALL-SCALE-STUDIES
TP53	KAT7	0.002733785907052292	Physical interactions	BIOGRID-SMALL-SCALE-STUDIES
TP53	NFKBIA	0.001029241895514615	Physical interactions	BIOGRID-SMALL-SCALE-STUDIES
TP53	OTUB1	0.0021205614157661186	Physical interactions	BIOGRID-SMALL-SCALE-STUDIES
TP53	PRKD1	0.002893225988000592	Physical interactions	BIOGRID-SMALL-SCALE-STUDIES
TP53	PSMD4	8.481257586805679E-4	Physical interactions	BIOGRID-SMALL-SCALE-STUDIES
TP53	PSMD6	0.0025505349894107956	Physical interactions	BIOGRID-SMALL-SCALE-STUDIES
TP53	SERBP1	0.0032563351492111182	Physical interactions	BIOGRID-SMALL-SCALE-STUDIES
TP53	ZMYND11	0.0026590744644187595	Physical interactions	BIOGRID-SMALL-SCALE-STUDIES
TRADD	TNFRSF10A	0.03443947727896603	Physical interactions	BIOGRID-SMALL-SCALE-STUDIES
TRADD	TNFRSF10B	0.022635540193044288	Physical interactions	BIOGRID-SMALL-SCALE-STUDIES
TRADD	ZMYND11	0.02068903875620466	Physical interactions	BIOGRID-SMALL-SCALE-STUDIES
TRAF2	BIRC2	0.002529905227855357	Physical interactions	BIOGRID-SMALL-SCALE-STUDIES
TRAF2	BIRC3	0.0033228671300749215	Physical interactions	BIOGRID-SMALL-SCALE-STUDIES
TRAF2	CASP8	0.0025699209690242756	Physical interactions	BIOGRID-SMALL-SCALE-STUDIES
TRAF2	CFLAR	0.0060295700753525035	Physical interactions	BIOGRID-SMALL-SCALE-STUDIES
TRAF2	CHUK	0.0022625642979064637	Physical interactions	BIOGRID-SMALL-SCALE-STUDIES
TRAF2	FADD	0.0037179697098399037	Physical interactions	BIOGRID-SMALL-SCALE-STUDIES
TRAF2	IKBKB	0.0020519479083843987	Physical interactions	BIOGRID-SMALL-SCALE-STUDIES
TRAF2	RIPK1	0.0031559504588853237	Physical interactions	BIOGRID-SMALL-SCALE-STUDIES
TRAF2	TAB2	0.003396178786189967	Physical interactions	BIOGRID-SMALL-SCALE-STUDIES
TRAF2	TNF	0.004739921936960371	Physical interactions	BIOGRID-SMALL-SCALE-STUDIES
TRAF2	TNFRSF10A	0.010806461976858589	Physical interactions	BIOGRID-SMALL-SCALE-STUDIES
TRAF2	TNFRSF10B	0.00710260756110298	Physical interactions	BIOGRID-SMALL-SCALE-STUDIES
TRAF2	TNFRSF1A	0.002480458300923581	Physical interactions	BIOGRID-SMALL-SCALE-STUDIES
TRAF2	TNFSF10	0.010391890309587539	Physical interactions	BIOGRID-SMALL-SCALE-STUDIES
TRAF2	TRADD	0.004771097040599764	Physical interactions	BIOGRID-SMALL-SCALE-STUDIES
TRAF2	XIAP	0.0022485990518603203	Physical interactions	BIOGRID-SMALL-SCALE-STUDIES
TRAF2	ZMYND11	0.006491831490734249	Physical interactions	BIOGRID-SMALL-SCALE-STUDIES
UBE2L3	ARIH1	0.025022637129677387	Physical interactions	BIOGRID-SMALL-SCALE-STUDIES
UBE2L3	BIRC2	0.005434621945673666	Physical interactions	BIOGRID-SMALL-SCALE-STUDIES
UBE2L3	BIRC3	0.007138024003711155	Physical interactions	BIOGRID-SMALL-SCALE-STUDIES
XIAP	AIFM1	0.013030565331934753	Physical interactions	BIOGRID-SMALL-SCALE-STUDIES
XIAP	AKT2	0.010986305187259335	Physical interactions	BIOGRID-SMALL-SCALE-STUDIES
XIAP	APAF1	0.01198112197833844	Physical interactions	BIOGRID-SMALL-SCALE-STUDIES
XIAP	BAX	0.005967332191368817	Physical interactions	BIOGRID-SMALL-SCALE-STUDIES
XIAP	BIRC2	0.0037998902657771587	Physical interactions	BIOGRID-SMALL-SCALE-STUDIES
XIAP	BIRC3	0.004990910325375209	Physical interactions	BIOGRID-SMALL-SCALE-STUDIES
XIAP	CASP3	0.004088277489500822	Physical interactions	BIOGRID-SMALL-SCALE-STUDIES
XIAP	CASP7	0.008270884422600657	Physical interactions	BIOGRID-SMALL-SCALE-STUDIES
XIAP	CASP9	0.009114290546463042	Physical interactions	BIOGRID-SMALL-SCALE-STUDIES
XIAP	RIPK1	0.004740203312487491	Physical interactions	BIOGRID-SMALL-SCALE-STUDIES
XIAP	TAB2	0.005101024028382687	Physical interactions	BIOGRID-SMALL-SCALE-STUDIES
XIAP	UBE2L3	0.004830332829241673	Physical interactions	BIOGRID-SMALL-SCALE-STUDIES
ZFP36	TNF	0.021613044219063446	Physical interactions	BIOGRID-SMALL-SCALE-STUDIES
PIK3R1	PIK3R2	0.1303413725705227	Physical interactions	Brehme-Superti-Furga-2009
PIK3R2	PIK3CB	0.13840094430066424	Physical interactions	Brehme-Superti-Furga-2009
PIK3R2	PIK3CD	0.13840094430066424	Physical interactions	Brehme-Superti-Furga-2009
PIK3R2	PIK3R3	0.13840094430066424	Physical interactions	Brehme-Superti-Furga-2009
CYCS	TNFRSF10D	0.013866899222611143	Physical interactions	Ewing-Figeys-2007
DFFA	DFFB	0.11528117657617146	Physical interactions	Ewing-Figeys-2007
RUVBL2	PLOD2	0.10912891184191698	Physical interactions	Ewing-Figeys-2007
SF3A1	TNFRSF10D	0.01392847326401714	Physical interactions	Ewing-Figeys-2007
SF3B1	CFLAR	0.020362121581771933	Physical interactions	Ewing-Figeys-2007
IKBKG	AKT1	0.025580797390589563	Physical interactions	Fenner-Prehn-2010
IKBKG	PFDN5	0.025580797390589563	Physical interactions	Fenner-Prehn-2010
IKBKG	RNF7	0.025580797390589563	Physical interactions	Fenner-Prehn-2010
TARDBP	CELF1	0.07054835044840026	Physical interactions	Freibaum-Taylor-2010
TARDBP	DDX5	0.07054835044840026	Physical interactions	Freibaum-Taylor-2010
TARDBP	FAM120A	0.07054835044840026	Physical interactions	Freibaum-Taylor-2010
TARDBP	HNRNPUL1	0.07054835044840026	Physical interactions	Freibaum-Taylor-2010
TARDBP	NACA	0.07054835044840026	Physical interactions	Freibaum-Taylor-2010
TARDBP	PABPC1	0.07054835044840026	Physical interactions	Freibaum-Taylor-2010
TARDBP	PRPF3	0.07054835044840026	Physical interactions	Freibaum-Taylor-2010
TARDBP	RPL12	0.07054835044840026	Physical interactions	Freibaum-Taylor-2010
TARDBP	RPL15	0.07054835044840026	Physical interactions	Freibaum-Taylor-2010
TARDBP	RPSA	0.07054835044840026	Physical interactions	Freibaum-Taylor-2010
TARDBP	RUVBL2	0.07054835044840026	Physical interactions	Freibaum-Taylor-2010
TARDBP	SERBP1	0.07054835044840026	Physical interactions	Freibaum-Taylor-2010
TARDBP	SKIV2L2	0.07054835044840026	Physical interactions	Freibaum-Taylor-2010
CCT3	PPP2CB	0.004486897838616392	Physical interactions	Glatter-Gstaiger-2009
PPP2CA	CCT3	0.005177011953162175	Physical interactions	Glatter-Gstaiger-2009
PPP2CA	PPFIA1	0.013110702730607205	Physical interactions	Glatter-Gstaiger-2009
PPP2CB	PFDN5	0.026519784028024296	Physical interactions	Glatter-Gstaiger-2009
PPP2CB	PPFIA1	0.011362998304526518	Physical interactions	Glatter-Gstaiger-2009
HNRNPUL1	HNRNPH3	0.06822311206793218	Physical interactions	Havugimana-Emili-2012
IKBKG	CIAPIN1	0.2540451088391243	Physical interactions	Havugimana-Emili-2012
PABPC1	PRPF3	0.029935298320133526	Physical interactions	Havugimana-Emili-2012
PABPC1	RPSA	0.015888434710936043	Physical interactions	Havugimana-Emili-2012
PFDN5	PFDN1	0.147377169200362	Physical interactions	Havugimana-Emili-2012
PIK3R1	PIK3CB	0.916401999951085	Physical interactions	Havugimana-Emili-2012
PPP2CA	CLNS1A	0.02683093570331319	Physical interactions	Havugimana-Emili-2012
PPP3CA	PPP3R1	0.5795835105399472	Physical interactions	Havugimana-Emili-2012
PRKACA	PRKACB	0.7013837141288457	Physical interactions	Havugimana-Emili-2012
PRKACB	PRKAR2A	0.4998530293866617	Physical interactions	Havugimana-Emili-2012
PRPF3	SON	0.018037869728224527	Physical interactions	Havugimana-Emili-2012
PSMD4	PSMD6	0.025301611917832752	Physical interactions	Havugimana-Emili-2012
RPL15	RPL12	0.01043140039574368	Physical interactions	Havugimana-Emili-2012
RPL15	RPSA	0.00801513866233139	Physical interactions	Havugimana-Emili-2012
RPSA	RPL12	0.008108863723774676	Physical interactions	Havugimana-Emili-2012
RPSA	RPLP2	0.015055504936722216	Physical interactions	Havugimana-Emili-2012
SF3A1	DDX5	0.011761555118476884	Physical interactions	Havugimana-Emili-2012
SF3A1	PRPF3	0.013351887204740903	Physical interactions	Havugimana-Emili-2012
SF3A1	SF3B1	0.00913934524291213	Physical interactions	Havugimana-Emili-2012
SF3A1	SKIV2L2	0.05011596651504159	Physical interactions	Havugimana-Emili-2012
SF3B1	SON	0.012346893590344448	Physical interactions	Havugimana-Emili-2012
SON	SRSF11	0.015531218277988819	Physical interactions	Havugimana-Emili-2012
TARDBP	SF3B1	0.0375746201143474	Physical interactions	Havugimana-Emili-2012
CLNS1A	SNRPF	0.062122496309543064	Physical interactions	Hegele-Stelzl-2012 B
DDX5	HNRNPH3	0.06719853949151147	Physical interactions	Hegele-Stelzl-2012 B
HNRNPUL1	HNRNPH3	0.0553135124384434	Physical interactions	Hegele-Stelzl-2012 B
CCT3	PDCL3	0.12035067076522936	Physical interactions	Hutchins-Peters-2010
SF3A1	SF3B1	0.10555893342676925	Physical interactions	Hutchins-Peters-2010
SF3A1	SNRPF	0.10555893342676925	Physical interactions	Hutchins-Peters-2010
ATM	BID	0.03446058522868493	Physical interactions	IREF-BIND
BAX	BID	0.033079933671643406	Physical interactions	IREF-BIND
BCL2	BAD	0.03489926034297629	Physical interactions	IREF-BIND
BCL2	BAX	0.017285603720955816	Physical interactions	IREF-BIND
BCL2	BID	0.02428663699470462	Physical interactions	IREF-BIND
BCL2L1	BAD	0.027799292503263948	Physical interactions	IREF-BIND
BCL2L1	BAX	0.013768988314457971	Physical interactions	IREF-BIND
BCL2L1	BID	0.019345719379382877	Physical interactions	IREF-BIND
BCL2L1	CFLAR	0.03504487241833099	Physical interactions	IREF-BIND
BCL2L1	CYCS	0.06487981079009977	Physical interactions	IREF-BIND
CAPN1	BAX	0.01180842754935391	Physical interactions	IREF-BIND
CAPN1	CREG1	0.11383272172444919	Physical interactions	IREF-BIND
CASP3	BIRC3	0.035446015178084045	Physical interactions	IREF-BIND
CASP3	CFLAR	0.03243090809904709	Physical interactions	IREF-BIND
CASP7	BIRC2	0.03273642867098346	Physical interactions	IREF-BIND
CASP7	BIRC3	0.04780221897828007	Physical interactions	IREF-BIND
CASP8	CFLAR	0.05151338773950409	Physical interactions	IREF-BIND
CASP8	FADD	0.03037174417574688	Physical interactions	IREF-BIND
CASP8	FAS	0.05083960345739347	Physical interactions	IREF-BIND
CASP9	APAF1	0.29481417718520303	Physical interactions	IREF-BIND
CHUK	AKT2	0.056715762289915865	Physical interactions	IREF-BIND
CHUK	IKBKB	0.03084557570581344	Physical interactions	IREF-BIND
CHUK	NFKBIA	0.01961336429232447	Physical interactions	IREF-BIND
CTNNB1	NFKB1	0.020217996519834063	Physical interactions	IREF-BIND
FADD	CFLAR	0.08992414281409035	Physical interactions	IREF-BIND
FADD	TRADD	0.05863681585009339	Physical interactions	IREF-BIND
FAS	FADD	0.08874795455378338	Physical interactions	IREF-BIND
IKBKB	NFKBIA	0.029534822295731327	Physical interactions	IREF-BIND
IKBKG	IKBKB	0.036267896244041274	Physical interactions	IREF-BIND
IL1R1	IL1B	0.2728220257224944	Physical interactions	IREF-BIND
IRAK1	IRAK2	0.08137397877199563	Physical interactions	IREF-BIND
IRAK1	IRAK3	0.09432608093038534	Physical interactions	IREF-BIND
IRAK1	MYD88	0.10768732722170173	Physical interactions	IREF-BIND
IRAK2	IRAK3	0.08780057021608027	Physical interactions	IREF-BIND
IRAK2	MYD88	0.10023748455408757	Physical interactions	IREF-BIND
MYD88	IRAK3	0.11619203911338112	Physical interactions	IREF-BIND
