GeneMANIA Results
Plugin Version	3.4.1 (20160523-2245)
Data Version	2014-08-12
Report Generated	Tue Jan 17 13:28:01 GMT 2017

Gene	Score	Description
F2	THBD	0.528812996023486	Physical interactions	BIOGRID-SMALL-SCALE-STUDIES
F7	F3	1.4769561636442334	Physical interactions	BIOGRID-SMALL-SCALE-STUDIES
F8	F10	0.3208155476281512	Physical interactions	BIOGRID-SMALL-SCALE-STUDIES
F8	PROS1	0.579954026003634	Physical interactions	BIOGRID-SMALL-SCALE-STUDIES
F8	VWF	0.4082493820514712	Physical interactions	BIOGRID-SMALL-SCALE-STUDIES
FGA	F13A1	0.4516369218003987	Physical interactions	BIOGRID-SMALL-SCALE-STUDIES
FGB	FGA	0.259825233837874	Physical interactions	BIOGRID-SMALL-SCALE-STUDIES
FGG	F13B	1.0119960961060015	Physical interactions	BIOGRID-SMALL-SCALE-STUDIES
FGG	FGA	0.3319188135605493	Physical interactions	BIOGRID-SMALL-SCALE-STUDIES
FGG	FGB	0.5013438823578991	Physical interactions	BIOGRID-SMALL-SCALE-STUDIES
GRIA1	GRIA2	0.1287093188758391	Physical interactions	BIOGRID-SMALL-SCALE-STUDIES
GRIA1	GRIA4	0.24483206840692004	Physical interactions	BIOGRID-SMALL-SCALE-STUDIES
GRIA1	GRIK2	0.17092473750502798	Physical interactions	BIOGRID-SMALL-SCALE-STUDIES
GRIA2	GRIK2	0.23582128156323967	Physical interactions	BIOGRID-SMALL-SCALE-STUDIES
HNRNPA1	HNRNPC	0.02386017547324279	Physical interactions	BIOGRID-SMALL-SCALE-STUDIES
HNRNPA1	LMNB1	0.02457725549986217	Physical interactions	BIOGRID-SMALL-SCALE-STUDIES
HNRNPA1	SMN1	0.008780473472296709	Physical interactions	BIOGRID-SMALL-SCALE-STUDIES
HSPA5	PAWR	0.04140413241880041	Physical interactions	BIOGRID-SMALL-SCALE-STUDIES
HSPA5	SOD1	0.02940816379495446	Physical interactions	BIOGRID-SMALL-SCALE-STUDIES
HSPA5	SSR1	0.15242363304409365	Physical interactions	BIOGRID-SMALL-SCALE-STUDIES
HSPA5	VWF	0.0723953709597555	Physical interactions	BIOGRID-SMALL-SCALE-STUDIES
HSPB1	HSF1	0.04016207900862523	Physical interactions	BIOGRID-SMALL-SCALE-STUDIES
HSPB1	PLG	0.05001694738946692	Physical interactions	BIOGRID-SMALL-SCALE-STUDIES
HTT	CD59	0.02540684045818023	Physical interactions	BIOGRID-SMALL-SCALE-STUDIES
HTT	DYNC1H1	0.016501575674936722	Physical interactions	BIOGRID-SMALL-SCALE-STUDIES
HTT	GFAP	0.03950616815742565	Physical interactions	BIOGRID-SMALL-SCALE-STUDIES
HTT	HNRNPC	0.01540220934118794	Physical interactions	BIOGRID-SMALL-SCALE-STUDIES
HTT	OPTN	0.013720099095632085	Physical interactions	BIOGRID-SMALL-SCALE-STUDIES
HTT	PRNP	0.005123940193430361	Physical interactions	BIOGRID-SMALL-SCALE-STUDIES
HTT	SQSTM1	0.004321225586988032	Physical interactions	BIOGRID-SMALL-SCALE-STUDIES
HTT	SYP	0.03510029575616476	Physical interactions	BIOGRID-SMALL-SCALE-STUDIES
KNG1	ECE1	0.37900687802993116	Physical interactions	BIOGRID-SMALL-SCALE-STUDIES
KNG1	F11	0.46866729029094734	Physical interactions	BIOGRID-SMALL-SCALE-STUDIES
KNG1	KLKB1	0.6435891993885259	Physical interactions	BIOGRID-SMALL-SCALE-STUDIES
MASP1	MASP2	0.5183569188268239	Physical interactions	BIOGRID-SMALL-SCALE-STUDIES
MASP1	MBL2	0.6283953001453784	Physical interactions	BIOGRID-SMALL-SCALE-STUDIES
MASP1	SERPING1	0.3394998121980788	Physical interactions	BIOGRID-SMALL-SCALE-STUDIES
MBL2	MASP2	0.6994601795009556	Physical interactions	BIOGRID-SMALL-SCALE-STUDIES
NGFR	NGF	0.23340311928731478	Physical interactions	BIOGRID-SMALL-SCALE-STUDIES
NOS1	BDKRB2	0.4030332721652339	Physical interactions	BIOGRID-SMALL-SCALE-STUDIES
NTRK2	BDNF	1.0538317984526817	Physical interactions	BIOGRID-SMALL-SCALE-STUDIES
OPTN	SOD1	0.07302386389925776	Physical interactions	BIOGRID-SMALL-SCALE-STUDIES
OPTN	TBK1	0.048763975150928104	Physical interactions	BIOGRID-SMALL-SCALE-STUDIES
OPTN	TFRC	0.06747393565132101	Physical interactions	BIOGRID-SMALL-SCALE-STUDIES
PLAT	F10	0.16565887573998583	Physical interactions	BIOGRID-SMALL-SCALE-STUDIES
PLAT	F2	0.10685153352582913	Physical interactions	BIOGRID-SMALL-SCALE-STUDIES
PLAT	FGA	0.12955007729132453	Physical interactions	BIOGRID-SMALL-SCALE-STUDIES
PLAT	PLAU	0.14635987681744264	Physical interactions	BIOGRID-SMALL-SCALE-STUDIES
PLAT	SERPINA5	0.1397498511761843	Physical interactions	BIOGRID-SMALL-SCALE-STUDIES
PLAT	SERPINE1	0.15248533089796187	Physical interactions	BIOGRID-SMALL-SCALE-STUDIES
PLAU	SERPINA5	0.20964062417050228	Physical interactions	BIOGRID-SMALL-SCALE-STUDIES
PLAU	SERPINE1	0.22874531110559695	Physical interactions	BIOGRID-SMALL-SCALE-STUDIES
PLAU	SERPINE2	1.2353680834598944	Physical interactions	BIOGRID-SMALL-SCALE-STUDIES
PLAUR	KNG1	0.18638982073989802	Physical interactions	BIOGRID-SMALL-SCALE-STUDIES
PLAUR	PLAU	0.21460982180047844	Physical interactions	BIOGRID-SMALL-SCALE-STUDIES
PLG	C7	0.33629839445888876	Physical interactions	BIOGRID-SMALL-SCALE-STUDIES
PLG	CPB2	0.23283860291368708	Physical interactions	BIOGRID-SMALL-SCALE-STUDIES
PLG	F10	0.13525243324636624	Physical interactions	BIOGRID-SMALL-SCALE-STUDIES
PLG	F3	0.2876172686155088	Physical interactions	BIOGRID-SMALL-SCALE-STUDIES
PLG	KNG1	0.10378269539427981	Physical interactions	BIOGRID-SMALL-SCALE-STUDIES
PLG	SERPINE1	0.1244968780505697	Physical interactions	BIOGRID-SMALL-SCALE-STUDIES
PLG	SERPINF2	0.13208410862017714	Physical interactions	BIOGRID-SMALL-SCALE-STUDIES
PRNP	HSPA5	0.010670714173114043	Physical interactions	BIOGRID-SMALL-SCALE-STUDIES
PROC	SERPINA5	0.46066925283032073	Physical interactions	BIOGRID-SMALL-SCALE-STUDIES
PROS1	C4BPA	1.0695839821373792	Physical interactions	BIOGRID-SMALL-SCALE-STUDIES
PROS1	F5	0.8716150762300044	Physical interactions	BIOGRID-SMALL-SCALE-STUDIES
PSEN1	GFAP	0.14387076373586627	Physical interactions	BIOGRID-SMALL-SCALE-STUDIES
PSEN1	MAPT	0.032794483045210855	Physical interactions	BIOGRID-SMALL-SCALE-STUDIES
SERPINA1	SSR1	0.5519617062510189	Physical interactions	BIOGRID-SMALL-SCALE-STUDIES
SERPINA5	F11	0.5152540381189376	Physical interactions	BIOGRID-SMALL-SCALE-STUDIES
SERPINA5	KLKB1	0.7075635556029655	Physical interactions	BIOGRID-SMALL-SCALE-STUDIES
SERPINE1	F2	0.16699786072527859	Physical interactions	BIOGRID-SMALL-SCALE-STUDIES
SERPINF2	CFD	1.3258868105766266	Physical interactions	BIOGRID-SMALL-SCALE-STUDIES
SERPING1	C1R	0.5299868434401991	Physical interactions	BIOGRID-SMALL-SCALE-STUDIES
SERPING1	C1S	0.40805862623579015	Physical interactions	BIOGRID-SMALL-SCALE-STUDIES
SERPING1	F2	0.17018526093303582	Physical interactions	BIOGRID-SMALL-SCALE-STUDIES
SERPING1	MASP2	0.3778936581629621	Physical interactions	BIOGRID-SMALL-SCALE-STUDIES
SMN1	HSPB1	0.021581403046523038	Physical interactions	BIOGRID-SMALL-SCALE-STUDIES
SMN1	SMN2	0.07185708135291274	Physical interactions	BIOGRID-SMALL-SCALE-STUDIES
SNCA	DYNC1H1	0.023869601054723497	Physical interactions	BIOGRID-SMALL-SCALE-STUDIES
SNCA	HSPB1	0.014613124388827009	Physical interactions	BIOGRID-SMALL-SCALE-STUDIES
SNCA	MAPT	0.013026055423201649	Physical interactions	BIOGRID-SMALL-SCALE-STUDIES
SNCA	SQSTM1	0.006250672110499427	Physical interactions	BIOGRID-SMALL-SCALE-STUDIES
SOD1	CCS	0.22015052730682896	Physical interactions	BIOGRID-SMALL-SCALE-STUDIES
SOD1	RNF19A	0.22022729573328453	Physical interactions	BIOGRID-SMALL-SCALE-STUDIES
SQSTM1	CHMP2B	0.04091036832667216	Physical interactions	BIOGRID-SMALL-SCALE-STUDIES
SQSTM1	FUS	0.02179473235301675	Physical interactions	BIOGRID-SMALL-SCALE-STUDIES
SQSTM1	GRIA1	0.025623441097440598	Physical interactions	BIOGRID-SMALL-SCALE-STUDIES
SQSTM1	MAPT	0.014666591042933764	Physical interactions	BIOGRID-SMALL-SCALE-STUDIES
SQSTM1	NGFR	0.02033051531158091	Physical interactions	BIOGRID-SMALL-SCALE-STUDIES
SQSTM1	NTRK2	0.028603413776485648	Physical interactions	BIOGRID-SMALL-SCALE-STUDIES
SQSTM1	PAWR	0.032381004709623656	Physical interactions	BIOGRID-SMALL-SCALE-STUDIES
TARDBP	FUS	0.11848826838076877	Physical interactions	BIOGRID-SMALL-SCALE-STUDIES
TARDBP	HNRNPA1	0.03639329219005712	Physical interactions	BIOGRID-SMALL-SCALE-STUDIES
TARDBP	SQSTM1	0.03826192235009287	Physical interactions	BIOGRID-SMALL-SCALE-STUDIES
TARDBP	UBQLN2	0.15901220081395911	Physical interactions	BIOGRID-SMALL-SCALE-STUDIES
TFPI	F10	0.4889164430682494	Physical interactions	BIOGRID-SMALL-SCALE-STUDIES
VCP	HTT	0.0040845883042657915	Physical interactions	BIOGRID-SMALL-SCALE-STUDIES
VCP	RNF19A	0.06370022457063317	Physical interactions	BIOGRID-SMALL-SCALE-STUDIES
VCP	SERPINA1	0.030803095907319184	Physical interactions	BIOGRID-SMALL-SCALE-STUDIES
VCP	TARDBP	0.03616663802879157	Physical interactions	BIOGRID-SMALL-SCALE-STUDIES
OPTN	TBK1	2.9468557630013126	Physical interactions	Blandin-Richard-2013
OPTN	VWF	2.9468557630013126	Physical interactions	Blandin-Richard-2013
VCP	OPTN	2.9468557630013126	Physical interactions	Blandin-Richard-2013
A2M	PROS1	0.4054637805134496	Physical interactions	Dyer-Sobral-2010
PROC	HNRNPDL	1.1983980237664662	Physical interactions	Dyer-Sobral-2010
PROS1	CST3	1.0781881327178402	Physical interactions	Dyer-Sobral-2010
SQSTM1	PROC	1.8620396482009391	Physical interactions	Dyer-Sobral-2010
TARDBP	HNRNPA1	0.4117766524621835	Physical interactions	Freibaum-Taylor-2010
TARDBP	HNRNPC	0.4117766524621835	Physical interactions	Freibaum-Taylor-2010
TARDBP	HNRNPDL	0.4117766524621835	Physical interactions	Freibaum-Taylor-2010
TARDBP	HSPA5	0.4117766524621835	Physical interactions	Freibaum-Taylor-2010
TARDBP	MATR3	0.4117766524621835	Physical interactions	Freibaum-Taylor-2010
VCP	TARDBP	0.4117766524621835	Physical interactions	Freibaum-Taylor-2010
APP	PSEN1	0.13589835054765312	Physical interactions	IREF-BIND
C1QA	C1QB	3.3507183320192486	Physical interactions	IREF-BIND
C3	CR2	2.4236460540000797	Physical interactions	IREF-BIND
C5AR1	C5	3.7584828168010573	Physical interactions	IREF-BIND
CASP3	FUS	0.48821339623061083	Physical interactions	IREF-BIND
CASP3	PSEN1	0.08912257924208801	Physical interactions	IREF-BIND
CREBBP	HSF1	0.48151964400465685	Physical interactions	IREF-BIND
CREBBP	HTT	0.04125903959635038	Physical interactions	IREF-BIND
F2	SERPIND1	2.2843353146036813	Physical interactions	IREF-BIND
F2	THBD	2.2843353146036813	Physical interactions	IREF-BIND
F2R	F2	1.287841098886897	Physical interactions	IREF-BIND
F7	F3	3.7584828168010573	Physical interactions	IREF-BIND
FGB	FGA	1.2925277727527449	Physical interactions	IREF-BIND
FGG	FGA	1.8163326043583579	Physical interactions	IREF-BIND
FGG	FGB	1.637844604906204	Physical interactions	IREF-BIND
HTT	CASP1	0.089965885947652	Physical interactions	IREF-BIND
HTT	CASP3	0.03613471923336659	Physical interactions	IREF-BIND
HTT	OPTN	0.22461148569226796	Physical interactions	IREF-BIND
NGFR	NGF	0.9973396786440427	Physical interactions	IREF-BIND
PRNP	HSPA5	0.8767166046417906	Physical interactions	IREF-BIND
PRNP	PLG	1.1526386058846503	Physical interactions	IREF-BIND
PSEN1	CASP1	0.2218916080448706	Physical interactions	IREF-BIND
SMN1	PFN1	1.361519810249669	Physical interactions	IREF-BIND
SOD1	CCS	2.992598695530507	Physical interactions	IREF-BIND
TARDBP	CASP3	0.3273446403215628	Physical interactions	IREF-BIND
ZNF512B	DCTN1	0.07273329915911211	Physical interactions	IREF-BIND
ZNF512B	RPS27A	0.066750617042662	Physical interactions	IREF-BIND
ZNF512B	VWF	0.6817205718969109	Physical interactions	IREF-BIND
A2M	CPB2	0.2517038278068839	Physical interactions	IREF-BIOGRID
A2M	HSPA5	0.023504491037077333	Physical interactions	IREF-BIOGRID
A2M	NGF	0.37304781880157184	Physical interactions	IREF-BIOGRID
APP	A2M	0.002832597586918069	Physical interactions	IREF-BIOGRID
APP	APEX1	0.00465306598572418	Physical interactions	IREF-BIOGRID
APP	BDNF	0.022314030862253142	Physical interactions	IREF-BIOGRID
APP	C9orf72	0.08741734734552922	Physical interactions	IREF-BIOGRID
APP	CDK5	0.0021805900677811857	Physical interactions	IREF-BIOGRID
APP	GFAP	0.005784476284796395	Physical interactions	IREF-BIOGRID
APP	HNRNPA1	0.0017906219224104877	Physical interactions	IREF-BIOGRID
APP	MAG	0.012332655373711957	Physical interactions	IREF-BIOGRID
APP	MAP2	0.007857718781832333	Physical interactions	IREF-BIOGRID
APP	PSEN1	0.0033404335888656002	Physical interactions	IREF-BIOGRID
APP	RPS27A	0.0040231951731645905	Physical interactions	IREF-BIOGRID
APP	SERPIND1	0.04930977704484716	Physical interactions	IREF-BIOGRID
APP	SLC1A1	0.03908011153158067	Physical interactions	IREF-BIOGRID
APP	SNCA	0.0011333858250030648	Physical interactions	IREF-BIOGRID
APP	SOD2	0.01060585548055364	Physical interactions	IREF-BIOGRID
APP	TARDBP	0.006963268062425695	Physical interactions	IREF-BIOGRID
APP	TBK1	0.003466174930554138	Physical interactions	IREF-BIOGRID
APP	TFPI	0.01602201696662233	Physical interactions	IREF-BIOGRID
APP	TMOD2	0.028886007168517226	Physical interactions	IREF-BIOGRID
C1QA	C1R	1.1763239004697394	Physical interactions	IREF-BIOGRID
C1QA	C1S	1.0600395184117992	Physical interactions	IREF-BIOGRID
C1R	C1S	2.6050919147923244	Physical interactions	IREF-BIOGRID
C2	C4A	5.568381861538772	Physical interactions	IREF-BIOGRID
C3	C5	0.5198806093110822	Physical interactions	IREF-BIOGRID
C3	CFB	0.7945085241919373	Physical interactions	IREF-BIOGRID
C3	CFH	0.6075226767294339	Physical interactions	IREF-BIOGRID
C3	CFI	1.8732788094838724	Physical interactions	IREF-BIOGRID
C5	C6	2.5136901294493805	Physical interactions	IREF-BIOGRID
C5	C7	2.4000767459892325	Physical interactions	IREF-BIOGRID
C5	C8B	3.0900851839616954	Physical interactions	IREF-BIOGRID
C5AR1	C5	1.8969199106221535	Physical interactions	IREF-BIOGRID
C8G	C8A	6.302225878208943	Physical interactions	IREF-BIOGRID
CASP1	MICE	0.5721380057205773	Physical interactions	IREF-BIOGRID
CASP3	HSPB1	0.06967543767185362	Physical interactions	IREF-BIOGRID
CD59	C8A	1.6126953200484047	Physical interactions	IREF-BIOGRID
CD59	C9	2.262076265090085	Physical interactions	IREF-BIOGRID
CDK5	MAPT	0.057796000100530626	Physical interactions	IREF-BIOGRID
CDK5	NEFH	0.1328609014606367	Physical interactions	IREF-BIOGRID
CDK5	NES	0.4279130777845638	Physical interactions	IREF-BIOGRID
CNTF	CNTFR	1.0314953555096393	Physical interactions	IREF-BIOGRID
CPB2	C5	1.2084254443449098	Physical interactions	IREF-BIOGRID
CR2	CR1	3.6131210322480367	Physical interactions	IREF-BIOGRID
CREBBP	HTT	0.009862372567321085	Physical interactions	IREF-BIOGRID
CREBBP	PPARGC1A	0.03899488867284752	Physical interactions	IREF-BIOGRID
CST3	C4A	2.1484734402142047	Physical interactions	IREF-BIOGRID
CYCS	HSPB1	0.1720703118798568	Physical interactions	IREF-BIOGRID
DCTN1	DYNC1H1	0.06974491692725886	Physical interactions	IREF-BIOGRID
DYNC1H1	FUS	0.05911708235292321	Physical interactions	IREF-BIOGRID
EP300	APEX1	0.024388582239912204	Physical interactions	IREF-BIOGRID
EP300	C1R	0.12539634600799845	Physical interactions	IREF-BIOGRID
EP300	CFH	0.08329542553753067	Physical interactions	IREF-BIOGRID
EP300	CREBBP	0.0072639878046387475	Physical interactions	IREF-BIOGRID
EP300	DAO	0.2599003598074054	Physical interactions	IREF-BIOGRID
EP300	MAPT	0.027505416721723606	Physical interactions	IREF-BIOGRID
EP300	PLG	0.03151192976944145	Physical interactions	IREF-BIOGRID
EP300	PPARGC1A	0.02919943147001332	Physical interactions	IREF-BIOGRID
F10	F5	1.6269052351410913	Physical interactions	IREF-BIOGRID
F10	F7	1.3281587125354755	Physical interactions	IREF-BIOGRID
F13A1	F13B	3.004048452314676	Physical interactions	IREF-BIOGRID
F2	CPB2	0.8054566986711127	Physical interactions	IREF-BIOGRID
F2	F5	1.0625459970281936	Physical interactions	IREF-BIOGRID
F2	FGA	0.46310473140856523	Physical interactions	IREF-BIOGRID
F2	SERPIND1	2.2574763855316107	Physical interactions	IREF-BIOGRID
F2	THBD	1.2696102853638338	Physical interactions	IREF-BIOGRID
F7	F3	3.142733301859428	Physical interactions	IREF-BIOGRID
F8	F10	1.0785263065768895	Physical interactions	IREF-BIOGRID
F8	PROS1	1.5956697106571942	Physical interactions	IREF-BIOGRID
F8	VWF	1.0045441382033953	Physical interactions	IREF-BIOGRID
FGA	F13A1	0.8129469906729038	Physical interactions	IREF-BIOGRID
FGB	FGA	0.54673130458547	Physical interactions	IREF-BIOGRID
FGG	F13B	3.6620527439648063	Physical interactions	IREF-BIOGRID
FGG	FGA	0.9910141743894254	Physical interactions	IREF-BIOGRID
FGG	FGB	1.0483896290414365	Physical interactions	IREF-BIOGRID
GRIA1	GRIA2	0.45023853083977877	Physical interactions	IREF-BIOGRID
GRIA1	GRIA4	0.8846876685729289	Physical interactions	IREF-BIOGRID
GRIA1	GRIK2	0.5412106195122514	Physical interactions	IREF-BIOGRID
GRIA2	GRIK2	0.6875794787579121	Physical interactions	IREF-BIOGRID
HNRNPA1	HNRNPC	0.027439602332063117	Physical interactions	IREF-BIOGRID
HNRNPA1	HNRNPDL	0.04827276649903774	Physical interactions	IREF-BIOGRID
HNRNPA1	LMNB1	0.04425002333159316	Physical interactions	IREF-BIOGRID
HNRNPA1	SMN1	0.016762089214719906	Physical interactions	IREF-BIOGRID
HNRNPC	VAPB	0.09688811461454586	Physical interactions	IREF-BIOGRID
HSPA5	CDK5	0.018094224985017872	Physical interactions	IREF-BIOGRID
HSPA5	PAWR	0.0517942833012506	Physical interactions	IREF-BIOGRID
HSPA5	SOD1	0.0506024123972146	Physical interactions	IREF-BIOGRID
HSPA5	SSR1	0.05842423586446615	Physical interactions	IREF-BIOGRID
HSPA5	TUBA4A	0.045866018694058215	Physical interactions	IREF-BIOGRID
HSPA5	VWF	0.10726450269963098	Physical interactions	IREF-BIOGRID
HSPB1	HSF1	0.06590502648717436	Physical interactions	IREF-BIOGRID
HSPB1	PLG	0.10948674799845858	Physical interactions	IREF-BIOGRID
HTT	CD59	0.08193563072075304	Physical interactions	IREF-BIOGRID
HTT	DYNC1H1	0.022304776949989075	Physical interactions	IREF-BIOGRID
HTT	GFAP	0.04116401109457762	Physical interactions	IREF-BIOGRID
HTT	HNRNPC	0.021591094428770077	Physical interactions	IREF-BIOGRID
HTT	OPTN	0.036701157448900526	Physical interactions	IREF-BIOGRID
HTT	PRNP	0.022095201173096546	Physical interactions	IREF-BIOGRID
HTT	SQSTM1	0.008204459355961133	Physical interactions	IREF-BIOGRID
HTT	SYP	0.12374390063492008	Physical interactions	IREF-BIOGRID
KNG1	ECE1	0.6105803565408712	Physical interactions	IREF-BIOGRID
KNG1	F11	1.6982229770967965	Physical interactions	IREF-BIOGRID
KNG1	KLKB1	2.360378192992707	Physical interactions	IREF-BIOGRID
MASP1	MASP2	0.9228757514455488	Physical interactions	IREF-BIOGRID
MASP1	MBL2	1.3507910379135564	Physical interactions	IREF-BIOGRID
MASP1	SERPING1	0.5477745573555246	Physical interactions	IREF-BIOGRID
MBL2	MASP2	2.661243327853858	Physical interactions	IREF-BIOGRID
NGFR	NGF	0.8114582841614685	Physical interactions	IREF-BIOGRID
NOS1	BDKRB2	1.2875882144116084	Physical interactions	IREF-BIOGRID
NTRK2	BDNF	0.9467602387252687	Physical interactions	IREF-BIOGRID
OPTN	SOD1	0.1588489173040811	Physical interactions	IREF-BIOGRID
OPTN	TBK1	0.090287888371643	Physical interactions	IREF-BIOGRID
OPTN	TFRC	0.16775016746657	Physical interactions	IREF-BIOGRID
PLAT	F10	0.5747327239340672	Physical interactions	IREF-BIOGRID
PLAT	F2	0.37536295001327596	Physical interactions	IREF-BIOGRID
PLAT	FGA	0.4188931108869717	Physical interactions	IREF-BIOGRID
PLAT	PLAU	0.4275920106302972	Physical interactions	IREF-BIOGRID
PLAT	SERPINA5	0.40646929345087596	Physical interactions	IREF-BIOGRID
PLAT	SERPINE1	0.5514496988653179	Physical interactions	IREF-BIOGRID
PLAU	SERPINA5	0.5118961647914914	Physical interactions	IREF-BIOGRID
PLAU	SERPINE1	0.6944804832428373	Physical interactions	IREF-BIOGRID
PLAU	SERPINE2	0.8076486284429162	Physical interactions	IREF-BIOGRID
PLAUR	KNG1	0.39750559411077235	Physical interactions	IREF-BIOGRID
PLAUR	PLAU	0.36775287733740575	Physical interactions	IREF-BIOGRID
PLAUR	UBQLN2	0.16256465010594484	Physical interactions	IREF-BIOGRID
PLG	C7	1.0610549740926587	Physical interactions	IREF-BIOGRID
PLG	CPB2	0.5342353278451563	Physical interactions	IREF-BIOGRID
PLG	CYFIP2	0.3117731490108795	Physical interactions	IREF-BIOGRID
PLG	F10	0.42143667922412326	Physical interactions	IREF-BIOGRID
PLG	F3	0.9972174503874278	Physical interactions	IREF-BIOGRID
PLG	KNG1	0.3389090338011545	Physical interactions	IREF-BIOGRID
PLG	SERPINE1	0.4043638255553472	Physical interactions	IREF-BIOGRID
PLG	SERPINF2	0.41314897169363596	Physical interactions	IREF-BIOGRID
PRNP	HSPA5	0.025763821006318806	Physical interactions	IREF-BIOGRID
PROC	SERPINA5	1.1627383424773796	Physical interactions	IREF-BIOGRID
PROS1	C4BPA	1.7827084587816924	Physical interactions	IREF-BIOGRID
PROS1	F5	2.4069911103154764	Physical interactions	IREF-BIOGRID
PSEN1	CDK5	0.03678999635339377	Physical interactions	IREF-BIOGRID
PSEN1	GFAP	0.09759325027155444	Physical interactions	IREF-BIOGRID
PSEN1	MAPT	0.08853737206662801	Physical interactions	IREF-BIOGRID
SERPINA1	SSR1	0.2796800627771891	Physical interactions	IREF-BIOGRID
SERPINA5	F11	1.4935017248027114	Physical interactions	IREF-BIOGRID
SERPINA5	KLKB1	2.0758340436338725	Physical interactions	IREF-BIOGRID
SERPINE1	F2	0.6096518475692374	Physical interactions	IREF-BIOGRID
SERPINF2	CFD	3.0949244632573443	Physical interactions	IREF-BIOGRID
SERPINF2	SSR1	0.4838448615192616	Physical interactions	IREF-BIOGRID
SERPING1	C1R	1.3607941113601059	Physical interactions	IREF-BIOGRID
SERPING1	C1S	1.2262739768650757	Physical interactions	IREF-BIOGRID
SERPING1	F2	0.5155753465758769	Physical interactions	IREF-BIOGRID
SERPING1	MASP2	1.0791908509418275	Physical interactions	IREF-BIOGRID
SMN1	A2M	0.026516069631968862	Physical interactions	IREF-BIOGRID
SMN1	FGB	0.10017427195417647	Physical interactions	IREF-BIOGRID
SMN1	HSPB1	0.03375244384321712	Physical interactions	IREF-BIOGRID
SMN1	NGFR	0.05767808468655495	Physical interactions	IREF-BIOGRID
SNCA	DYNC1H1	0.017942167567289682	Physical interactions	IREF-BIOGRID
SNCA	GLUL	0.05424978038608148	Physical interactions	IREF-BIOGRID
SNCA	HSPA5	0.009404673427030186	Physical interactions	IREF-BIOGRID
SNCA	HSPB1	0.02064009291179156	Physical interactions	IREF-BIOGRID
SNCA	MAP2	0.04498078779709877	Physical interactions	IREF-BIOGRID
SNCA	MAPT	0.030040111605801893	Physical interactions	IREF-BIOGRID
SNCA	SLC1A2	0.19505322535189157	Physical interactions	IREF-BIOGRID
SNCA	SLC1A3	0.2610900590638481	Physical interactions	IREF-BIOGRID
SNCA	SQSTM1	0.0065997422516756565	Physical interactions	IREF-BIOGRID
SNCA	SYP	0.09954072322915208	Physical interactions	IREF-BIOGRID
SNCA	TMOD2	0.16535532163716027	Physical interactions	IREF-BIOGRID
SNCA	TUBA4A	0.03164140373564654	Physical interactions	IREF-BIOGRID
SNCA	VAPB	0.03619322086095013	Physical interactions	IREF-BIOGRID
SOD1	CCS	1.1127635934718665	Physical interactions	IREF-BIOGRID
SOD1	RNF19A	0.43712942896250456	Physical interactions	IREF-BIOGRID
SOD1	SOD2	0.3266659243799894	Physical interactions	IREF-BIOGRID
SQSTM1	ARHGEF2	0.06106800974529726	Physical interactions	IREF-BIOGRID
SQSTM1	CHMP2B	0.07879232402312349	Physical interactions	IREF-BIOGRID
SQSTM1	FUS	0.021745283091345692	Physical interactions	IREF-BIOGRID
SQSTM1	GLG1	0.1571335783231829	Physical interactions	IREF-BIOGRID
SQSTM1	GRIA1	0.04877708030743707	Physical interactions	IREF-BIOGRID
SQSTM1	HSPA5	0.009566703589210317	Physical interactions	IREF-BIOGRID
SQSTM1	MAPT	0.030557660680386428	Physical interactions	IREF-BIOGRID
SQSTM1	NEFM	0.14759502871408978	Physical interactions	IREF-BIOGRID
SQSTM1	NGFR	0.03587862487982228	Physical interactions	IREF-BIOGRID
SQSTM1	NTRK2	0.048916830038688526	Physical interactions	IREF-BIOGRID
SQSTM1	PAWR	0.03634670415891984	Physical interactions	IREF-BIOGRID
TARDBP	FUS	0.1313354149828297	Physical interactions	IREF-BIOGRID
TARDBP	HNRNPA1	0.06297524830174678	Physical interactions	IREF-BIOGRID
TARDBP	SQSTM1	0.040547337249766995	Physical interactions	IREF-BIOGRID
TARDBP	UBQLN2	0.16052823050319817	Physical interactions	IREF-BIOGRID
TBK1	PROS1	0.35947392373520176	Physical interactions	IREF-BIOGRID
TFPI	F10	1.1231087435005624	Physical interactions	IREF-BIOGRID
TUBA4A	RPS27A	0.11231793675004355	Physical interactions	IREF-BIOGRID
UBQLN2	C1QA	0.2244268700954285	Physical interactions	IREF-BIOGRID
VCP	ALS2	0.35567366838886755	Physical interactions	IREF-BIOGRID
VCP	ARHGEF2	0.04746631758973226	Physical interactions	IREF-BIOGRID
VCP	HNRNPA1	0.008104476027384188	Physical interactions	IREF-BIOGRID
VCP	HSPA5	0.007435909064055104	Physical interactions	IREF-BIOGRID
VCP	HSPB1	0.01631931888904748	Physical interactions	IREF-BIOGRID
VCP	HTT	0.006377078510275762	Physical interactions	IREF-BIOGRID
VCP	RNF19A	0.06423518099818522	Physical interactions	IREF-BIOGRID
VCP	SERPINA1	0.03559610867895713	Physical interactions	IREF-BIOGRID
VCP	SPAST	0.15343834318108399	Physical interactions	IREF-BIOGRID
VCP	SQSTM1	0.005218159833297237	Physical interactions	IREF-BIOGRID
VCP	TARDBP	0.03151622256119574	Physical interactions	IREF-BIOGRID
ZNF512B	DCTN1	0.08403308540500709	Physical interactions	IREF-BIOGRID
